"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-17,"AC",0,0,3,3,0,0,0,0.34016,0,NA,NA,NA,NA
"2",12,2020-03-18,"AC",0,0,0,3,0,0,0,0.34016,0,NA,NA,NA,NA
"3",12,2020-03-19,"AC",0,0,1,4,0,3,0,0.45355,0,NA,NA,NA,NA
"4",12,2020-03-20,"AC",0,0,3,7,0,7,0,0.79371,0,NA,NA,NA,NA
"5",12,2020-03-21,"AC",0,0,4,11,0,9,0,1.24726,0,NA,NA,NA,NA
"6",13,2020-03-22,"AC",0,0,0,11,0,11,0,1.24726,0,NA,NA,NA,NA
"7",13,2020-03-23,"AC",0,0,6,17,0,11,0,1.92758,0,NA,230,NA,NA
"8",13,2020-03-24,"AC",0,0,4,21,0,17,0,2.38113,0,NA,230,NA,NA
"9",13,2020-03-25,"AC",0,0,2,23,0,23,0,2.6079,0,NA,230,NA,NA
"10",13,2020-03-26,"AC",0,0,1,24,0,24,0,2.72129,0,NA,76,NA,NA
"11",13,2020-03-27,"AC",0,0,1,25,0,25,0,2.83468,0,NA,76,NA,NA
"12",13,2020-03-28,"AC",0,0,0,25,0,25,0,2.83468,0,NA,76,NA,NA
"13",14,2020-03-29,"AC",0,0,9,34,0,34,0,3.85516,0,NA,76,NA,NA
"14",14,2020-03-30,"AC",0,0,8,42,0,42,0,4.76226,0,10,63,NA,NA
"15",14,2020-03-31,"AC",0,0,0,42,0,42,0,4.76226,0,10,41,NA,NA
"16",14,2020-04-01,"AC",0,0,1,43,0,43,0,4.87564,0,10,41,NA,NA
"17",14,2020-04-02,"AC",0,0,2,45,0,43,0,5.10242,0,10,41,NA,NA
"18",14,2020-04-03,"AC",0,0,1,46,0,46,0,5.2158,0,10,41,NA,NA
"19",14,2020-04-04,"AC",0,0,0,46,0,46,0,5.2158,0,10,41,NA,NA
"20",15,2020-04-05,"AC",0,0,2,48,0,48,0,5.44258,0,10,41,NA,NA
"21",15,2020-04-06,"AC",1,1,2,50,0,50,0.11339,5.66935,0.02,10,41,NA,NA
"22",15,2020-04-07,"AC",1,2,0,50,1,50,0.22677,5.66935,0.04,10,41,NA,NA
"23",15,2020-04-08,"AC",0,2,8,58,2,54,0.22677,6.57645,0.03448,37,73,NA,NA
"24",15,2020-04-09,"AC",0,2,4,62,2,62,0.22677,7.03,0.03226,37,73,NA,NA
"25",15,2020-04-10,"AC",0,2,8,70,2,70,0.22677,7.93709,0.02857,39,815,NA,NA
"26",15,2020-04-11,"AC",0,2,2,72,2,72,0.22677,8.16387,0.02778,39,815,NA,NA
"27",16,2020-04-12,"AC",0,2,5,77,2,77,0.22677,8.7308,0.02597,39,815,NA,NA
"28",16,2020-04-13,"AC",1,3,13,90,3,90,0.34016,10.20483,0.03333,39,815,NA,NA
"29",16,2020-04-14,"AC",0,3,9,99,3,99,0.34016,11.22532,0.0303,48,95,NA,NA
"30",16,2020-04-15,"AC",1,4,2,101,3,101,0.45355,11.45209,0.0396,51,157,NA,NA
"31",16,2020-04-16,"AC",1,5,14,115,5,110,0.56694,13.03951,0.04348,51,157,NA,NA
"32",16,2020-04-17,"AC",0,5,20,135,5,135,0.56694,15.30725,0.03704,51,157,NA,NA
"33",16,2020-04-18,"AC",1,6,7,142,5,142,0.68032,16.10096,0.04225,58,237,NA,NA
"34",17,2020-04-19,"AC",0,6,21,163,6,163,0.68032,18.48209,0.03681,58,236,NA,NA
"35",17,2020-04-20,"AC",2,8,13,176,8,176,0.9071,19.95612,0.04545,61,251,NA,NA
"36",17,2020-04-21,"AC",0,8,19,195,8,195,0.9071,22.11047,0.04103,64,251,NA,NA
"37",17,2020-04-22,"AC",0,8,19,214,8,214,0.9071,24.26483,0.03738,74,336,NA,NA
"38",17,2020-04-23,"AC",2,10,13,227,10,227,1.13387,25.73886,0.04405,78,398,NA,NA
"39",17,2020-04-24,"AC",1,11,7,234,11,234,1.24726,26.53257,0.04701,88,398,NA,NA
"40",17,2020-04-25,"AC",0,11,24,258,11,258,1.24726,29.25386,0.04264,88,507,NA,NA
"41",18,2020-04-26,"AC",0,11,21,279,11,279,1.24726,31.63498,0.03943,99,582,NA,NA
"42",18,2020-04-27,"AC",3,14,22,301,14,279,1.58742,34.1295,0.04651,105,705,NA,NA
"43",18,2020-04-28,"AC",2,16,16,317,16,311,1.81419,35.94369,0.05047,114,705,NA,NA
"44",18,2020-04-29,"AC",2,18,37,354,17,354,2.04097,40.13901,0.05085,114,721,NA,NA
"45",18,2020-04-30,"AC",1,19,50,404,19,404,2.15435,45.80836,0.04703,141,657,NA,NA
"46",18,2020-05-01,"AC",0,19,83,487,19,486,2.15435,55.21949,0.03901,161,655,NA,NA
"47",18,2020-05-02,"AC",3,22,66,553,22,553,2.49451,62.70303,0.03978,166,510,NA,NA
"48",19,2020-05-03,"AC",3,25,105,658,24,657,2.83468,74.60867,0.03799,177,406,NA,NA
"49",19,2020-05-04,"AC",3,28,75,733,28,733,3.17484,83.1127,0.0382,177,406,NA,NA
"50",19,2020-05-05,"AC",1,29,84,817,29,817,3.28822,92.63721,0.0355,233,278,NA,NA
"51",19,2020-05-06,"AC",6,35,126,943,33,943,3.96855,106.92398,0.03712,251,334,NA,NA
