"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-08,"AL",0,0,1,1,0,1,0,0.02996,0,NA,NA,NA,NA
"2",11,2020-03-09,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"3",11,2020-03-10,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"4",11,2020-03-11,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"5",11,2020-03-12,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"6",11,2020-03-13,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"7",11,2020-03-14,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"8",12,2020-03-15,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"9",12,2020-03-16,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"10",12,2020-03-17,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"11",12,2020-03-18,"AL",0,0,0,1,0,1,0,0.02996,0,NA,NA,NA,NA
"12",12,2020-03-19,"AL",0,0,3,4,0,4,0,0.11986,0,NA,NA,NA,NA
"13",12,2020-03-20,"AL",0,0,2,6,0,5,0,0.17978,0,NA,NA,NA,NA
"14",12,2020-03-21,"AL",0,0,1,7,0,7,0,0.20975,0,NA,NA,NA,NA
"15",13,2020-03-22,"AL",0,0,0,7,0,7,0,0.20975,0,NA,NA,NA,NA
"16",13,2020-03-23,"AL",0,0,1,8,0,7,0,0.23971,0,NA,120,NA,NA
"17",13,2020-03-24,"AL",0,0,2,10,0,9,0,0.29964,0,1,120,NA,NA
"18",13,2020-03-25,"AL",0,0,1,11,0,11,0,0.3296,0,1,207,NA,NA
"19",13,2020-03-26,"AL",0,0,0,11,0,11,0,0.3296,0,1,274,NA,NA
"20",13,2020-03-27,"AL",0,0,1,12,0,11,0,0.35957,0,1,274,NA,NA
"21",13,2020-03-28,"AL",0,0,2,14,0,14,0,0.41949,0,1,274,NA,NA
"22",14,2020-03-29,"AL",0,0,3,17,0,17,0,0.50939,0,1,274,NA,NA
"23",14,2020-03-30,"AL",0,0,0,17,0,17,0,0.50939,0,1,274,NA,NA
"24",14,2020-03-31,"AL",1,1,1,18,1,18,0.02996,0.53935,0.05556,1,274,NA,NA
