"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-13,"AM",0,0,2,2,0,0,0,0.04826,0,NA,NA,NA,NA
"2",11,2020-03-14,"AM",0,0,0,2,0,0,0,0.04826,0,NA,NA,NA,NA
"3",12,2020-03-15,"AM",0,0,0,2,0,1,0,0.04826,0,NA,NA,NA,NA
"4",12,2020-03-16,"AM",0,0,0,2,0,1,0,0.04826,0,NA,NA,NA,NA
"5",12,2020-03-17,"AM",0,0,0,2,0,1,0,0.04826,0,NA,NA,NA,NA
"6",12,2020-03-18,"AM",0,0,0,2,0,1,0,0.04826,0,NA,NA,NA,NA
"7",12,2020-03-19,"AM",0,0,1,3,0,3,0,0.07238,0,NA,NA,NA,NA
"8",12,2020-03-20,"AM",0,0,4,7,0,3,0,0.16889,0,NA,NA,NA,NA
"9",12,2020-03-21,"AM",0,0,4,11,0,11,0,0.26541,0,NA,NA,NA,NA
"10",13,2020-03-22,"AM",0,0,15,26,0,26,0,0.62732,0,NA,NA,NA,NA
"11",13,2020-03-23,"AM",0,0,6,32,0,32,0,0.77209,0,NA,NA,NA,NA
"12",13,2020-03-24,"AM",1,1,15,47,0,47,0.02413,1.13401,0.02128,1,NA,NA,NA
"13",13,2020-03-25,"AM",0,1,7,54,1,54,0.02413,1.3029,0.01852,1,NA,NA,NA
"14",13,2020-03-26,"AM",0,1,13,67,1,67,0.02413,1.61656,0.01493,1,NA,NA,NA
"15",13,2020-03-27,"AM",0,1,14,81,1,81,0.02413,1.95435,0.01235,1,NA,NA,NA
"16",13,2020-03-28,"AM",0,1,30,111,1,111,0.02413,2.67819,0.00901,1,121,NA,NA
"17",14,2020-03-29,"AM",0,1,29,140,1,140,0.02413,3.37789,0.00714,1,121,NA,NA
"18",14,2020-03-30,"AM",1,2,11,151,1,151,0.04826,3.6433,0.01325,1,121,NA,NA
"19",14,2020-03-31,"AM",1,3,24,175,3,175,0.07238,4.22236,0.01714,1,121,NA,NA
"20",14,2020-04-01,"AM",0,3,25,200,3,200,0.07238,4.82556,0.015,1,121,NA,NA
"21",14,2020-04-02,"AM",0,3,29,229,3,229,0.07238,5.52527,0.0131,1,121,NA,NA
"22",14,2020-04-03,"AM",4,7,31,260,7,260,0.16889,6.27323,0.02692,1,121,NA,NA
"23",14,2020-04-04,"AM",5,12,51,311,12,311,0.28953,7.50375,0.03859,1,121,NA,NA
"24",15,2020-04-05,"AM",3,15,106,417,14,417,0.36192,10.06129,0.03597,1,121,NA,NA
"25",15,2020-04-06,"AM",4,19,115,532,19,532,0.45843,12.83599,0.03571,1,121,NA,NA
"26",15,2020-04-07,"AM",4,23,104,636,23,636,0.55494,15.34528,0.03616,1,121,NA,NA
"27",15,2020-04-08,"AM",7,30,168,804,30,804,0.72383,19.39875,0.03731,1,121,NA,NA
"28",15,2020-04-09,"AM",10,40,95,899,40,899,0.96511,21.69089,0.04449,1,121,NA,NA
"29",15,2020-04-10,"AM",10,50,82,981,50,981,1.20639,23.66937,0.05097,1,121,NA,NA
"30",15,2020-04-11,"AM",3,53,69,1050,53,1050,1.27877,25.33419,0.05048,1,121,NA,NA
"31",16,2020-04-12,"AM",9,62,156,1206,62,1206,1.49592,29.09812,0.05141,1,219,NA,NA
"32",16,2020-04-13,"AM",9,71,69,1275,71,1275,1.71307,30.76294,0.05569,138,700,NA,NA
"33",16,2020-04-14,"AM",19,90,209,1484,90,1484,2.1715,35.80565,0.06065,138,700,NA,NA
"34",16,2020-04-15,"AM",16,106,70,1554,106,1554,2.55755,37.4946,0.06821,138,700,NA,NA
"35",16,2020-04-16,"AM",18,124,165,1719,124,1719,2.99185,41.47569,0.07213,138,700,NA,NA
"36",16,2020-04-17,"AM",21,145,90,1809,145,1809,3.49853,43.64719,0.08015,138,700,NA,NA
"37",16,2020-04-18,"AM",16,161,88,1897,161,1897,3.88458,45.77043,0.08487,138,700,NA,NA
"38",17,2020-04-19,"AM",21,182,147,2044,182,2044,4.39126,49.31722,0.08904,532,700,NA,NA
"39",17,2020-04-20,"AM",3,185,116,2160,185,2160,4.46364,52.11604,0.08565,635,700,NA,NA
"40",17,2020-04-21,"AM",8,193,110,2270,193,2270,4.65667,54.7701,0.08502,726,700,NA,NA
"41",17,2020-04-22,"AM",14,207,209,2479,207,2479,4.99445,59.81281,0.0835,879,700,NA,NA
"42",17,2020-04-23,"AM",27,234,409,2888,234,2888,5.6459,69.68108,0.08102,961,700,NA,NA
"43",17,2020-04-24,"AM",21,255,306,3194,255,3194,6.15259,77.06419,0.07984,1037,700,NA,NA
"44",17,2020-04-25,"AM",32,287,441,3635,287,3635,6.92468,87.70455,0.07895,1089,1764,NA,NA
"45",18,2020-04-26,"AM",17,304,198,3833,304,3833,7.33485,92.48185,0.07931,1220,1764,NA,NA
"46",18,2020-04-27,"AM",16,320,95,3928,320,3928,7.7209,94.77399,0.08147,1272,1764,NA,NA
"47",18,2020-04-28,"AM",31,351,409,4337,351,4337,8.46886,104.64226,0.08093,1456,993,NA,NA
"48",18,2020-04-29,"AM",29,380,464,4801,380,4801,9.16856,115.83756,0.07915,1487,993,NA,NA
"49",18,2020-04-30,"AM",45,425,453,5254,425,5254,10.25431,126.76745,0.08089,1639,993,NA,NA
"50",18,2020-05-01,"AM",51,476,469,5723,476,5723,11.48483,138.08339,0.08317,1708,993,NA,NA
"51",18,2020-05-02,"AM",25,501,339,6062,501,6062,12.08803,146.26271,0.08265,1770,993,NA,NA
"52",19,2020-05-03,"AM",47,548,621,6683,548,6683,13.22203,161.24608,0.082,1901,993,NA,NA
"53",19,2020-05-04,"AM",37,585,630,7313,584,7242,14.11476,176.44659,0.07999,2000,993,NA,NA
"54",19,2020-05-05,"AM",64,649,796,8109,649,8109,15.65894,195.65232,0.08003,2097,993,NA,NA
"55",19,2020-05-06,"AM",102,751,1134,9243,751,9243,18.11998,223.01324,0.08125,2286,993,NA,NA
"56",19,2020-05-07,"AM",55,806,856,10099,806,10099,19.44701,243.66663,0.07981,6159,993,NA,NA
"57",19,2020-05-08,"AM",68,874,628,10727,874,10727,21.0877,258.81889,0.08148,6494,993,NA,NA
"58",19,2020-05-09,"AM",88,962,1198,11925,962,11925,23.21094,287.72399,0.08067,6504,993,NA,NA
"59",20,2020-05-10,"AM",42,1004,674,12599,1004,12599,24.22431,303.98613,0.07969,6597,993,NA,NA
"60",20,2020-05-11,"AM",31,1035,320,12919,1035,12919,24.97227,311.70702,0.08011,6685,993,NA,NA
"61",20,2020-05-12,"AM",63,1098,1249,14168,1098,14168,26.49232,341.84264,0.0775,6782,993,NA,NA
"62",20,2020-05-13,"AM",62,1160,1648,15816,1160,15816,27.98825,381.60526,0.07334,7975,881,NA,NA
"63",20,2020-05-14,"AM",75,1235,1365,17181,1235,17181,29.79783,414.5397,0.07188,9407,881,NA,NA
"64",20,2020-05-15,"AM",96,1331,1211,18392,1331,18392,32.1141,443.75846,0.07237,10242,881,NA,NA
"65",20,2020-05-16,"AM",44,1375,1285,19677,1375,19677,33.17572,474.76269,0.06988,10639,881,NA,NA
"66",21,2020-05-17,"AM",38,1413,651,20328,1413,20328,34.09258,490.46988,0.06951,11663,881,NA,NA
"67",21,2020-05-18,"AM",20,1433,585,20913,1433,20913,34.57513,504.58464,0.06852,13929,641,NA,NA
"68",21,2020-05-19,"AM",58,1491,1219,22132,1491,22132,35.97455,533.99643,0.06737,16627,641,NA,NA
"69",21,2020-05-20,"AM",70,1561,1572,23704,1561,23704,37.66349,571.92533,0.06585,18348,641,NA,NA
"70",21,2020-05-21,"AM",59,1620,1663,25367,1620,25367,39.08703,612.04986,0.06386,19734,641,NA,NA
"71",21,2020-05-22,"AM",49,1669,1671,27038,1669,27038,40.2693,652.36741,0.06173,21368,641,NA,NA
"72",21,2020-05-23,"AM",75,1744,1764,28802,1744,28802,42.07888,694.92884,0.06055,22451,641,NA,NA
"73",22,2020-05-24,"AM",14,1758,1065,29867,1758,29867,42.41667,720.62495,0.05886,23184,641,NA,NA
"74",22,2020-05-25,"AM",23,1781,415,30282,1781,30282,42.97161,730.63798,0.05881,24112,558,NA,NA
"75",22,2020-05-26,"AM",71,1852,1667,31949,1852,31949,44.68468,770.85902,0.05797,25465,558,NA,NA
"76",22,2020-05-27,"AM",39,1891,1559,33508,1891,33508,45.62567,808.47426,0.05643,26742,558,NA,NA
"77",22,2020-05-28,"AM",73,1964,2638,36146,1964,36146,47.387,872.12339,0.05434,28780,558,NA,NA
"78",22,2020-05-29,"AM",47,2011,2763,38909,2011,38909,48.521,938.7885,0.05168,31121,558,NA,NA
"79",22,2020-05-30,"AM",36,2047,1651,40560,2047,40560,49.3896,978.62349,0.05047,31121,558,NA,NA
"80",23,2020-05-31,"AM",5,2052,818,41378,2052,41378,49.51024,998.36003,0.04959,33140,558,NA,NA
"81",23,2020-06-01,"AM",19,2071,396,41774,2071,41774,49.96867,1007.91464,0.04958,33443,558,NA,NA
"82",23,2020-06-02,"AM",31,2102,1421,43195,2102,43195,50.71663,1042.20024,0.04866,34583,558,NA,NA
"83",23,2020-06-03,"AM",36,2138,1152,44347,2138,44347,51.58523,1069.99547,0.04821,35552,558,NA,NA
"84",23,2020-06-04,"AM",45,2183,2126,46473,2183,46473,52.67098,1121.29117,0.04697,37294,558,NA,NA
"85",23,2020-06-05,"AM",16,2199,1193,47666,2199,47666,53.05703,1150.07563,0.04613,38130,558,NA,NA
"86",23,2020-06-06,"AM",33,2232,1119,48785,2232,48785,53.85325,1177.07463,0.04575,39229,558,NA,NA
"87",24,2020-06-07,"AM",18,2250,484,49269,2250,49269,54.28755,1188.75249,0.04567,39586,558,NA,NA
"88",24,2020-06-08,"AM",21,2271,548,49817,2271,49811,54.79423,1201.97452,0.04559,39586,558,NA,NA
"89",24,2020-06-09,"AM",44,2315,1417,51234,2315,51234,55.85585,1236.16361,0.04518,39586,558,NA,NA
"90",24,2020-06-10,"AM",48,2363,1615,52849,2363,52849,57.01399,1275.13001,0.04471,42586,558,NA,NA
"91",24,2020-06-11,"AM",37,2400,1140,53989,2400,53989,57.90672,1302.6357,0.04445,43508,534,NA,NA
"92",24,2020-06-12,"AM",29,2429,1122,55111,2429,55111,58.60642,1329.70709,0.04407,44447,534,NA,NA
"93",24,2020-06-13,"AM",36,2465,915,56026,2465,56026,59.47502,1351.78402,0.044,45238,534,NA,NA
"94",25,2020-06-14,"AM",27,2492,480,56506,2492,56506,60.12647,1363.36536,0.0441,45624,534,NA,NA
"95",25,2020-06-15,"AM",20,2512,271,56777,2512,56777,60.60903,1369.904,0.04424,45828,534,NA,NA
"96",25,2020-06-16,"AM",38,2550,1241,58018,2549,58018,61.52589,1399.8466,0.04395,46894,1827,NA,NA
"97",25,2020-06-17,"AM",29,2579,1529,59547,2579,59547,62.22559,1436.738,0.04331,48173,1827,NA,NA
"98",25,2020-06-18,"AM",26,2605,1189,60736,2605,60736,62.85291,1465.42595,0.04289,49178,1827,NA,NA
"99",25,2020-06-19,"AM",19,2624,947,61683,2624,61683,63.31134,1488.27498,0.04254,49965,1365,NA,NA
"100",25,2020-06-20,"AM",26,2650,1219,62902,2650,62902,63.93867,1517.68676,0.04213,50980,1365,NA,NA
"101",26,2020-06-21,"AM",7,2657,508,63410,2657,63410,64.10756,1529.94368,0.0419,51398,1365,NA,NA
"102",26,2020-06-22,"AM",14,2671,321,63731,2671,63731,64.44535,1537.68871,0.04191,51398,1365,NA,NA
"103",26,2020-06-23,"AM",15,2686,1342,65073,2686,65073,64.80727,1570.06821,0.04128,52771,2067,NA,NA
"104",26,2020-06-24,"AM",24,2710,1691,66764,2710,66764,65.38633,1610.86832,0.04059,54193,2067,NA,NA
"105",26,2020-06-25,"AM",21,2731,503,67267,2731,67267,65.89302,1623.0046,0.0406,54193,2067,NA,NA
