"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-20,"AP",0,0,1,1,0,1,0,0.11824,0,NA,NA,NA,NA
"2",12,2020-03-21,"AP",0,0,0,1,0,1,0,0.11824,0,NA,NA,NA,NA
"3",13,2020-03-22,"AP",0,0,0,1,0,1,0,0.11824,0,NA,NA,NA,NA
"4",13,2020-03-23,"AP",0,0,0,1,0,1,0,0.11824,0,NA,NA,NA,NA
"5",13,2020-03-24,"AP",0,0,0,1,0,1,0,0.11824,0,NA,NA,NA,NA
"6",13,2020-03-25,"AP",0,0,1,2,0,1,0,0.23648,0,NA,183,NA,NA
"7",13,2020-03-26,"AP",0,0,0,2,0,2,0,0.23648,0,NA,183,NA,NA
"8",13,2020-03-27,"AP",0,0,1,3,0,2,0,0.35472,0,NA,183,NA,NA
"9",13,2020-03-28,"AP",0,0,1,4,0,4,0,0.47296,0,NA,292,NA,NA
"10",14,2020-03-29,"AP",0,0,4,8,0,4,0,0.94593,0,NA,292,NA,NA
"11",14,2020-03-30,"AP",0,0,0,8,0,8,0,0.94593,0,NA,292,NA,NA
"12",14,2020-03-31,"AP",0,0,2,10,0,10,0,1.18241,0,NA,383,NA,NA
"13",14,2020-04-01,"AP",0,0,1,11,0,11,0,1.30065,0,NA,383,NA,NA
"14",14,2020-04-02,"AP",0,0,1,12,0,11,0,1.41889,0,NA,512,NA,NA
"15",14,2020-04-03,"AP",0,0,7,19,0,19,0,2.24658,0,NA,512,NA,NA
"16",14,2020-04-04,"AP",1,1,10,29,1,28,0.11824,3.42899,0.03448,NA,512,NA,NA
"17",15,2020-04-05,"AP",1,2,3,32,2,29,0.23648,3.78371,0.0625,NA,512,NA,NA
"18",15,2020-04-06,"AP",0,2,7,39,2,34,0.23648,4.6114,0.05128,NA,512,NA,NA
"19",15,2020-04-07,"AP",0,2,12,51,2,48,0.23648,6.03029,0.03922,23,670,NA,NA
"20",15,2020-04-08,"AP",0,2,56,107,2,107,0.23648,12.65178,0.01869,23,670,NA,NA
"21",15,2020-04-09,"AP",0,2,21,128,2,128,0.23648,15.13484,0.01562,23,670,NA,NA
"22",15,2020-04-10,"AP",0,2,38,166,2,166,0.23648,19.62799,0.01205,55,670,NA,NA
"23",15,2020-04-11,"AP",3,5,27,193,3,193,0.5912,22.82049,0.02591,55,670,NA,NA
"24",16,2020-04-12,"AP",0,5,44,237,5,230,0.5912,28.02309,0.0211,92,143,NA,NA
"25",16,2020-04-13,"AP",1,6,7,244,5,242,0.70945,28.85078,0.02459,92,143,NA,NA
"26",16,2020-04-14,"AP",1,7,64,308,6,307,0.82769,36.4182,0.02273,133,240,NA,NA
"27",16,2020-04-15,"AP",0,7,34,342,7,334,0.82769,40.43839,0.02047,145,305,NA,NA
"28",16,2020-04-16,"AP",3,10,20,362,9,362,1.18241,42.80321,0.02762,161,305,NA,NA
"29",16,2020-04-17,"AP",0,10,13,375,10,370,1.18241,44.34034,0.02667,166,305,NA,NA
"30",16,2020-04-18,"AP",0,10,25,400,10,393,1.18241,47.29636,0.025,179,727,NA,NA
"31",17,2020-04-19,"AP",1,11,16,416,11,416,1.30065,49.18822,0.02644,189,689,NA,NA
"32",17,2020-04-20,"AP",2,13,19,435,13,433,1.53713,51.43479,0.02989,206,728,NA,NA
"33",17,2020-04-21,"AP",0,13,31,466,13,457,1.53713,55.10026,0.0279,222,819,NA,NA
"34",17,2020-04-22,"AP",1,14,26,492,14,479,1.65537,58.17453,0.02846,236,1152,NA,NA
"35",17,2020-04-23,"AP",2,16,63,555,16,548,1.89185,65.6237,0.02883,258,932,NA,NA
"36",17,2020-04-24,"AP",2,18,93,648,18,633,2.12834,76.62011,0.02778,272,938,NA,NA
"37",17,2020-04-25,"AP",2,20,41,689,19,685,2.36482,81.46798,0.02903,285,993,NA,NA
"38",18,2020-04-26,"AP",3,23,132,821,21,798,2.71954,97.07578,0.02801,306,1122,NA,NA
"39",18,2020-04-27,"AP",3,26,21,842,26,842,3.07426,99.55884,0.03088,355,1399,NA,NA
