"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",10,2020-03-06,"BA",0,0,1,1,0,1,0,0.00672,0,NA,NA,NA,NA
"2",10,2020-03-07,"BA",0,0,1,2,0,2,0,0.01345,0,NA,NA,NA,NA
"3",11,2020-03-08,"BA",0,0,0,2,0,2,0,0.01345,0,NA,NA,NA,NA
"4",11,2020-03-09,"BA",0,0,0,2,0,2,0,0.01345,0,NA,NA,NA,NA
"5",11,2020-03-10,"BA",0,0,0,2,0,2,0,0.01345,0,NA,NA,NA,NA
"6",11,2020-03-11,"BA",0,0,1,3,0,2,0,0.02017,0,NA,NA,NA,NA
"7",11,2020-03-12,"BA",0,0,0,3,0,2,0,0.02017,0,NA,NA,NA,NA
"8",11,2020-03-13,"BA",0,0,4,7,0,2,0,0.04706,0,NA,NA,NA,NA
"9",11,2020-03-14,"BA",0,0,0,7,0,2,0,0.04706,0,NA,NA,NA,NA
"10",12,2020-03-15,"BA",0,0,2,9,0,2,0,0.06051,0,NA,NA,NA,NA
"11",12,2020-03-16,"BA",0,0,1,10,0,2,0,0.06724,0,NA,NA,NA,NA
"12",12,2020-03-17,"BA",0,0,4,14,0,3,0,0.09413,0,NA,NA,NA,NA
"13",12,2020-03-18,"BA",0,0,13,27,0,3,0,0.18154,0,NA,NA,NA,NA
"14",12,2020-03-19,"BA",0,0,4,31,0,30,0,0.20843,0,NA,NA,NA,NA
"15",12,2020-03-20,"BA",0,0,3,34,0,33,0,0.2286,0,NA,NA,NA,NA
"16",12,2020-03-21,"BA",0,0,7,41,0,41,0,0.27567,0,NA,NA,NA,NA
"17",13,2020-03-22,"BA",0,0,14,55,0,49,0,0.3698,0,NA,NA,NA,NA
"18",13,2020-03-23,"BA",0,0,8,63,0,63,0,0.42358,0,NA,1219,NA,NA
"19",13,2020-03-24,"BA",0,0,16,79,0,76,0,0.53116,0,1,1219,NA,NA
"20",13,2020-03-25,"BA",0,0,12,91,0,84,0,0.61184,0,1,1219,NA,NA
"21",13,2020-03-26,"BA",0,0,17,108,0,104,0,0.72614,0,16,NA,NA,NA
"22",13,2020-03-27,"BA",0,0,15,123,0,115,0,0.827,0,16,NA,NA,NA
"23",13,2020-03-28,"BA",0,0,4,127,0,127,0,0.85389,0,16,NA,NA,NA
"24",14,2020-03-29,"BA",1,1,29,156,1,154,0.00672,1.04888,0.00641,16,NA,NA,NA
"25",14,2020-03-30,"BA",1,2,20,176,1,176,0.01345,1.18335,0.01136,16,NA,NA,NA
"26",14,2020-03-31,"BA",0,2,41,217,2,213,0.01345,1.45901,0.00922,16,NA,NA,NA
"27",14,2020-04-01,"BA",0,2,29,246,2,246,0.01345,1.654,0.00813,16,NA,NA,NA
"28",14,2020-04-02,"BA",1,3,21,267,3,267,0.02017,1.79519,0.01124,16,NA,NA,NA
"29",14,2020-04-03,"BA",3,6,23,290,5,282,0.04034,1.94983,0.02069,16,NA,NA,NA
"30",14,2020-04-04,"BA",1,7,46,336,7,332,0.04706,2.25912,0.02083,16,NA,NA,NA
"31",15,2020-04-05,"BA",2,9,65,401,9,401,0.06051,2.69615,0.02244,16,NA,NA,NA
"32",15,2020-04-06,"BA",1,10,36,437,10,431,0.06724,2.9382,0.02288,63,NA,NA,NA
"33",15,2020-04-07,"BA",4,14,25,462,12,456,0.09413,3.10629,0.0303,106,NA,NA,NA
"34",15,2020-04-08,"BA",4,18,53,515,15,497,0.12102,3.46264,0.03495,106,NA,NA,NA
"35",15,2020-04-09,"BA",1,19,53,568,19,559,0.12775,3.81898,0.03345,146,NA,NA,NA
"36",15,2020-04-10,"BA",0,19,48,616,19,604,0.12775,4.14172,0.03084,146,NA,NA,NA
"37",15,2020-04-11,"BA",2,21,24,640,21,635,0.14119,4.30308,0.03281,146,NA,NA,NA
"38",16,2020-04-12,"BA",0,21,34,674,21,673,0.14119,4.53168,0.03116,148,NA,NA,NA
"39",16,2020-04-13,"BA",1,22,49,723,22,723,0.14792,4.86114,0.03043,148,NA,NA,NA
"40",16,2020-04-14,"BA",4,26,53,776,22,759,0.17481,5.21749,0.03351,191,NA,NA,NA
"41",16,2020-04-15,"BA",2,28,108,884,27,807,0.18826,5.94363,0.03167,218,NA,NA,NA
"42",16,2020-04-16,"BA",6,34,83,967,30,951,0.2286,6.50169,0.03516,253,NA,NA,NA
"43",16,2020-04-17,"BA",2,36,97,1064,36,1059,0.24205,7.15387,0.03383,268,NA,NA,NA
"44",16,2020-04-18,"BA",4,40,136,1200,37,1193,0.26894,8.06828,0.03333,304,NA,NA,NA
"45",17,2020-04-19,"BA",5,45,49,1249,45,1230,0.30256,8.39773,0.03603,321,152,NA,NA
"46",17,2020-04-20,"BA",2,47,128,1377,46,1341,0.31601,9.25835,0.03413,351,152,NA,NA
"47",17,2020-04-21,"BA",1,48,127,1504,47,1489,0.32273,10.11224,0.03191,376,152,NA,NA
"48",17,2020-04-22,"BA",5,53,141,1645,50,1644,0.35635,11.06026,0.03222,405,152,NA,NA
"49",17,2020-04-23,"BA",9,62,200,1845,59,1789,0.41686,12.40498,0.0336,428,NA,NA,NA
"50",17,2020-04-24,"BA",5,67,134,1979,64,1962,0.45048,13.30593,0.03386,452,NA,NA,NA
"51",17,2020-04-25,"BA",5,72,137,2116,70,2081,0.4841,14.22706,0.03403,454,3714,NA,NA
