"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-16,"CE",0,0,9,9,0,0,0,0.09855,0,NA,NA,NA,NA
"2",12,2020-03-17,"CE",0,0,1,10,0,5,0,0.1095,0,NA,NA,NA,NA
"3",12,2020-03-18,"CE",0,0,9,19,0,9,0,0.20806,0,NA,NA,NA,NA
"4",12,2020-03-19,"CE",0,0,5,24,0,20,0,0.26281,0,NA,NA,NA,NA
"5",12,2020-03-20,"CE",0,0,44,68,0,55,0,0.74463,0,NA,NA,NA,NA
"6",12,2020-03-21,"CE",0,0,16,84,0,68,0,0.91983,0,NA,NA,NA,NA
"7",13,2020-03-22,"CE",0,0,41,125,0,112,0,1.3688,0,NA,NA,NA,NA
"8",13,2020-03-23,"CE",0,0,39,164,0,163,0,1.79587,0,NA,NA,NA,NA
"9",13,2020-03-24,"CE",0,0,21,185,0,182,0,2.02583,0,NA,NA,NA,NA
"10",13,2020-03-25,"CE",0,0,26,211,0,200,0,2.31054,0,NA,NA,NA,NA
"11",13,2020-03-26,"CE",3,3,26,237,3,235,0.03285,2.59525,0.01266,NA,4129,NA,NA
"12",13,2020-03-27,"CE",0,3,45,282,3,282,0.03285,3.08802,0.01064,NA,4129,NA,NA
"13",13,2020-03-28,"CE",1,4,40,322,4,314,0.0438,3.52603,0.01242,NA,4129,NA,NA
"14",14,2020-03-29,"CE",1,5,37,359,5,348,0.05475,3.9312,0.01393,NA,4129,NA,NA
"15",14,2020-03-30,"CE",0,5,23,382,5,372,0.05475,4.18306,0.01309,NA,4129,NA,NA
"16",14,2020-03-31,"CE",2,7,19,401,7,390,0.07665,4.39111,0.01746,NA,4129,NA,NA
"17",14,2020-04-01,"CE",2,9,44,445,8,444,0.09855,4.87293,0.02022,NA,4129,NA,NA
"18",14,2020-04-02,"CE",12,21,120,565,20,550,0.22996,6.18698,0.03717,NA,4200,NA,NA
"19",14,2020-04-03,"CE",1,22,93,658,22,627,0.24091,7.20537,0.03343,NA,4200,NA,NA
"20",14,2020-04-04,"CE",1,23,87,745,22,730,0.25186,8.15806,0.03087,NA,4200,NA,NA
