"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",10,2020-03-07,"DF",0,0,1,1,0,1,0,0.03316,0,NA,NA,NA,NA
"2",11,2020-03-08,"DF",0,0,0,1,0,1,0,0.03316,0,NA,NA,NA,NA
"3",11,2020-03-09,"DF",0,0,0,1,0,1,0,0.03316,0,NA,NA,NA,NA
"4",11,2020-03-10,"DF",0,0,0,1,0,1,0,0.03316,0,NA,NA,NA,NA
"5",11,2020-03-11,"DF",0,0,1,2,0,2,0,0.06633,0,NA,NA,NA,NA
"6",11,2020-03-12,"DF",0,0,0,2,0,2,0,0.06633,0,NA,NA,NA,NA
"7",11,2020-03-13,"DF",0,0,0,2,0,2,0,0.06633,0,NA,NA,NA,NA
"8",11,2020-03-14,"DF",0,0,6,8,0,6,0,0.26532,0,NA,NA,NA,NA
"9",12,2020-03-15,"DF",0,0,6,14,0,8,0,0.4643,0,NA,NA,NA,NA
"10",12,2020-03-16,"DF",0,0,5,19,0,13,0,0.63013,0,NA,NA,NA,NA
"11",12,2020-03-17,"DF",0,0,3,22,0,22,0,0.72962,0,NA,NA,NA,NA
"12",12,2020-03-18,"DF",0,0,12,34,0,26,0,1.12759,0,NA,NA,NA,NA
"13",12,2020-03-19,"DF",0,0,8,42,0,42,0,1.39291,0,NA,NA,NA,NA
"14",12,2020-03-20,"DF",0,0,45,87,0,87,0,2.88532,0,NA,NA,NA,NA
"15",12,2020-03-21,"DF",0,0,21,108,0,100,0,3.58177,0,NA,NA,NA,NA
"16",13,2020-03-22,"DF",0,0,9,117,0,117,0,3.88025,0,NA,NA,NA,NA
"17",13,2020-03-23,"DF",0,0,21,138,0,133,0,4.57671,0,NA,NA,NA,NA
"18",13,2020-03-24,"DF",0,0,23,161,0,160,0,5.33949,0,1,NA,NA,NA
"19",13,2020-03-25,"DF",0,0,34,195,0,160,0,6.46709,0,1,NA,NA,NA
"20",13,2020-03-26,"DF",0,0,6,201,0,200,0,6.66607,0,1,NA,NA,NA
"21",13,2020-03-27,"DF",0,0,40,241,0,230,0,7.99266,0,1,NA,NA,NA
"22",13,2020-03-28,"DF",0,0,19,260,0,260,0,8.62278,0,1,NA,NA,NA
"23",14,2020-03-29,"DF",1,1,38,298,1,289,0.03316,9.88304,0.00336,1,NA,NA,NA
"24",14,2020-03-30,"DF",1,2,14,312,1,312,0.06633,10.34734,0.00641,1,NA,NA,NA
"25",14,2020-03-31,"DF",1,3,21,333,3,332,0.09949,11.04379,0.00901,1,NA,NA,NA
"26",14,2020-04-01,"DF",1,4,37,370,3,355,0.13266,12.27088,0.01081,1,NA,NA,NA
"27",14,2020-04-02,"DF",1,5,30,400,4,370,0.16582,13.26582,0.0125,1,NA,NA,NA
"28",14,2020-04-03,"DF",1,6,19,419,5,402,0.19899,13.89595,0.01432,1,NA,NA,NA
"29",14,2020-04-04,"DF",1,7,37,456,7,454,0.23215,15.12303,0.01535,1,NA,NA,NA
"30",15,2020-04-05,"DF",0,7,12,468,7,468,0.23215,15.52101,0.01496,1,NA,NA,NA
"31",15,2020-04-06,"DF",3,10,17,485,10,473,0.33165,16.08481,0.02062,148,75,NA,NA
"32",15,2020-04-07,"DF",2,12,18,503,12,492,0.39797,16.68177,0.02386,148,75,NA,NA
"33",15,2020-04-08,"DF",0,12,6,509,12,509,0.39797,16.88075,0.02358,148,75,NA,NA
"34",15,2020-04-09,"DF",1,13,18,527,13,527,0.43114,17.47772,0.02467,148,72,NA,NA
"35",15,2020-04-10,"DF",1,14,29,556,14,555,0.4643,18.43949,0.02518,148,72,NA,NA
"36",15,2020-04-11,"DF",0,14,36,592,14,579,0.4643,19.63341,0.02365,148,72,NA,NA
"37",16,2020-04-12,"DF",0,14,26,618,14,614,0.4643,20.49569,0.02265,148,72,NA,NA
"38",16,2020-04-13,"DF",1,15,23,641,15,638,0.49747,21.25848,0.0234,299,81,NA,NA
"39",16,2020-04-14,"DF",2,17,10,651,17,651,0.5638,21.59012,0.02611,311,87,NA,NA
"40",16,2020-04-15,"DF",0,17,37,688,17,682,0.5638,22.81721,0.02471,333,87,NA,NA
"41",16,2020-04-16,"DF",3,20,39,727,20,716,0.66329,24.11063,0.02751,370,87,NA,NA
"42",16,2020-04-17,"DF",4,24,29,756,20,746,0.79595,25.0724,0.03175,370,103,NA,NA
"43",16,2020-04-18,"DF",0,24,40,796,24,762,0.79595,26.39898,0.03015,373,103,NA,NA
"44",17,2020-04-19,"DF",0,24,64,860,24,827,0.79595,28.52151,0.02791,398,138,NA,NA
"45",17,2020-04-20,"DF",0,24,15,875,24,872,0.79595,29.01898,0.02743,398,138,NA,NA
"46",17,2020-04-21,"DF",0,24,38,913,24,881,0.79595,30.27923,0.02629,523,118,NA,NA
"47",17,2020-04-22,"DF",1,25,46,959,25,946,0.82911,31.8048,0.02607,523,118,NA,NA
"48",17,2020-04-23,"DF",1,26,9,968,25,963,0.86228,32.10328,0.02686,547,118,NA,NA
"49",17,2020-04-24,"DF",0,26,44,1012,26,989,0.86228,33.56252,0.02569,547,118,NA,NA
"50",17,2020-04-25,"DF",1,27,8,1020,26,1013,0.89544,33.82784,0.02647,680,118,NA,NA
"51",18,2020-04-26,"DF",0,27,105,1125,27,1066,0.89544,37.31012,0.024,682,118,NA,NA
"52",18,2020-04-27,"DF",1,28,64,1189,27,1146,0.92861,39.43265,0.02355,682,118,NA,NA
"53",18,2020-04-28,"DF",0,28,41,1230,28,1213,0.92861,40.79239,0.02276,791,NA,NA,NA
"54",18,2020-04-29,"DF",0,28,83,1313,28,1275,0.92861,43.54505,0.02133,798,NA,NA,NA
"55",18,2020-04-30,"DF",2,30,110,1423,30,1356,0.99494,47.19315,0.02108,871,NA,NA,NA
"56",18,2020-05-01,"DF",1,31,123,1546,30,1466,1.0281,51.27239,0.02005,901,NA,NA,NA
"57",18,2020-05-02,"DF",1,32,59,1605,31,1566,1.06127,53.2291,0.01994,952,NA,NA,NA
"58",19,2020-05-03,"DF",1,33,115,1720,33,1649,1.09443,57.04302,0.01919,1034,NA,NA,NA
"59",19,2020-05-04,"DF",0,33,73,1793,33,1768,1.09443,59.46403,0.0184,1009,NA,NA,NA
"60",19,2020-05-05,"DF",1,34,44,1837,33,1818,1.12759,60.92327,0.01851,1081,NA,NA,NA
"61",19,2020-05-06,"DF",1,35,209,2046,34,1906,1.16076,67.85466,0.01711,1170,NA,NA,NA
"62",19,2020-05-07,"DF",0,35,212,2258,35,2258,1.16076,74.88555,0.0155,1175,NA,NA,NA
"63",19,2020-05-08,"DF",2,37,184,2442,37,2442,1.22709,80.98783,0.01515,1223,NA,NA,NA
"64",19,2020-05-09,"DF",2,39,134,2576,39,2576,1.29342,85.43188,0.01514,1454,NA,NA,NA
"65",20,2020-05-10,"DF",3,42,106,2682,42,2682,1.39291,88.94732,0.01566,1372,415,NA,NA
"66",20,2020-05-11,"DF",2,44,117,2799,44,2783,1.45924,92.82757,0.01572,1440,414,NA,NA
"67",20,2020-05-12,"DF",2,46,180,2979,46,2979,1.52557,98.79719,0.01544,1534,437,NA,NA
"68",20,2020-05-13,"DF",2,48,213,3192,48,3192,1.5919,105.86124,0.01504,1641,548,NA,NA
"69",20,2020-05-14,"DF",3,51,224,3416,51,3416,1.69139,113.2901,0.01493,1768,575,NA,NA
"70",20,2020-05-15,"DF",4,55,371,3787,55,3787,1.82405,125.59414,0.01452,1936,529,NA,NA
"71",20,2020-05-16,"DF",1,56,353,4140,56,4140,1.85721,137.30123,0.01353,2142,529,NA,NA
"72",21,2020-05-17,"DF",3,59,228,4368,59,4368,1.95671,144.86275,0.01351,2247,529,NA,NA
"73",21,2020-05-18,"DF",7,66,251,4619,66,4619,2.18886,153.18705,0.01429,2357,343,NA,NA
"74",21,2020-05-19,"DF",6,72,234,4853,72,4853,2.38785,160.94755,0.01484,2457,310,NA,NA
"75",21,2020-05-20,"DF",6,78,418,5271,77,5161,2.58683,174.81033,0.0148,2607,294,NA,NA
"76",21,2020-05-21,"DF",6,84,271,5542,84,5542,2.78582,183.79792,0.01516,2842,280,NA,NA
"77",21,2020-05-22,"DF",6,90,406,5948,90,5948,2.98481,197.26273,0.01513,3104,159,NA,NA
"78",21,2020-05-23,"DF",5,95,303,6251,95,6251,3.15063,207.31159,0.0152,3281,2,NA,NA
"79",22,2020-05-24,"DF",9,104,387,6638,104,6638,3.44911,220.14627,0.01567,3422,38,NA,NA
"80",22,2020-05-25,"DF",10,114,292,6930,114,6930,3.78076,229.83032,0.01645,3687,179,NA,NA
"81",22,2020-05-26,"DF",10,124,280,7210,124,7210,4.1124,239.11639,0.0172,3969,197,NA,NA
"82",22,2020-05-27,"DF",9,133,551,7761,133,7761,4.41088,257.39006,0.01714,4210,526,NA,NA
"83",22,2020-05-28,"DF",9,142,539,8300,142,8300,4.70937,275.26575,0.01711,4494,841,NA,NA
"84",22,2020-05-29,"DF",12,154,422,8722,154,8722,5.10734,289.26119,0.01766,4740,1049,NA,NA
"85",22,2020-05-30,"DF",8,162,752,9474,162,9474,5.37266,314.20093,0.0171,5127,1372,NA,NA
"86",23,2020-05-31,"DF",8,170,306,9780,170,9780,5.63797,324.34928,0.01738,5384,1371,NA,NA
"87",23,2020-06-01,"DF",3,173,730,10510,171,10510,5.73747,348.5594,0.01646,5580,2000,NA,NA
"88",23,2020-06-02,"DF",4,177,746,11256,177,11256,5.87012,373.30015,0.01572,5982,2417,NA,NA
"89",23,2020-06-03,"DF",14,191,764,12020,191,12020,6.33443,398.63787,0.01589,6359,2774,NA,NA
"90",23,2020-06-04,"DF",5,196,903,12923,196,12923,6.50025,428.58545,0.01517,6916,3112,NA,NA
"91",23,2020-06-05,"DF",6,202,1285,14208,202,14208,6.69924,471.2019,0.01422,7336,4314,NA,NA
"92",23,2020-06-06,"DF",6,208,1642,15850,208,15850,6.89823,525.65808,0.01312,7665,5872,NA,NA
"93",24,2020-06-07,"DF",6,214,773,16623,214,16623,7.09721,551.29428,0.01287,8556,5868,NA,NA
"94",24,2020-06-08,"DF",12,226,325,16948,214,16629,7.49519,562.07276,0.01333,8966,5887,NA,NA
"95",24,2020-06-09,"DF",10,236,1142,18090,236,18090,7.82683,599.94667,0.01305,9782,6431,NA,NA
"96",24,2020-06-10,"DF",20,256,1343,19433,256,19433,8.49012,644.48666,0.01317,10403,7371,NA,NA
"97",24,2020-06-11,"DF",18,274,1074,20507,274,20507,9.08709,680.10538,0.01336,11089,7910,NA,NA
"98",24,2020-06-12,"DF",8,282,889,21396,282,21396,9.3524,709.58867,0.01318,11825,8266,NA,NA
"99",24,2020-06-13,"DF",11,293,563,21959,293,21959,9.71721,728.26031,0.01334,12483,8345,NA,NA
"100",25,2020-06-14,"DF",11,304,912,22871,304,22871,10.08202,758.50637,0.01329,13194,8449,NA,NA
"101",25,2020-06-15,"DF",15,319,813,23684,319,23684,10.57949,785.46915,0.01347,13878,8598,NA,NA
"102",25,2020-06-16,"DF",29,348,1696,25380,348,25380,11.54126,841.71623,0.01371,15172,9229,NA,NA
"103",25,2020-06-17,"DF",17,365,1760,27140,365,27140,12.10506,900.08583,0.01345,16614,9661,NA,NA
"104",25,2020-06-18,"DF",14,379,1381,28521,379,28521,12.56936,945.88607,0.01329,16869,10890,NA,NA
"105",25,2020-06-19,"DF",17,396,2381,30902,396,30902,13.13316,1024.85086,0.01281,18812,11290,NA,NA
"106",25,2020-06-20,"DF",9,405,1336,32238,404,32238,13.43164,1069.1587,0.01256,20446,10998,NA,NA
"107",26,2020-06-21,"DF",18,423,989,33227,423,33227,14.0286,1101.95843,0.01273,21232,11199,NA,NA
"108",26,2020-06-22,"DF",26,449,921,34148,449,34148,14.89088,1132.50298,0.01315,21930,11349,NA,NA
"109",26,2020-06-23,"DF",26,475,1220,35368,475,35368,15.75316,1172.96373,0.01343,23194,10223,NA,NA
"110",26,2020-06-24,"DF",20,495,1886,37254,495,37254,16.41645,1235.51207,0.01329,24699,11774,NA,NA
"111",26,2020-06-25,"DF",14,509,1617,38871,509,38871,16.88075,1289.13914,0.01309,26493,10172,NA,NA
