"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",10,2020-03-06,"ES",0,0,1,1,0,1,0,0.02488,0,NA,NA,NA,NA
"2",10,2020-03-07,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"3",11,2020-03-08,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"4",11,2020-03-09,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"5",11,2020-03-10,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"6",11,2020-03-11,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"7",11,2020-03-12,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"8",11,2020-03-13,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"9",11,2020-03-14,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"10",12,2020-03-15,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"11",12,2020-03-16,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"12",12,2020-03-17,"ES",0,0,0,1,0,1,0,0.02488,0,NA,NA,NA,NA
"13",12,2020-03-18,"ES",0,0,8,9,0,9,0,0.22396,0,NA,NA,NA,NA
"14",12,2020-03-19,"ES",0,0,4,13,0,11,0,0.32349,0,NA,NA,NA,NA
"15",12,2020-03-20,"ES",0,0,3,16,0,13,0,0.39814,0,NA,NA,NA,NA
"16",12,2020-03-21,"ES",0,0,10,26,0,26,0,0.64698,0,NA,NA,NA,NA
"17",13,2020-03-22,"ES",0,0,0,26,0,26,0,0.64698,0,NA,NA,NA,NA
"18",13,2020-03-23,"ES",0,0,7,33,0,29,0,0.82117,0,5,739,NA,NA
"19",13,2020-03-24,"ES",0,0,7,40,0,33,0,0.99536,0,5,739,NA,NA
"20",13,2020-03-25,"ES",0,0,0,40,0,39,0,0.99536,0,5,1019,NA,NA
"21",13,2020-03-26,"ES",0,0,8,48,0,39,0,1.19443,0,5,1039,NA,NA
"22",13,2020-03-27,"ES",0,0,6,54,0,47,0,1.34373,0,5,1039,NA,NA
"23",13,2020-03-28,"ES",0,0,7,61,0,53,0,1.51792,0,12,984,NA,NA
"24",14,2020-03-29,"ES",0,0,11,72,0,60,0,1.79165,0,12,1013,NA,NA
"25",14,2020-03-30,"ES",0,0,13,85,0,72,0,2.11514,0,12,1013,NA,NA
"26",14,2020-03-31,"ES",0,0,12,97,0,84,0,2.41375,0,12,1013,NA,NA
"27",14,2020-04-01,"ES",0,0,23,120,0,96,0,2.98608,0,12,1013,NA,NA
"28",14,2020-04-02,"ES",2,2,19,139,1,120,0.04977,3.45887,0.01439,12,737,NA,NA
"29",14,2020-04-03,"ES",3,5,14,153,4,139,0.12442,3.80725,0.03268,12,737,NA,NA
"30",14,2020-04-04,"ES",1,6,13,166,5,153,0.1493,4.13074,0.03614,12,767,NA,NA
"31",15,2020-04-05,"ES",0,6,28,194,6,166,0.1493,4.82749,0.03093,38,758,NA,NA
"32",15,2020-04-06,"ES",0,6,15,209,6,194,0.1493,5.20075,0.02871,38,801,NA,NA
"33",15,2020-04-07,"ES",0,6,18,227,6,209,0.1493,5.64866,0.02643,38,871,NA,NA
"34",15,2020-04-08,"ES",0,6,46,273,6,227,0.1493,6.79333,0.02198,38,871,NA,NA
"35",15,2020-04-09,"ES",1,7,27,300,6,273,0.17419,7.46519,0.02333,41,1063,NA,NA
"36",15,2020-04-10,"ES",1,8,49,349,7,300,0.19907,8.68451,0.02292,41,1721,NA,NA
"37",15,2020-04-11,"ES",1,9,34,383,9,349,0.22396,9.53056,0.0235,41,1204,NA,NA
"38",16,2020-04-12,"ES",5,14,47,430,9,383,0.34838,10.70011,0.03256,41,1568,NA,NA
"39",16,2020-04-13,"ES",3,17,33,463,14,430,0.42303,11.52128,0.03672,86,1485,NA,NA
"40",16,2020-04-14,"ES",1,18,94,557,17,463,0.44791,13.86038,0.03232,86,1485,NA,NA
"41",16,2020-04-15,"ES",3,21,177,734,18,557,0.52256,18.26484,0.02861,462,1485,NA,NA
"42",16,2020-04-16,"ES",7,28,201,935,22,754,0.69675,23.26652,0.02995,480,1485,NA,NA
"43",16,2020-04-17,"ES",0,28,17,952,25,856,0.69675,23.68955,0.02941,505,1485,NA,NA
"44",16,2020-04-18,"ES",2,30,147,1099,28,952,0.74652,27.34749,0.0273,505,1485,NA,NA
"45",17,2020-04-19,"ES",4,34,96,1195,30,1099,0.84606,29.73635,0.02845,227,1485,NA,NA
"46",17,2020-04-20,"ES",0,34,17,1212,33,1168,0.84606,30.15938,0.02805,236,1485,NA,NA
"47",17,2020-04-21,"ES",0,34,101,1313,34,1212,0.84606,32.67266,0.02589,263,1485,NA,NA
"48",17,2020-04-22,"ES",3,37,38,1351,34,1313,0.92071,33.61825,0.02739,342,1485,NA,NA
"49",17,2020-04-23,"ES",6,43,102,1453,42,1363,1.07001,36.15642,0.02959,370,1485,NA,NA
"50",17,2020-04-24,"ES",4,47,212,1665,42,1381,1.16955,41.43182,0.02823,409,NA,NA,NA
"51",17,2020-04-25,"ES",5,52,46,1711,47,1595,1.29397,42.57649,0.03039,468,NA,NA,NA
"52",18,2020-04-26,"ES",5,57,108,1819,51,1703,1.41839,45.26396,0.03134,481,NA,NA,NA
"53",18,2020-04-27,"ES",6,63,125,1944,57,1796,1.56769,48.37445,0.03241,501,NA,NA,NA
"54",18,2020-04-28,"ES",14,77,220,2164,64,1874,1.91607,53.84893,0.03558,501,NA,NA,NA
"55",18,2020-04-29,"ES",7,84,374,2538,76,2107,2.09025,63.15554,0.0331,819,NA,NA,NA
"56",18,2020-04-30,"ES",9,93,150,2688,83,2465,2.31421,66.88813,0.0346,849,NA,NA,NA
"57",18,2020-05-01,"ES",8,101,225,2913,96,2662,2.51328,72.48703,0.03467,897,NA,NA,NA
"58",18,2020-05-02,"ES",3,104,191,3104,103,2985,2.58793,77.23987,0.03351,979,NA,NA,NA
"59",19,2020-05-03,"ES",11,115,104,3208,114,3086,2.86166,79.8278,0.03585,998,NA,NA,NA
"60",19,2020-05-04,"ES",8,123,143,3351,122,3226,3.06073,83.38621,0.03671,1023,NA,NA,NA
"61",19,2020-05-05,"ES",10,133,189,3540,133,3402,3.30957,88.08928,0.03757,1128,NA,NA,NA
"62",19,2020-05-06,"ES",13,146,174,3714,145,3568,3.63306,92.4191,0.03931,1237,NA,NA,NA
"63",19,2020-05-07,"ES",11,157,274,3988,155,3838,3.90678,99.23731,0.03937,1332,NA,NA,NA
"64",19,2020-05-08,"ES",8,165,254,4242,165,4242,4.10586,105.55784,0.0389,1502,NA,NA,NA
"65",19,2020-05-09,"ES",7,172,170,4412,172,4412,4.28004,109.78811,0.03898,1607,NA,NA,NA
"66",20,2020-05-10,"ES",9,181,187,4599,181,4599,4.504,114.44142,0.03936,1655,NA,NA,NA
"67",20,2020-05-11,"ES",15,196,220,4819,196,4819,4.87726,119.91589,0.04067,1734,NA,NA,NA
"68",20,2020-05-12,"ES",16,212,268,5087,212,5087,5.2754,126.5848,0.04167,1734,NA,NA,NA
"69",20,2020-05-13,"ES",21,233,314,5401,233,5401,5.79797,134.39837,0.04314,2128,NA,NA,NA
"70",20,2020-05-14,"ES",16,249,412,5813,249,5813,6.19611,144.65057,0.04284,2286,NA,NA,NA
"71",20,2020-05-15,"ES",11,260,385,6198,260,6198,6.46983,154.2309,0.04195,2503,NA,NA,NA
"72",20,2020-05-16,"ES",11,271,397,6595,271,6595,6.74356,164.10984,0.04109,2585,NA,NA,NA
"73",21,2020-05-17,"ES",14,285,149,6744,285,6744,7.09193,167.81755,0.04226,2585,NA,NA,NA
"74",21,2020-05-18,"ES",17,302,413,7157,302,7157,7.51496,178.09463,0.0422,2919,NA,NA,NA
"75",21,2020-05-19,"ES",23,325,536,7693,325,7693,8.08729,191.43245,0.04225,3209,NA,NA,NA
"76",21,2020-05-20,"ES",21,346,802,8495,341,8092,8.60986,211.3894,0.04073,3676,NA,NA,NA
"77",21,2020-05-21,"ES",17,363,383,8878,363,8878,9.03288,220.91996,0.04089,3875,NA,NA,NA
"78",21,2020-05-22,"ES",34,397,642,9520,397,9520,9.87894,236.89547,0.0417,4430,NA,NA,NA
"79",21,2020-05-23,"ES",20,417,398,9918,417,9918,10.37662,246.7993,0.04204,4660,NA,NA,NA
"80",22,2020-05-24,"ES",30,447,89,10007,446,10007,11.12314,249.01397,0.04467,4660,NA,NA,NA
"81",22,2020-05-25,"ES",18,465,358,10365,465,10365,11.57105,257.92244,0.04486,5167,NA,NA,NA
"82",22,2020-05-26,"ES",22,487,524,10889,487,10889,12.1185,270.96164,0.04472,5761,NA,NA,NA
"83",22,2020-05-27,"ES",24,511,595,11484,511,11484,12.71571,285.76761,0.0445,6334,NA,NA,NA
"84",22,2020-05-28,"ES",27,538,719,12203,538,12203,13.38758,303.65919,0.04409,7012,NA,NA,NA
"85",22,2020-05-29,"ES",22,560,700,12903,560,12903,13.93503,321.07797,0.0434,7351,NA,NA,NA
"86",22,2020-05-30,"ES",23,583,534,13437,583,13437,14.50736,334.36602,0.04339,7420,NA,NA,NA
"87",23,2020-05-31,"ES",21,604,253,13690,604,13690,15.02992,340.66166,0.04412,7732,NA,NA,NA
"88",23,2020-06-01,"ES",24,628,595,14285,614,14069,15.62714,355.46763,0.04396,8012,NA,NA,NA
"89",23,2020-06-02,"ES",36,664,866,15151,664,15151,16.52296,377.01716,0.04383,8434,NA,NA,NA
"90",23,2020-06-03,"ES",34,698,970,16121,698,16121,17.36902,401.15462,0.0433,8798,NA,NA,NA
"91",23,2020-06-04,"ES",39,737,773,16894,737,16894,18.33949,420.38993,0.04362,9192,NA,NA,NA
"92",23,2020-06-05,"ES",43,780,1215,18109,780,18109,19.4095,450.62397,0.04307,9919,7603,NA,NA
