"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-12,"GO",0,0,3,3,0,0,0,0.04275,0,NA,NA,NA,NA
"2",11,2020-03-13,"GO",0,0,0,3,0,3,0,0.04275,0,NA,NA,NA,NA
"3",11,2020-03-14,"GO",0,0,1,4,0,3,0,0.05699,0,NA,NA,NA,NA
"4",12,2020-03-15,"GO",0,0,0,4,0,3,0,0.05699,0,NA,NA,NA,NA
"5",12,2020-03-16,"GO",0,0,5,9,0,3,0,0.12824,0,NA,NA,NA,NA
"6",12,2020-03-17,"GO",0,0,1,10,0,6,0,0.14248,0,NA,NA,NA,NA
"7",12,2020-03-18,"GO",0,0,2,12,0,8,0,0.17098,0,NA,NA,NA,NA
"8",12,2020-03-19,"GO",0,0,3,15,0,12,0,0.21373,0,NA,NA,NA,NA
"9",12,2020-03-20,"GO",0,0,3,18,0,15,0,0.25647,0,NA,NA,NA,NA
"10",12,2020-03-21,"GO",0,0,2,20,0,20,0,0.28497,0,NA,NA,NA,NA
"11",13,2020-03-22,"GO",0,0,1,21,0,21,0,0.29922,0,NA,NA,NA,NA
"12",13,2020-03-23,"GO",0,0,2,23,0,23,0,0.32771,0,NA,NA,NA,NA
"13",13,2020-03-24,"GO",0,0,6,29,0,27,0,0.4132,0,NA,NA,NA,NA
"14",13,2020-03-25,"GO",0,0,6,35,0,29,0,0.49869,0,NA,NA,NA,NA
"15",13,2020-03-26,"GO",1,1,4,39,1,39,0.01425,0.55569,0.02564,NA,NA,NA,NA
"16",13,2020-03-27,"GO",0,1,10,49,1,49,0.01425,0.69817,0.02041,NA,NA,NA,NA
"17",13,2020-03-28,"GO",0,1,7,56,1,56,0.01425,0.79791,0.01786,NA,NA,NA,NA
"18",14,2020-03-29,"GO",0,1,2,58,1,58,0.01425,0.8264,0.01724,NA,NA,NA,NA
"19",14,2020-03-30,"GO",0,1,3,61,1,61,0.01425,0.86915,0.01639,NA,1626,NA,NA
"20",14,2020-03-31,"GO",0,1,4,65,1,65,0.01425,0.92614,0.01538,NA,2546,NA,NA
"21",14,2020-04-01,"GO",0,1,8,73,1,71,0.01425,1.04013,0.0137,NA,2333,NA,NA
"22",14,2020-04-02,"GO",0,1,0,73,1,73,0.01425,1.04013,0.0137,NA,2333,NA,NA
"23",14,2020-04-03,"GO",1,2,15,88,2,88,0.0285,1.25386,0.02273,NA,2333,NA,NA
"24",14,2020-04-04,"GO",0,2,15,103,2,103,0.0285,1.46758,0.01942,NA,2333,NA,NA
"25",15,2020-04-05,"GO",1,3,12,115,3,115,0.04275,1.63856,0.02609,NA,2333,NA,NA
"26",15,2020-04-06,"GO",2,5,4,119,5,119,0.07124,1.69555,0.04202,NA,2333,NA,NA
"27",15,2020-04-07,"GO",0,5,14,133,5,133,0.07124,1.89503,0.03759,NA,2657,NA,NA
"28",15,2020-04-08,"GO",2,7,26,159,7,158,0.09974,2.26549,0.04403,NA,2657,NA,NA
"29",15,2020-04-09,"GO",0,7,20,179,7,179,0.09974,2.55046,0.03911,NA,2657,NA,NA
"30",15,2020-04-10,"GO",1,8,12,191,8,191,0.11399,2.72144,0.04188,NA,2657,NA,NA
"31",15,2020-04-11,"GO",2,10,18,209,10,209,0.14248,2.97791,0.04785,NA,2657,NA,NA
"32",16,2020-04-12,"GO",4,14,20,229,14,229,0.19948,3.26287,0.06114,NA,3646,NA,NA
"33",16,2020-04-13,"GO",1,15,4,233,15,233,0.21373,3.31987,0.06438,NA,3646,NA,NA
"34",16,2020-04-14,"GO",0,15,51,284,15,284,0.21373,4.04653,0.05282,NA,3646,NA,NA
"35",16,2020-04-15,"GO",0,15,20,304,15,304,0.21373,4.3315,0.04934,NA,3646,NA,NA
"36",16,2020-04-16,"GO",1,16,14,318,16,318,0.22797,4.53098,0.05031,NA,3646,NA,NA
"37",16,2020-04-17,"GO",0,16,17,335,16,335,0.22797,4.7732,0.04776,NA,5207,NA,NA
"38",16,2020-04-18,"GO",2,18,43,378,18,378,0.25647,5.38588,0.04762,NA,5207,NA,NA
"39",17,2020-04-19,"GO",0,18,15,393,18,393,0.25647,5.5996,0.0458,NA,6494,NA,NA
"40",17,2020-04-20,"GO",1,19,10,403,19,403,0.27072,5.74209,0.04715,NA,6699,NA,NA
"41",17,2020-04-21,"GO",0,19,18,421,19,421,0.27072,5.99856,0.04513,NA,7003,NA,NA
