"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-20,"MA",0,0,1,1,0,0,0,0.01413,0,NA,NA,NA,NA
"2",12,2020-03-21,"MA",0,0,1,2,0,1,0,0.02827,0,NA,NA,NA,NA
"3",13,2020-03-22,"MA",0,0,0,2,0,2,0,0.02827,0,NA,NA,NA,NA
"4",13,2020-03-23,"MA",0,0,6,8,0,2,0,0.11307,0,NA,302,NA,NA
"5",13,2020-03-24,"MA",0,0,0,8,0,8,0,0.11307,0,NA,302,NA,NA
"6",13,2020-03-25,"MA",0,0,0,8,0,8,0,0.11307,0,NA,302,NA,NA
"7",13,2020-03-26,"MA",0,0,2,10,0,10,0,0.14134,0,NA,728,NA,NA
"8",13,2020-03-27,"MA",0,0,3,13,0,13,0,0.18374,0,NA,728,NA,NA
"9",13,2020-03-28,"MA",0,0,2,15,0,14,0,0.21201,0,NA,728,NA,NA
"10",14,2020-03-29,"MA",1,1,6,21,0,16,0.01413,0.29681,0.04762,NA,728,NA,NA
"11",14,2020-03-30,"MA",0,1,9,30,1,23,0.01413,0.42402,0.03333,NA,222,NA,NA
"12",14,2020-03-31,"MA",0,1,21,51,1,31,0.01413,0.72083,0.01961,NA,754,NA,NA
"13",14,2020-04-01,"MA",0,1,19,70,1,54,0.01413,0.98937,0.01429,12,774,NA,NA
"14",14,2020-04-02,"MA",0,1,10,80,1,71,0.01413,1.13071,0.0125,12,913,NA,NA
"15",14,2020-04-03,"MA",0,1,7,87,1,81,0.01413,1.22965,0.01149,12,913,NA,NA
"16",14,2020-04-04,"MA",1,2,8,95,1,88,0.02827,1.34272,0.02105,12,913,NA,NA
"17",15,2020-04-05,"MA",0,2,37,132,2,96,0.02827,1.86568,0.01515,12,913,NA,NA
"18",15,2020-04-06,"MA",2,4,39,171,2,133,0.05654,2.4169,0.02339,12,913,NA,NA
"19",15,2020-04-07,"MA",7,11,58,229,4,172,0.15547,3.23667,0.04803,45,1372,NA,NA
"20",15,2020-04-08,"MA",1,12,43,272,11,230,0.16961,3.84442,0.04412,45,1372,NA,NA
"21",15,2020-04-09,"MA",4,16,21,293,12,273,0.22614,4.14124,0.05461,50,1372,NA,NA
"22",15,2020-04-10,"MA",5,21,51,344,16,293,0.29681,4.86207,0.06105,54,2242,NA,NA
"23",15,2020-04-11,"MA",3,24,54,398,21,344,0.33921,5.6253,0.0603,65,2265,NA,NA
