"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-08,"MG",0,0,1,1,0,1,0,0.00472,0,NA,NA,NA,NA
"2",11,2020-03-09,"MG",0,0,0,1,0,1,0,0.00472,0,NA,NA,NA,NA
"3",11,2020-03-10,"MG",0,0,0,1,0,1,0,0.00472,0,NA,NA,NA,NA
"4",11,2020-03-11,"MG",0,0,0,1,0,1,0,0.00472,0,NA,NA,NA,NA
"5",11,2020-03-12,"MG",0,0,1,2,0,1,0,0.00945,0,NA,NA,NA,NA
"6",11,2020-03-13,"MG",0,0,0,2,0,2,0,0.00945,0,NA,NA,NA,NA
"7",11,2020-03-14,"MG",0,0,2,4,0,2,0,0.0189,0,NA,NA,NA,NA
"8",12,2020-03-15,"MG",0,0,0,4,0,2,0,0.0189,0,NA,NA,NA,NA
"9",12,2020-03-16,"MG",0,0,2,6,0,5,0,0.02834,0,NA,NA,NA,NA
"10",12,2020-03-17,"MG",0,0,8,14,0,7,0,0.06614,0,NA,NA,NA,NA
"11",12,2020-03-18,"MG",0,0,5,19,0,15,0,0.08975,0,NA,NA,NA,NA
"12",12,2020-03-19,"MG",0,0,10,29,0,29,0,0.13699,0,NA,NA,NA,NA
"13",12,2020-03-20,"MG",0,0,9,38,0,35,0,0.17951,0,NA,NA,NA,NA
"14",12,2020-03-21,"MG",0,0,17,55,0,38,0,0.25982,0,NA,NA,NA,NA
"15",13,2020-03-22,"MG",0,0,28,83,0,83,0,0.39209,0,NA,NA,NA,NA
"16",13,2020-03-23,"MG",0,0,45,128,0,128,0,0.60466,0,NA,7766,NA,NA
"17",13,2020-03-24,"MG",0,0,2,130,0,130,0,0.61411,0,NA,7766,NA,NA
"18",13,2020-03-25,"MG",0,0,3,133,0,133,0,0.62828,0,NA,14227,NA,NA
"19",13,2020-03-26,"MG",0,0,20,153,0,153,0,0.72276,0,NA,17409,NA,NA
"20",13,2020-03-27,"MG",0,0,36,189,0,189,0,0.89282,0,NA,21691,NA,NA
"21",13,2020-03-28,"MG",0,0,16,205,0,205,0,0.96841,0,NA,22974,NA,NA
"22",14,2020-03-29,"MG",0,0,26,231,0,231,0,1.09123,0,NA,28783,NA,NA
"23",14,2020-03-30,"MG",1,1,30,261,1,261,0.00472,1.23295,0.00383,NA,29724,NA,NA
"24",14,2020-03-31,"MG",1,2,14,275,2,275,0.00945,1.29908,0.00727,NA,34224,NA,NA
"25",14,2020-04-01,"MG",1,3,39,314,3,314,0.01417,1.48332,0.00955,NA,34018,NA,NA
"26",14,2020-04-02,"MG",1,4,56,370,4,370,0.0189,1.74786,0.01081,NA,39084,NA,NA
"27",14,2020-04-03,"MG",2,6,27,397,6,397,0.02834,1.8754,0.01511,NA,41399,NA,NA
"28",14,2020-04-04,"MG",0,6,33,430,6,430,0.02834,2.03129,0.01395,NA,44528,NA,NA
"29",15,2020-04-05,"MG",0,6,68,498,6,498,0.02834,2.35252,0.01205,NA,47018,NA,NA
"30",15,2020-04-06,"MG",3,9,27,525,9,525,0.04252,2.48007,0.01714,NA,47715,NA,NA
"31",15,2020-04-07,"MG",2,11,34,559,11,559,0.05196,2.64068,0.01968,NA,49652,NA,NA
"32",15,2020-04-08,"MG",3,14,55,614,14,614,0.06614,2.9005,0.0228,NA,51640,NA,NA
"33",15,2020-04-09,"MG",1,15,41,655,15,655,0.07086,3.09418,0.0229,NA,56807,NA,NA
"34",15,2020-04-10,"MG",2,17,43,698,17,698,0.08031,3.29731,0.02436,NA,56807,NA,NA
"35",15,2020-04-11,"MG",0,17,52,750,17,750,0.08031,3.54295,0.02267,NA,56807,NA,NA
"36",16,2020-04-12,"MG",3,20,56,806,20,806,0.09448,3.80749,0.02481,NA,59027,NA,NA
"37",16,2020-04-13,"MG",3,23,9,815,23,815,0.10865,3.85001,0.02822,NA,60066,NA,NA
"38",16,2020-04-14,"MG",4,27,69,884,27,884,0.12755,4.17596,0.03054,NA,63951,NA,NA
"39",16,2020-04-15,"MG",3,30,19,903,30,903,0.14172,4.26571,0.03322,NA,67177,NA,NA
