"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-14,"MS",0,0,2,2,0,0,0,0.07197,0,NA,NA,NA,NA
"2",12,2020-03-15,"MS",0,0,0,2,0,0,0,0.07197,0,NA,NA,NA,NA
"3",12,2020-03-16,"MS",0,0,2,4,0,2,0,0.14394,0,NA,NA,NA,NA
"4",12,2020-03-17,"MS",0,0,2,6,0,4,0,0.21591,0,NA,NA,NA,NA
"5",12,2020-03-18,"MS",0,0,1,7,0,7,0,0.25189,0,NA,NA,NA,NA
"6",12,2020-03-19,"MS",0,0,2,9,0,7,0,0.32386,0,NA,NA,NA,NA
"7",12,2020-03-20,"MS",0,0,3,12,0,9,0,0.43181,0,NA,NA,NA,NA
"8",12,2020-03-21,"MS",0,0,4,16,0,16,0,0.57575,0,NA,NA,NA,NA
"9",13,2020-03-22,"MS",0,0,5,21,0,21,0,0.75567,0,NA,NA,NA,NA
"10",13,2020-03-23,"MS",0,0,0,21,0,21,0,0.75567,0,NA,NA,NA,NA
"11",13,2020-03-24,"MS",0,0,3,24,0,23,0,0.86362,0,NA,NA,NA,NA
"12",13,2020-03-25,"MS",0,0,0,24,0,24,0,0.86362,0,NA,NA,NA,NA
"13",13,2020-03-26,"MS",0,0,1,25,0,25,0,0.89961,0,NA,NA,NA,NA
"14",13,2020-03-27,"MS",0,0,3,28,0,28,0,1.00756,0,NA,NA,NA,NA
"15",13,2020-03-28,"MS",0,0,3,31,0,31,0,1.11551,0,NA,NA,NA,NA
"16",14,2020-03-29,"MS",0,0,5,36,0,36,0,1.29544,0,NA,NA,NA,NA
"17",14,2020-03-30,"MS",0,0,8,44,0,44,0,1.58331,0,NA,NA,NA,NA
"18",14,2020-03-31,"MS",1,1,4,48,1,48,0.03598,1.72725,0.02083,NA,NA,NA,NA
"19",14,2020-04-01,"MS",0,1,3,51,1,51,0.03598,1.8352,0.01961,NA,39,NA,NA
"20",14,2020-04-02,"MS",0,1,2,53,1,53,0.03598,1.90717,0.01887,NA,39,NA,NA
"21",14,2020-04-03,"MS",0,1,7,60,1,60,0.03598,2.15906,0.01667,NA,39,NA,NA
"22",14,2020-04-04,"MS",0,1,2,62,1,62,0.03598,2.23103,0.01613,NA,41,NA,NA
"23",15,2020-04-05,"MS",0,1,3,65,1,65,0.03598,2.33898,0.01538,NA,41,NA,NA
"24",15,2020-04-06,"MS",0,1,1,66,1,66,0.03598,2.37497,0.01515,NA,63,NA,NA
"25",15,2020-04-07,"MS",1,2,14,80,2,80,0.07197,2.87875,0.025,NA,26,NA,NA
"26",15,2020-04-08,"MS",0,2,5,85,2,85,0.07197,3.05867,0.02353,7,43,NA,NA
"27",15,2020-04-09,"MS",0,2,4,89,2,89,0.07197,3.20261,0.02247,7,43,NA,NA
"28",15,2020-04-10,"MS",0,2,8,97,2,97,0.07197,3.49048,0.02062,7,32,NA,NA
"29",15,2020-04-11,"MS",0,2,3,100,2,100,0.07197,3.59843,0.02,7,47,NA,NA
"30",16,2020-04-12,"MS",0,2,1,101,2,101,0.07197,3.63442,0.0198,7,63,NA,NA
"31",16,2020-04-13,"MS",2,4,12,113,4,113,0.14394,4.06623,0.0354,7,63,NA,NA
"32",16,2020-04-14,"MS",0,4,2,115,4,115,0.14394,4.1382,0.03478,11,18,NA,NA
"33",16,2020-04-15,"MS",0,4,6,121,4,121,0.14394,4.35411,0.03306,11,30,NA,NA
"34",16,2020-04-16,"MS",1,5,10,131,5,131,0.17992,4.71395,0.03817,12,30,NA,NA
"35",16,2020-04-17,"MS",0,5,12,143,5,143,0.17992,5.14576,0.03497,12,30,NA,NA
"36",16,2020-04-18,"MS",0,5,18,161,5,161,0.17992,5.79348,0.03106,14,50,NA,NA
"37",17,2020-04-19,"MS",0,5,7,168,5,168,0.17992,6.04537,0.02976,14,43,NA,NA
"38",17,2020-04-20,"MS",0,5,3,171,5,171,0.17992,6.15332,0.02924,16,37,NA,NA
"39",17,2020-04-21,"MS",1,6,2,173,6,173,0.21591,6.22529,0.03468,16,45,NA,NA
"40",17,2020-04-22,"MS",0,6,2,175,6,175,0.21591,6.29726,0.03429,19,27,NA,NA
"41",17,2020-04-23,"MS",1,7,11,186,7,186,0.25189,6.69309,0.03763,21,27,NA,NA
"42",17,2020-04-24,"MS",0,7,27,213,7,213,0.25189,7.66467,0.03286,102,21,NA,NA
"43",17,2020-04-25,"MS",0,7,4,217,7,217,0.25189,7.8086,0.03226,105,25,NA,NA
"44",18,2020-04-26,"MS",0,7,17,234,7,234,0.25189,8.42034,0.02991,114,18,NA,NA
"45",18,2020-04-27,"MS",2,9,4,238,9,238,0.32386,8.56427,0.03782,124,18,NA,NA
"46",18,2020-04-28,"MS",0,9,2,240,9,240,0.32386,8.63624,0.0375,124,38,NA,NA
"47",18,2020-04-29,"MS",0,9,9,249,9,249,0.32386,8.9601,0.03614,134,20,NA,NA
"48",18,2020-04-30,"MS",0,9,6,255,9,255,0.32386,9.17601,0.03529,153,39,NA,NA
"49",18,2020-05-01,"MS",0,9,6,261,9,261,0.32386,9.39191,0.03448,153,38,NA,NA
"50",18,2020-05-02,"MS",0,9,5,266,9,266,0.32386,9.57184,0.03383,154,53,NA,NA
"51",19,2020-05-03,"MS",1,10,6,272,10,272,0.35984,9.78774,0.03676,156,53,NA,NA
"52",19,2020-05-04,"MS",0,10,2,274,10,274,0.35984,9.85971,0.0365,172,50,NA,NA
