"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-20,"MT",0,0,1,1,0,1,0,0.0287,0,NA,NA,NA,NA
"2",12,2020-03-21,"MT",0,0,1,2,0,2,0,0.0574,0,NA,NA,NA,NA
"3",13,2020-03-22,"MT",0,0,0,2,0,2,0,0.0574,0,NA,NA,NA,NA
"4",13,2020-03-23,"MT",0,0,4,6,0,2,0,0.17219,0,NA,NA,NA,NA
"5",13,2020-03-24,"MT",0,0,1,7,0,7,0,0.20089,0,NA,NA,NA,NA
"6",13,2020-03-25,"MT",0,0,2,9,0,8,0,0.25829,0,NA,326,NA,NA
"7",13,2020-03-26,"MT",0,0,2,11,0,11,0,0.31569,0,NA,326,NA,NA
"8",13,2020-03-27,"MT",0,0,0,11,0,11,0,0.31569,0,NA,326,NA,NA
"9",13,2020-03-28,"MT",0,0,2,13,0,13,0,0.37308,0,NA,326,NA,NA
"10",14,2020-03-29,"MT",0,0,3,16,0,16,0,0.45918,0,NA,326,NA,NA
"11",14,2020-03-30,"MT",0,0,2,18,0,18,0,0.51658,0,NA,326,NA,NA
"12",14,2020-03-31,"MT",0,0,7,25,0,25,0,0.71747,0,NA,326,NA,NA
"13",14,2020-04-01,"MT",0,0,3,28,0,27,0,0.80357,0,NA,326,NA,NA
"14",14,2020-04-02,"MT",0,0,13,41,0,36,0,1.17665,0,NA,326,NA,NA
"15",14,2020-04-03,"MT",1,1,3,44,1,44,0.0287,1.26275,0.02273,NA,326,NA,NA
"16",14,2020-04-04,"MT",0,1,16,60,1,56,0.0287,1.72193,0.01667,NA,326,NA,NA
"17",15,2020-04-05,"MT",0,1,0,60,1,60,0.0287,1.72193,0.01667,NA,326,NA,NA
"18",15,2020-04-06,"MT",0,1,16,76,1,76,0.0287,2.18111,0.01316,13,326,NA,NA
"19",15,2020-04-07,"MT",0,1,2,78,1,78,0.0287,2.23851,0.01282,13,326,NA,NA
"20",15,2020-04-08,"MT",0,1,12,90,1,90,0.0287,2.58289,0.01111,13,326,NA,NA
"21",15,2020-04-09,"MT",1,2,18,108,2,108,0.0574,3.09947,0.01852,13,326,NA,NA
"22",15,2020-04-10,"MT",0,2,4,112,2,112,0.0574,3.21427,0.01786,13,326,NA,NA
"23",15,2020-04-11,"MT",1,3,9,121,3,121,0.0861,3.47256,0.02479,13,326,NA,NA
"24",16,2020-04-12,"MT",0,3,2,123,3,123,0.0861,3.52995,0.02439,17,326,NA,NA
"25",16,2020-04-13,"MT",1,4,11,134,4,134,0.1148,3.84564,0.02985,17,326,NA,NA
"26",16,2020-04-14,"MT",0,4,4,138,4,138,0.1148,3.96043,0.02899,31,326,NA,NA
"27",16,2020-04-15,"MT",0,4,13,151,4,151,0.1148,4.33352,0.02649,42,326,NA,NA
"28",16,2020-04-16,"MT",1,5,5,156,5,156,0.14349,4.47701,0.03205,46,326,NA,NA
"29",16,2020-04-17,"MT",0,5,6,162,5,162,0.14349,4.64921,0.03086,46,326,NA,NA
"30",16,2020-04-18,"MT",0,5,9,171,5,171,0.14349,4.9075,0.02924,78,326,NA,NA
"31",17,2020-04-19,"MT",0,5,3,174,5,174,0.14349,4.99359,0.02874,78,326,NA,NA
"32",17,2020-04-20,"MT",1,6,7,181,6,181,0.17219,5.19448,0.03315,89,326,NA,NA
"33",17,2020-04-21,"MT",0,6,0,181,6,181,0.17219,5.19448,0.03315,89,326,NA,NA
"34",17,2020-04-22,"MT",0,6,24,205,6,183,0.17219,5.88325,0.02927,94,NA,NA,NA
"35",17,2020-04-23,"MT",1,7,16,221,7,221,0.20089,6.34244,0.03167,109,NA,NA,NA
"36",17,2020-04-24,"MT",1,8,20,241,8,240,0.22959,6.91641,0.0332,125,NA,NA,NA
"37",17,2020-04-25,"MT",1,9,6,247,9,247,0.25829,7.0886,0.03644,127,79,NA,NA
"38",18,2020-04-26,"MT",0,9,3,250,9,250,0.25829,7.1747,0.036,129,79,NA,NA
"39",18,2020-04-27,"MT",1,10,7,257,10,257,0.28699,7.37559,0.03891,145,24,NA,NA
"40",18,2020-04-28,"MT",1,11,6,263,11,261,0.31569,7.54778,0.04183,153,24,NA,NA
"41",18,2020-04-29,"MT",0,11,29,292,11,292,0.31569,8.38005,0.03767,173,23,NA,NA
"42",18,2020-04-30,"MT",0,11,10,302,11,297,0.31569,8.66704,0.03642,182,23,NA,NA
"43",18,2020-05-01,"MT",0,11,18,320,11,320,0.31569,9.18362,0.03438,188,23,NA,NA
"44",18,2020-05-02,"MT",1,12,13,333,12,331,0.34439,9.5567,0.03604,189,23,NA,NA
"45",19,2020-05-03,"MT",0,12,4,337,12,337,0.34439,9.6715,0.03561,190,23,NA,NA
"46",19,2020-05-04,"MT",1,13,7,344,13,344,0.37308,9.87239,0.03779,205,23,NA,NA
"47",19,2020-05-05,"MT",0,13,22,366,13,365,0.37308,10.50376,0.03552,215,23,NA,NA
"48",19,2020-05-06,"MT",0,13,19,385,13,379,0.37308,11.04904,0.03377,220,23,NA,NA
"49",19,2020-05-07,"MT",1,14,34,419,13,417,0.40178,12.0248,0.03341,258,23,NA,NA
"50",19,2020-05-08,"MT",1,15,45,464,14,457,0.43048,13.31624,0.03233,263,120,NA,NA
"51",19,2020-05-09,"MT",1,16,38,502,16,502,0.45918,14.4068,0.03187,263,137,NA,NA
"52",20,2020-05-10,"MT",2,18,17,519,18,519,0.51658,14.89468,0.03468,265,30,NA,NA
"53",20,2020-05-11,"MT",1,19,26,545,19,541,0.54528,15.64085,0.03486,270,90,NA,NA
"54",20,2020-05-12,"MT",1,20,59,604,19,591,0.57398,17.33408,0.03311,277,90,NA,NA
"55",20,2020-05-13,"MT",1,21,69,673,20,661,0.60267,19.31429,0.0312,286,127,NA,NA
"56",20,2020-05-14,"MT",3,24,61,734,23,719,0.68877,21.06492,0.0327,296,127,NA,NA
"57",20,2020-05-15,"MT",2,26,58,792,26,779,0.74617,22.72945,0.03283,307,127,NA,NA
"58",20,2020-05-16,"MT",1,27,65,857,27,851,0.77487,24.59487,0.03151,314,127,NA,NA
"59",21,2020-05-17,"MT",0,27,44,901,27,901,0.77487,25.85762,0.02997,323,127,NA,NA
"60",21,2020-05-18,"MT",3,30,40,941,29,937,0.86096,27.00557,0.03188,337,127,NA,NA
"61",21,2020-05-19,"MT",2,32,64,1005,32,995,0.91836,28.8423,0.03184,363,127,NA,NA
"62",21,2020-05-20,"MT",0,32,85,1090,32,1054,0.91836,31.28169,0.02936,388,127,NA,NA
"63",21,2020-05-21,"MT",2,34,97,1187,34,1172,0.97576,34.06548,0.02864,428,127,NA,NA
"64",21,2020-05-22,"MT",3,37,84,1271,37,1220,1.06186,36.47618,0.02911,444,127,NA,NA
"65",21,2020-05-23,"MT",0,37,92,1363,37,1352,1.06186,39.11647,0.02715,451,127,NA,NA
"66",22,2020-05-24,"MT",3,40,101,1464,40,1462,1.14795,42.01505,0.02732,460,195,NA,NA
