"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-18,"PA",0,0,1,1,0,0,0,0.01162,0,NA,NA,NA,NA
"2",12,2020-03-19,"PA",0,0,0,1,0,1,0,0.01162,0,NA,NA,NA,NA
"3",12,2020-03-20,"PA",0,0,1,2,0,2,0,0.02325,0,NA,NA,NA,NA
"4",12,2020-03-21,"PA",0,0,0,2,0,2,0,0.02325,0,NA,NA,NA,NA
"5",13,2020-03-22,"PA",0,0,2,4,0,4,0,0.0465,0,NA,NA,NA,NA
"6",13,2020-03-23,"PA",0,0,1,5,0,5,0,0.05812,0,NA,NA,NA,NA
"7",13,2020-03-24,"PA",0,0,0,5,0,5,0,0.05812,0,NA,NA,NA,NA
"8",13,2020-03-25,"PA",0,0,2,7,0,7,0,0.08137,0,NA,137,NA,NA
"9",13,2020-03-26,"PA",0,0,6,13,0,13,0,0.15111,0,NA,97,NA,NA
"10",13,2020-03-27,"PA",0,0,3,16,0,13,0,0.18598,0,NA,115,NA,NA
"11",13,2020-03-28,"PA",0,0,2,18,0,17,0,0.20923,0,NA,115,NA,NA
"12",14,2020-03-29,"PA",0,0,2,20,0,18,0,0.23248,0,NA,87,NA,NA
"13",14,2020-03-30,"PA",0,0,6,26,0,21,0,0.30222,0,NA,47,NA,NA
"14",14,2020-03-31,"PA",0,0,8,34,0,32,0,0.39522,0,NA,33,NA,NA
"15",14,2020-04-01,"PA",1,1,7,41,0,40,0.01162,0.47659,0.02439,NA,81,NA,NA
"16",14,2020-04-02,"PA",0,1,8,49,1,46,0.01162,0.56958,0.02041,NA,81,NA,NA
"17",14,2020-04-03,"PA",0,1,26,75,1,50,0.01162,0.8718,0.01333,NA,60,NA,NA
"18",14,2020-04-04,"PA",0,1,7,82,1,80,0.01162,0.95317,0.0122,NA,116,NA,NA
"19",15,2020-04-05,"PA",0,1,4,86,1,86,0.01162,0.99967,0.01163,NA,116,NA,NA
"20",15,2020-04-06,"PA",4,5,37,123,3,102,0.05812,1.42976,0.04065,NA,106,NA,NA
"21",15,2020-04-07,"PA",0,5,31,154,5,138,0.05812,1.7901,0.03247,NA,98,NA,NA
"22",15,2020-04-08,"PA",1,6,13,167,6,167,0.06974,1.94121,0.03593,NA,98,NA,NA
"23",15,2020-04-09,"PA",1,7,2,169,7,168,0.08137,1.96446,0.04142,NA,98,NA,NA
"24",15,2020-04-10,"PA",2,9,48,217,9,170,0.10462,2.52242,0.04147,NA,98,NA,NA
"25",15,2020-04-11,"PA",2,11,20,237,10,217,0.12786,2.7549,0.04641,NA,98,NA,NA
"26",16,2020-04-12,"PA",3,14,22,259,13,246,0.16274,3.01062,0.05405,NA,262,NA,NA
"27",16,2020-04-13,"PA",1,15,51,310,15,270,0.17436,3.60345,0.04839,NA,189,NA,NA
"28",16,2020-04-14,"PA",6,21,74,384,19,323,0.2441,4.46363,0.05469,NA,221,NA,NA
"29",16,2020-04-15,"PA",0,21,103,487,21,384,0.2441,5.6609,0.04312,NA,221,NA,NA
"30",16,2020-04-16,"PA",5,26,70,557,24,438,0.30222,6.47459,0.04668,NA,244,NA,NA
"31",16,2020-04-17,"PA",6,32,70,627,26,557,0.37197,7.28827,0.05104,NA,284,NA,NA
"32",16,2020-04-18,"PA",1,33,14,641,33,640,0.38359,7.45101,0.05148,NA,284,NA,NA
"33",17,2020-04-19,"PA",1,34,44,685,34,685,0.39522,7.96246,0.04964,NA,284,NA,NA
"34",17,2020-04-20,"PA",1,35,217,902,35,902,0.40684,10.48488,0.0388,429,284,NA,NA
"35",17,2020-04-21,"PA",3,38,124,1026,38,1026,0.44171,11.92626,0.03704,429,282,NA,NA
"36",17,2020-04-22,"PA",5,43,169,1195,43,1195,0.49983,13.89072,0.03598,450,433,NA,NA
"37",17,2020-04-23,"PA",10,53,72,1267,53,1267,0.61607,14.72765,0.04183,525,337,NA,NA
"38",17,2020-04-24,"PA",33,86,312,1579,75,1446,0.99967,18.35435,0.05446,606,337,NA,NA
"39",17,2020-04-25,"PA",9,95,166,1745,86,1579,1.10428,20.28394,0.05444,736,482,NA,NA
"40",18,2020-04-26,"PA",19,114,325,2070,100,1867,1.32514,24.06175,0.05507,879,593,NA,NA
"41",18,2020-04-27,"PA",8,122,149,2219,114,2128,1.41813,25.79373,0.05498,1002,494,NA,NA
"42",18,2020-04-28,"PA",10,132,100,2319,129,2262,1.53437,26.95614,0.05692,1124,592,NA,NA
"43",18,2020-04-29,"PA",24,156,267,2586,137,2422,1.81335,30.05975,0.06032,1277,325,NA,NA
"44",18,2020-04-30,"PA",68,224,413,2999,208,2876,2.60378,34.86048,0.07469,1428,321,NA,NA
"45",18,2020-05-01,"PA",39,263,360,3359,235,3176,3.05712,39.04513,0.0783,1592,353,NA,NA
"46",18,2020-05-02,"PA",43,306,368,3727,273,3460,3.55695,43.32278,0.0821,1814,453,NA,NA
"47",19,2020-05-03,"PA",11,317,193,3920,309,3863,3.68482,45.56622,0.08087,2015,616,NA,NA
"48",19,2020-05-04,"PA",27,344,342,4262,330,4125,3.99867,49.54164,0.08071,2199,399,NA,NA
"49",19,2020-05-05,"PA",31,375,494,4756,369,4472,4.35901,55.28391,0.07885,2442,242,NA,NA
"50",19,2020-05-06,"PA",35,410,768,5524,392,5017,4.76585,64.21117,0.07422,2981,288,NA,NA
"51",19,2020-05-07,"PA",78,488,411,5935,410,5524,5.67253,68.98865,0.08222,3233,372,NA,NA
"52",19,2020-05-08,"PA",86,574,584,6519,515,6141,6.6722,75.77708,0.08805,3399,548,NA,NA
"53",19,2020-05-09,"PA",36,610,499,7018,578,6775,7.09066,81.57747,0.08692,3754,545,NA,NA
"54",20,2020-05-10,"PA",62,672,330,7348,652,7256,7.81135,85.41341,0.09145,4091,545,NA,NA
"55",20,2020-05-11,"PA",140,812,721,8069,708,7563,9.43872,93.79433,0.10063,4547,755,NA,NA
"56",20,2020-05-12,"PA",102,914,990,9059,864,8616,10.62437,105.30213,0.10089,5143,661,NA,NA
"57",20,2020-05-13,"PA",108,1022,1285,10344,946,9618,11.87976,120.23901,0.0988,6023,723,NA,NA
"58",20,2020-05-14,"PA",73,1095,1135,11479,1063,10867,12.72832,133.43229,0.09539,6844,412,NA,NA
"59",20,2020-05-15,"PA",80,1175,1159,12638,1145,12109,13.65824,146.90455,0.09297,7623,250,NA,NA
"60",20,2020-05-16,"PA",48,1223,826,13464,1199,13184,14.21619,156.506,0.09083,8213,450,NA,NA
"61",21,2020-05-17,"PA",57,1280,737,14201,1239,13864,14.87876,165.07291,0.09013,8741,383,NA,NA
"62",21,2020-05-18,"PA",112,1392,1266,15467,1329,14734,16.18066,179.78894,0.09,9752,234,NA,NA
"63",21,2020-05-19,"PA",162,1554,1710,17177,1519,16295,18.06375,199.66604,0.09047,10815,135,NA,NA
"64",21,2020-05-20,"PA",224,1778,1752,18929,1633,18135,20.66753,220.03135,0.09393,10815,175,NA,NA
"65",21,2020-05-21,"PA",115,1893,1603,20532,1852,19756,22.0043,238.66468,0.0922,12754,131,NA,NA
"66",21,2020-05-22,"PA",110,2003,2165,22697,1937,21469,23.28294,263.83071,0.08825,13912,364,NA,NA
"67",21,2020-05-23,"PA",147,2150,1428,24125,2001,22697,24.99167,280.42983,0.08912,15591,295,NA,NA
