"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-18,"PB",0,0,1,1,0,0,0,0.02489,0,NA,NA,NA,NA
"2",12,2020-03-19,"PB",0,0,0,1,0,1,0,0.02489,0,NA,NA,NA,NA
"3",12,2020-03-20,"PB",0,0,0,1,0,1,0,0.02489,0,NA,NA,NA,NA
"4",12,2020-03-21,"PB",0,0,0,1,0,1,0,0.02489,0,NA,NA,NA,NA
"5",13,2020-03-22,"PB",0,0,0,1,0,1,0,0.02489,0,NA,NA,NA,NA
"6",13,2020-03-23,"PB",0,0,1,2,0,2,0,0.04977,0,NA,206,NA,NA
"7",13,2020-03-24,"PB",0,0,1,3,0,3,0,0.07466,0,NA,206,NA,NA
"8",13,2020-03-25,"PB",0,0,2,5,0,3,0,0.12444,0,NA,206,NA,NA
"9",13,2020-03-26,"PB",0,0,1,6,0,5,0,0.14932,0,NA,206,NA,NA
"10",13,2020-03-27,"PB",0,0,4,10,0,9,0,0.24887,0,NA,206,NA,NA
"11",13,2020-03-28,"PB",0,0,4,14,0,14,0,0.34842,0,3,206,NA,NA
"12",14,2020-03-29,"PB",0,0,0,14,0,14,0,0.34842,0,3,206,NA,NA
"13",14,2020-03-30,"PB",0,0,3,17,0,15,0,0.42308,0,3,90,NA,NA
"14",14,2020-03-31,"PB",1,1,1,18,0,17,0.02489,0.44797,0.05556,3,90,NA,NA
"15",14,2020-04-01,"PB",0,1,3,21,1,20,0.02489,0.52263,0.04762,3,90,NA,NA
"16",14,2020-04-02,"PB",0,1,8,29,1,21,0.02489,0.72173,0.03448,3,90,NA,NA
"17",14,2020-04-03,"PB",0,1,3,32,1,29,0.02489,0.79639,0.03125,3,90,NA,NA
"18",14,2020-04-04,"PB",2,3,2,34,2,32,0.07466,0.84617,0.08824,3,90,NA,NA
"19",15,2020-04-05,"PB",1,4,1,35,4,34,0.09955,0.87105,0.11429,3,90,NA,NA
"20",15,2020-04-06,"PB",0,4,1,36,4,35,0.09955,0.89594,0.11111,9,90,NA,NA
"21",15,2020-04-07,"PB",0,4,5,41,4,36,0.09955,1.02038,0.09756,9,1091,NA,NA
"22",15,2020-04-08,"PB",3,7,14,55,4,41,0.17421,1.3688,0.12727,9,1091,NA,NA
"23",15,2020-04-09,"PB",4,11,24,79,7,55,0.27376,1.96609,0.13924,9,1091,NA,NA
"24",15,2020-04-10,"PB",0,11,6,85,11,79,0.27376,2.11541,0.12941,30,1091,NA,NA
"25",15,2020-04-11,"PB",2,13,16,101,11,85,0.32353,2.51361,0.12871,30,1091,NA,NA
"26",16,2020-04-12,"PB",0,13,10,111,13,101,0.32353,2.76248,0.11712,43,1091,NA,NA
"27",16,2020-04-13,"PB",3,16,25,136,13,111,0.3982,3.38466,0.11765,52,1091,NA,NA
"28",16,2020-04-14,"PB",5,21,16,152,16,136,0.52263,3.78286,0.13816,52,1091,NA,NA
"29",16,2020-04-15,"PB",3,24,13,165,21,151,0.59729,4.10639,0.14545,80,1091,NA,NA
"30",16,2020-04-16,"PB",2,26,30,195,24,165,0.64707,4.85301,0.13333,80,1091,NA,NA
"31",16,2020-04-17,"PB",2,28,10,205,26,195,0.69684,5.10188,0.13659,90,1091,NA,NA
"32",16,2020-04-18,"PB",1,29,31,236,26,205,0.72173,5.87338,0.12288,90,148,NA,NA
"33",17,2020-04-19,"PB",3,32,9,245,29,236,0.79639,6.09737,0.13061,99,163,NA,NA
"34",17,2020-04-20,"PB",1,33,18,263,32,245,0.82128,6.54534,0.12548,116,163,NA,NA
"35",17,2020-04-21,"PB",6,39,38,301,33,263,0.9706,7.49105,0.12957,116,115,NA,NA
"36",17,2020-04-22,"PB",1,40,44,345,39,301,0.99549,8.58609,0.11594,116,148,NA,NA
"37",17,2020-04-23,"PB",4,44,41,386,40,345,1.09504,9.60647,0.11399,116,148,NA,NA
