"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-19,"PI",0,0,3,3,0,0,0,0.09165,0,NA,NA,NA,NA
"2",12,2020-03-20,"PI",0,0,1,4,0,3,0,0.1222,0,NA,NA,NA,NA
"3",12,2020-03-21,"PI",0,0,0,4,0,4,0,0.1222,0,NA,NA,NA,NA
"4",13,2020-03-22,"PI",0,0,2,6,0,4,0,0.18331,0,NA,NA,NA,NA
"5",13,2020-03-23,"PI",0,0,0,6,0,6,0,0.18331,0,NA,NA,NA,NA
"6",13,2020-03-24,"PI",0,0,2,8,0,6,0,0.24441,0,NA,160,NA,NA
"7",13,2020-03-25,"PI",0,0,1,9,0,8,0,0.27496,0,NA,348,NA,NA
"8",13,2020-03-26,"PI",0,0,0,9,0,9,0,0.27496,0,NA,348,NA,NA
"9",13,2020-03-27,"PI",1,1,1,10,0,9,0.03055,0.30551,0.1,NA,348,NA,NA
"10",13,2020-03-28,"PI",0,1,1,11,1,11,0.03055,0.33606,0.09091,NA,348,NA,NA
"11",14,2020-03-29,"PI",0,1,3,14,1,14,0.03055,0.42771,0.07143,NA,348,NA,NA
"12",14,2020-03-30,"PI",3,4,4,18,3,16,0.1222,0.54992,0.22222,NA,348,NA,NA
"13",14,2020-03-31,"PI",0,4,0,18,4,18,0.1222,0.54992,0.22222,NA,348,NA,NA
"14",14,2020-04-01,"PI",0,4,1,19,4,18,0.1222,0.58047,0.21053,NA,256,NA,NA
"15",14,2020-04-02,"PI",0,4,0,19,4,19,0.1222,0.58047,0.21053,NA,268,NA,NA
"16",14,2020-04-03,"PI",0,4,3,22,4,21,0.1222,0.67212,0.18182,NA,268,NA,NA
"17",14,2020-04-04,"PI",0,4,2,24,4,22,0.1222,0.73322,0.16667,NA,268,NA,NA
"18",15,2020-04-05,"PI",0,4,0,24,4,23,0.1222,0.73322,0.16667,NA,268,NA,NA
"19",15,2020-04-06,"PI",0,4,2,26,4,23,0.1222,0.79432,0.15385,NA,251,NA,NA
"20",15,2020-04-07,"PI",1,5,5,31,4,28,0.15275,0.94708,0.16129,NA,221,NA,NA
"21",15,2020-04-08,"PI",1,6,7,38,5,31,0.18331,1.16093,0.15789,NA,221,NA,NA
"22",15,2020-04-09,"PI",1,7,2,40,6,38,0.21386,1.22204,0.175,NA,221,NA,NA
"23",15,2020-04-10,"PI",0,7,1,41,7,40,0.21386,1.25259,0.17073,NA,221,NA,NA
"24",15,2020-04-11,"PI",0,7,3,44,7,41,0.21386,1.34424,0.15909,NA,221,NA,NA
"25",16,2020-04-12,"PI",0,7,7,51,7,44,0.21386,1.5581,0.13725,NA,221,NA,NA
"26",16,2020-04-13,"PI",1,8,7,58,8,50,0.24441,1.77195,0.13793,NA,221,NA,NA
"27",16,2020-04-14,"PI",0,8,17,75,8,58,0.24441,2.29132,0.10667,10,110,NA,NA
"28",16,2020-04-15,"PI",0,8,16,91,8,75,0.24441,2.78013,0.08791,5,108,NA,NA
"29",16,2020-04-16,"PI",0,8,11,102,8,91,0.24441,3.11619,0.07843,48,108,NA,NA
"30",16,2020-04-17,"PI",1,9,21,123,8,102,0.27496,3.75776,0.07317,63,108,NA,NA
"31",16,2020-04-18,"PI",1,10,21,144,9,123,0.30551,4.39933,0.06944,70,108,NA,NA
"32",17,2020-04-19,"PI",2,12,14,158,10,145,0.36661,4.82704,0.07595,75,108,NA,NA
"33",17,2020-04-20,"PI",2,14,28,186,12,158,0.42771,5.68247,0.07527,78,108,NA,NA
"34",17,2020-04-21,"PI",1,15,20,206,14,186,0.45826,6.29348,0.07282,80,108,NA,NA
"35",17,2020-04-22,"PI",0,15,11,217,15,206,0.45826,6.62954,0.06912,84,123,NA,NA
"36",17,2020-04-23,"PI",1,16,39,256,15,217,0.48881,7.82103,0.0625,84,123,NA,NA
"37",17,2020-04-24,"PI",1,17,41,297,16,256,0.51937,9.07361,0.05724,104,123,NA,NA
"38",17,2020-04-25,"PI",1,18,34,331,17,297,0.54992,10.11234,0.05438,110,123,NA,NA
"39",18,2020-04-26,"PI",2,20,33,364,18,331,0.61102,11.12052,0.05495,110,123,NA,NA
"40",18,2020-04-27,"PI",1,21,44,408,20,364,0.64157,12.46476,0.05147,121,123,NA,NA
"41",18,2020-04-28,"PI",3,24,46,454,21,408,0.73322,13.8701,0.05286,129,172,NA,NA
"42",18,2020-04-29,"PI",0,24,59,513,24,454,0.73322,15.67261,0.04678,141,172,NA,NA
"43",18,2020-04-30,"PI",0,24,87,600,24,513,0.73322,18.33053,0.04,151,172,NA,NA
"44",18,2020-05-01,"PI",2,26,65,665,24,600,0.79432,20.31634,0.0391,153,172,NA,NA
"45",18,2020-05-02,"PI",2,28,77,742,26,665,0.85542,22.66876,0.03774,159,172,NA,NA
"46",19,2020-05-03,"PI",0,28,42,784,28,742,0.85542,23.9519,0.03571,170,172,NA,NA
"47",19,2020-05-04,"PI",1,29,91,875,28,784,0.88598,26.73203,0.03314,170,172,NA,NA
"48",19,2020-05-05,"PI",1,30,74,949,29,875,0.91653,28.9928,0.03161,170,172,NA,NA
"49",19,2020-05-06,"PI",5,35,102,1051,30,949,1.06928,32.10899,0.0333,191,172,NA,NA
"50",19,2020-05-07,"PI",2,37,80,1131,35,1051,1.13038,34.55306,0.03271,200,172,NA,NA
"51",19,2020-05-08,"PI",1,38,102,1233,37,1131,1.16093,37.66925,0.03082,210,172,NA,NA
"52",19,2020-05-09,"PI",4,42,45,1278,38,1233,1.28314,39.04404,0.03286,220,172,NA,NA
"53",20,2020-05-10,"PI",3,45,54,1332,42,1278,1.37479,40.69379,0.03378,220,172,NA,NA
"54",20,2020-05-11,"PI",4,49,111,1443,45,1332,1.49699,44.08494,0.03396,241,172,NA,NA
"55",20,2020-05-12,"PI",8,57,169,1612,49,1443,1.7414,49.24804,0.03536,250,172,NA,NA
"56",20,2020-05-13,"PI",3,60,172,1784,57,1612,1.83305,54.50279,0.03363,258,172,NA,NA
"57",20,2020-05-14,"PI",0,60,121,1905,60,1784,1.83305,58.19945,0.0315,268,172,NA,NA
"58",20,2020-05-15,"PI",5,65,180,2085,60,1905,1.98581,63.69861,0.03118,275,172,NA,NA
"59",20,2020-05-16,"PI",7,72,167,2252,65,2085,2.19966,68.80061,0.03197,283,172,NA,NA
"60",21,2020-05-17,"PI",8,80,35,2287,72,2252,2.44407,69.86989,0.03498,296,172,NA,NA
"61",21,2020-05-18,"PI",5,85,153,2440,80,2287,2.59683,74.54417,0.03484,297,172,NA,NA
"62",21,2020-05-19,"PI",2,87,197,2637,85,2440,2.65793,80.5627,0.03299,313,172,NA,NA
"63",21,2020-05-20,"PI",4,91,215,2852,87,2637,2.78013,87.13114,0.03191,322,172,NA,NA
"64",21,2020-05-21,"PI",2,93,222,3074,91,2852,2.84123,93.91344,0.03025,330,172,NA,NA
"65",21,2020-05-22,"PI",6,99,184,3258,93,3074,3.02454,99.5348,0.03039,350,172,NA,NA
"66",21,2020-05-23,"PI",8,107,132,3390,99,3258,3.26895,103.56752,0.03156,362,172,NA,NA
"67",22,2020-05-24,"PI",3,110,160,3550,107,3390,3.3606,108.45566,0.03099,374,172,NA,NA
"68",22,2020-05-25,"PI",9,119,170,3720,110,3550,3.63556,113.64931,0.03199,382,172,NA,NA
"69",22,2020-05-26,"PI",15,134,246,3966,119,3720,4.09382,121.16483,0.03379,401,172,NA,NA
"70",22,2020-05-27,"PI",4,138,277,4243,134,3966,4.21602,129.62743,0.03252,422,172,NA,NA
"71",22,2020-05-28,"PI",8,146,260,4503,138,4243,4.46043,137.57066,0.03242,438,172,NA,NA
"72",22,2020-05-29,"PI",11,157,242,4745,146,4503,4.79649,144.96398,0.03309,456,172,NA,NA
"73",22,2020-05-30,"PI",4,161,186,4931,157,4745,4.91869,150.64644,0.03265,467,172,NA,NA
"74",23,2020-05-31,"PI",7,168,188,5119,161,4931,5.13255,156.39001,0.03282,481,172,NA,NA
"75",23,2020-06-01,"PI",12,180,387,5506,168,5119,5.49916,168.2132,0.03269,495,172,NA,NA
"76",23,2020-06-02,"PI",12,192,322,5828,180,5506,5.86577,178.05059,0.03294,507,172,NA,NA
"77",23,2020-06-03,"PI",10,202,236,6064,192,5828,6.17128,185.2606,0.03331,517,172,NA,NA
"78",23,2020-06-04,"PI",15,217,653,6717,202,6064,6.62954,205.21033,0.03231,536,172,NA,NA
"79",23,2020-06-05,"PI",7,224,388,7105,217,6717,6.8434,217.06408,0.03153,548,172,NA,NA
"80",23,2020-06-06,"PI",15,239,373,7478,224,7105,7.30166,228.45956,0.03196,563,172,NA,NA
"81",24,2020-06-07,"PI",15,254,143,7621,239,7478,7.75993,232.82834,0.03333,585,172,NA,NA
"82",24,2020-06-08,"PI",11,265,306,7927,254,7621,8.09599,242.17691,0.03343,599,172,NA,NA
"83",24,2020-06-09,"PI",18,283,432,8359,265,7927,8.6459,255.37489,0.03386,622,172,NA,NA
"84",24,2020-06-10,"PI",16,299,464,8823,283,8359,9.13472,269.55051,0.03389,641,8226,NA,NA
"85",24,2020-06-11,"PI",18,317,514,9337,299,8823,9.68463,285.25367,0.03395,641,8265,NA,NA
"86",24,2020-06-12,"PI",18,335,488,9825,317,9337,10.23455,300.1625,0.0341,671,8265,NA,NA
"87",24,2020-06-13,"PI",25,360,328,10153,335,9825,10.99832,310.18319,0.03546,681,8265,NA,NA
"88",25,2020-06-14,"PI",14,374,204,10357,360,10153,11.42603,316.41557,0.03611,696,8265,NA,NA
"89",25,2020-06-15,"PI",19,393,524,10881,374,10357,12.0065,332.42424,0.03612,709,8265,NA,NA
"90",25,2020-06-16,"PI",5,398,678,11559,393,10881,12.15925,353.13774,0.03443,709,8718,NA,NA
"91",25,2020-06-17,"PI",23,421,540,12099,398,11559,12.86192,369.63523,0.0348,734,8718,NA,NA
"92",25,2020-06-18,"PI",14,435,468,12567,421,12099,13.28964,383.93304,0.03461,734,8718,NA,NA
"93",25,2020-06-19,"PI",24,459,1246,13813,435,12567,14.02286,421.99945,0.03323,734,8718,NA,NA
"94",25,2020-06-20,"PI",26,485,451,14264,459,13813,14.81718,435.7779,0.034,13029,8718,NA,NA
"95",26,2020-06-21,"PI",17,502,212,14476,485,14264,15.33655,442.25469,0.03468,13192,8718,NA,NA
"96",26,2020-06-22,"PI",15,517,793,15269,502,14476,15.79481,466.48155,0.03386,13925,8718,NA,NA
"97",26,2020-06-23,"PI",17,534,958,16227,517,15269,16.31418,495.7493,0.03291,13925,9448,NA,NA
"98",26,2020-06-24,"PI",12,546,853,17080,534,16227,16.68079,521.80921,0.03197,15675,9448,NA,NA
"99",26,2020-06-25,"PI",28,574,943,18023,546,17080,17.53621,550.6187,0.03185,16570,9448,NA,NA
