"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-12,"PR",0,0,6,6,0,6,0,0.05248,0,NA,NA,NA,NA
"2",11,2020-03-13,"PR",0,0,0,6,0,6,0,0.05248,0,NA,NA,NA,NA
"3",11,2020-03-14,"PR",0,0,0,6,0,6,0,0.05248,0,NA,NA,NA,NA
"4",12,2020-03-15,"PR",0,0,0,6,0,6,0,0.05248,0,NA,NA,NA,NA
"5",12,2020-03-16,"PR",0,0,0,6,0,6,0,0.05248,0,NA,NA,NA,NA
"6",12,2020-03-17,"PR",0,0,6,12,0,6,0,0.10495,0,NA,NA,NA,NA
"7",12,2020-03-18,"PR",0,0,3,15,0,13,0,0.13119,0,NA,NA,NA,NA
"8",12,2020-03-19,"PR",0,0,9,24,0,23,0,0.2099,0,NA,NA,NA,NA
"9",12,2020-03-20,"PR",0,0,13,37,0,32,0,0.3236,0,NA,NA,NA,NA
"10",12,2020-03-21,"PR",0,0,7,44,0,43,0,0.38482,0,NA,NA,NA,NA
"11",13,2020-03-22,"PR",0,0,10,54,0,50,0,0.47228,0,NA,NA,NA,NA
"12",13,2020-03-23,"PR",0,0,6,60,0,56,0,0.52475,0,NA,NA,NA,NA
"13",13,2020-03-24,"PR",0,0,10,70,0,65,0,0.61221,0,NA,1844,NA,NA
"14",13,2020-03-25,"PR",0,0,27,97,0,81,0,0.84835,0,7,3588,NA,NA
"15",13,2020-03-26,"PR",0,0,9,106,0,102,0,0.92706,0,7,3487,NA,NA
"16",13,2020-03-27,"PR",2,2,19,125,2,119,0.01749,1.09323,0.016,7,1078,NA,NA
"17",13,2020-03-28,"PR",0,2,12,137,2,133,0.01749,1.19819,0.0146,7,968,NA,NA
"18",14,2020-03-29,"PR",0,2,15,152,2,148,0.01749,1.32937,0.01316,7,968,NA,NA
