"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",10,2020-03-05,"RJ",0,0,1,1,0,1,0,0.00579,0,NA,NA,NA,NA
"2",10,2020-03-06,"RJ",0,0,1,2,0,1,0,0.01158,0,NA,NA,NA,NA
"3",10,2020-03-07,"RJ",0,0,0,2,0,2,0,0.01158,0,NA,NA,NA,NA
"4",11,2020-03-08,"RJ",0,0,1,3,0,3,0,0.01738,0,NA,NA,NA,NA
"5",11,2020-03-09,"RJ",0,0,0,3,0,3,0,0.01738,0,NA,NA,NA,NA
"6",11,2020-03-10,"RJ",0,0,5,8,0,8,0,0.04634,0,NA,NA,NA,NA
"7",11,2020-03-11,"RJ",0,0,5,13,0,13,0,0.0753,0,NA,NA,NA,NA
"8",11,2020-03-12,"RJ",0,0,3,16,0,16,0,0.09267,0,NA,NA,NA,NA
"9",11,2020-03-13,"RJ",0,0,0,16,0,16,0,0.09267,0,NA,NA,NA,NA
"10",11,2020-03-14,"RJ",0,0,6,22,0,22,0,0.12743,0,NA,NA,NA,NA
"11",12,2020-03-15,"RJ",0,0,2,24,0,24,0,0.13901,0,NA,NA,NA,NA
"12",12,2020-03-16,"RJ",0,0,7,31,0,31,0,0.17955,0,NA,NA,NA,NA
"13",12,2020-03-17,"RJ",0,0,2,33,0,33,0,0.19114,0,NA,NA,NA,NA
"14",12,2020-03-18,"RJ",0,0,30,63,0,45,0,0.3649,0,NA,NA,NA,NA
"15",12,2020-03-19,"RJ",2,2,3,66,2,65,0.01158,0.38228,0.0303,NA,NA,NA,NA
"16",12,2020-03-20,"RJ",0,2,43,109,2,109,0.01158,0.63134,0.01835,NA,NA,NA,NA
"17",12,2020-03-21,"RJ",1,3,10,119,3,119,0.01738,0.68926,0.02521,NA,NA,NA,NA
"18",13,2020-03-22,"RJ",0,3,67,186,3,186,0.01738,1.07733,0.01613,NA,NA,NA,NA
"19",13,2020-03-23,"RJ",1,4,47,233,4,233,0.02317,1.34956,0.01717,NA,NA,NA,NA
"20",13,2020-03-24,"RJ",2,6,72,305,6,305,0.03475,1.76659,0.01967,1,NA,NA,NA
"21",13,2020-03-25,"RJ",2,8,65,370,6,370,0.04634,2.14307,0.02162,1,NA,NA,NA
"22",13,2020-03-26,"RJ",1,9,51,421,9,421,0.05213,2.43847,0.02138,1,4471,NA,NA
"23",13,2020-03-27,"RJ",1,10,72,493,10,493,0.05792,2.8555,0.02028,1,4471,NA,NA
"24",13,2020-03-28,"RJ",3,13,65,558,13,558,0.0753,3.23198,0.0233,1,4471,NA,NA
"25",14,2020-03-29,"RJ",4,17,42,600,17,600,0.09847,3.47525,0.02833,1,4471,NA,NA
"26",14,2020-03-30,"RJ",1,18,57,657,18,657,0.10426,3.8054,0.0274,1,4471,NA,NA
"27",14,2020-03-31,"RJ",5,23,51,708,23,708,0.13322,4.1008,0.03249,1,4471,NA,NA
"28",14,2020-04-01,"RJ",5,28,124,832,28,832,0.16218,4.81901,0.03365,1,4471,NA,NA
"29",14,2020-04-02,"RJ",13,41,160,992,41,992,0.23748,5.74575,0.04133,1,4471,NA,NA
"30",14,2020-04-03,"RJ",6,47,82,1074,47,1074,0.27223,6.2207,0.04376,1,4471,NA,NA
"31",14,2020-04-04,"RJ",11,58,172,1246,58,1246,0.33594,7.21694,0.04655,1,4471,NA,NA
"32",15,2020-04-05,"RJ",6,64,148,1394,64,1394,0.37069,8.07417,0.04591,1,NA,NA,NA
"33",15,2020-04-06,"RJ",7,71,67,1461,71,1461,0.41124,8.46223,0.0486,1,NA,NA,NA
"34",15,2020-04-07,"RJ",18,89,227,1688,89,1688,0.5155,9.77704,0.05273,1,NA,NA,NA
"35",15,2020-04-08,"RJ",17,106,250,1938,106,1938,0.61396,11.22506,0.0547,183,NA,NA,NA
"36",15,2020-04-09,"RJ",16,122,278,2216,122,2216,0.70663,12.83526,0.05505,183,NA,NA,NA
"37",15,2020-04-10,"RJ",25,147,248,2464,147,2464,0.85144,14.27169,0.05966,248,NA,NA,NA
"38",15,2020-04-11,"RJ",8,155,143,2607,155,2607,0.89777,15.09996,0.05946,248,NA,NA,NA
"39",16,2020-04-12,"RJ",15,170,248,2855,170,2855,0.98465,16.5364,0.05954,251,NA,NA,NA
"40",16,2020-04-13,"RJ",18,188,376,3231,188,3231,1.08891,18.71422,0.05819,271,NA,NA,NA
"41",16,2020-04-14,"RJ",36,224,179,3410,224,3410,1.29743,19.75101,0.06569,271,NA,NA,NA
"42",16,2020-04-15,"RJ",41,265,333,3743,265,3743,1.5349,21.67977,0.0708,863,NA,NA,NA
"43",16,2020-04-16,"RJ",36,301,201,3944,300,3944,1.74342,22.84398,0.07632,863,NA,NA,NA
"44",16,2020-04-17,"RJ",40,341,405,4349,341,4349,1.9751,25.18977,0.07841,870,NA,NA,NA
"45",16,2020-04-18,"RJ",46,387,194,4543,387,4543,2.24154,26.31344,0.08519,870,NA,NA,NA
"46",17,2020-04-19,"RJ",15,402,222,4765,402,4765,2.32842,27.59928,0.08437,1119,NA,NA,NA
"47",17,2020-04-20,"RJ",20,422,134,4899,422,4899,2.44426,28.37542,0.08614,1369,NA,NA,NA
"48",17,2020-04-21,"RJ",39,461,407,5306,461,5306,2.67015,30.7328,0.08688,1580,NA,NA,NA
"49",17,2020-04-22,"RJ",29,490,246,5552,490,5552,2.83812,32.15765,0.08826,1775,NA,NA,NA
"50",17,2020-04-23,"RJ",40,530,620,6172,530,6172,3.0698,35.74874,0.08587,1888,NA,NA,NA
"51",17,2020-04-24,"RJ",40,570,110,6282,570,6282,3.30149,36.38587,0.09074,2518,NA,NA,NA
"52",17,2020-04-25,"RJ",45,615,546,6828,615,6828,3.56213,39.54835,0.09007,3144,NA,NA,NA
"53",18,2020-04-26,"RJ",30,645,283,7111,645,7111,3.73589,41.18751,0.0907,3144,NA,NA,NA
"54",18,2020-04-27,"RJ",32,677,833,7944,677,7944,3.92124,46.01232,0.08522,3650,NA,NA,NA
"55",18,2020-04-28,"RJ",61,738,560,8504,738,8504,4.27456,49.25588,0.08678,4002,NA,NA,NA
"56",18,2020-04-29,"RJ",56,794,365,8869,794,8869,4.59891,51.36999,0.08953,4002,NA,NA,NA
"57",18,2020-04-30,"RJ",60,854,584,9453,854,9453,4.94644,54.75257,0.09034,5032,NA,NA,NA
"58",18,2020-05-01,"RJ",67,921,713,10166,921,10166,5.33451,58.88233,0.0906,5711,NA,NA,NA
"59",18,2020-05-02,"RJ",50,971,380,10546,971,10546,5.62411,61.08332,0.09207,6115,NA,NA,NA
"60",19,2020-05-03,"RJ",48,1019,593,11139,1019,11139,5.90213,64.51802,0.09148,6284,NA,NA,NA
"61",19,2020-05-04,"RJ",46,1065,582,11721,1065,11721,6.16857,67.88902,0.09086,6284,NA,NA,NA
"62",19,2020-05-05,"RJ",58,1123,670,12391,1123,12391,6.50451,71.76971,0.09063,7260,NA,NA,NA
"63",19,2020-05-06,"RJ",82,1205,904,13295,1205,13295,6.97946,77.00576,0.09064,8300,NA,NA,NA
"64",19,2020-05-07,"RJ",189,1394,861,14156,1394,14156,8.07417,81.99274,0.09847,8968,NA,NA,NA
"65",19,2020-05-08,"RJ",109,1503,1585,15741,1503,15741,8.7055,91.17319,0.09548,8968,NA,NA,NA
"66",19,2020-05-09,"RJ",150,1653,1188,16929,1653,16929,9.57431,98.05419,0.09764,10732,NA,NA,NA
"67",20,2020-05-10,"RJ",61,1714,133,17062,1714,17062,9.92763,98.82454,0.10046,10732,NA,NA,NA
"68",20,2020-05-11,"RJ",56,1770,877,17939,1770,17939,10.25199,103.90419,0.09867,11654,NA,NA,NA
"69",20,2020-05-12,"RJ",158,1928,547,18486,1928,18486,11.16714,107.07246,0.1043,13124,NA,NA,NA
"70",20,2020-05-13,"RJ",122,2050,242,18728,2050,18728,11.87377,108.47415,0.10946,13917,NA,NA,NA
"71",20,2020-05-14,"RJ",197,2247,739,19467,2247,19467,13.01481,112.7545,0.11543,14818,NA,NA,NA
"72",20,2020-05-15,"RJ",191,2438,520,19987,2438,19987,14.1211,115.76638,0.12198,14818,NA,NA,NA
"73",20,2020-05-16,"RJ",176,2614,1614,21601,2614,21601,15.14051,125.11481,0.12101,17557,NA,NA,NA
"74",21,2020-05-17,"RJ",101,2715,637,22238,2715,22238,15.72551,128.80436,0.12209,17557,NA,NA,NA
"75",21,2020-05-18,"RJ",137,2852,4427,26665,2852,26665,16.51902,154.44592,0.10696,21961,NA,NA,NA
"76",21,2020-05-19,"RJ",227,3079,1140,27805,3079,27805,17.83383,161.0489,0.11074,22953,NA,NA,NA
"77",21,2020-05-20,"RJ",158,3237,2567,30372,3237,30372,18.74898,175.91718,0.10658,25397,NA,NA,NA
"78",21,2020-05-21,"RJ",175,3412,1717,32089,3412,32089,19.76259,185.86218,0.10633,26843,NA,NA,NA
"79",21,2020-05-22,"RJ",245,3657,1500,33589,3657,33589,21.18165,194.55031,0.10887,28120,NA,NA,NA
"80",21,2020-05-23,"RJ",248,3905,944,34533,3905,34533,22.61809,200.01804,0.11308,28120,NA,NA,NA
"81",22,2020-05-24,"RJ",88,3993,3379,37912,3993,37912,23.12779,219.58949,0.10532,31687,NA,NA,NA
"82",22,2020-05-25,"RJ",112,4105,1386,39298,4105,39298,23.7765,227.61732,0.10446,31778,NA,NA,NA
"83",22,2020-05-26,"RJ",256,4361,726,40024,4361,40024,25.25928,231.82237,0.10896,31934,NA,NA,NA
"84",22,2020-05-27,"RJ",244,4605,2374,42398,4605,42398,26.67255,245.57278,0.10861,31934,NA,NA,NA
"85",22,2020-05-28,"RJ",251,4856,2488,44886,4856,44886,28.12636,259.98348,0.10819,31934,NA,NA,NA
"86",22,2020-05-29,"RJ",223,5079,3067,47953,5079,47953,29.41799,277.7478,0.10592,34136,NA,NA,NA
"87",22,2020-05-30,"RJ",198,5277,4467,52420,5277,52420,30.56483,303.62104,0.10067,37470,NA,NA,NA
"88",23,2020-05-31,"RJ",67,5344,968,53388,5344,53388,30.9529,309.22778,0.1001,38735,NA,NA,NA
