"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-12,"RN",0,0,1,1,0,0,0,0.02852,0,NA,NA,NA,NA
"2",11,2020-03-13,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"3",11,2020-03-14,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"4",12,2020-03-15,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"5",12,2020-03-16,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"6",12,2020-03-17,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"7",12,2020-03-18,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"8",12,2020-03-19,"RN",0,0,0,1,0,1,0,0.02852,0,NA,NA,NA,NA
"9",12,2020-03-20,"RN",0,0,5,6,0,1,0,0.17109,0,NA,NA,NA,NA
"10",12,2020-03-21,"RN",0,0,3,9,0,6,0,0.25664,0,NA,NA,NA,NA
"11",13,2020-03-22,"RN",0,0,4,13,0,9,0,0.3707,0,NA,NA,NA,NA
"12",13,2020-03-23,"RN",0,0,0,13,0,13,0,0.3707,0,NA,NA,NA,NA
"13",13,2020-03-24,"RN",0,0,1,14,0,13,0,0.39922,0,1,NA,NA,NA
"14",13,2020-03-25,"RN",0,0,0,14,0,14,0,0.39922,0,1,478,NA,NA
"15",13,2020-03-26,"RN",0,0,5,19,0,19,0,0.5418,0,1,1125,NA,NA
"16",13,2020-03-27,"RN",0,0,9,28,0,28,0,0.79844,0,1,1125,NA,NA
"17",13,2020-03-28,"RN",1,1,40,68,0,45,0.02852,1.93906,0.01471,1,1130,NA,NA
"18",14,2020-03-29,"RN",0,1,0,68,1,68,0.02852,1.93906,0.01471,1,1130,NA,NA
"19",14,2020-03-30,"RN",0,1,9,77,1,77,0.02852,2.1957,0.01299,1,1130,NA,NA
"20",14,2020-03-31,"RN",0,1,5,82,1,82,0.02852,2.33828,0.0122,1,1836,NA,NA
"21",14,2020-04-01,"RN",1,2,10,92,2,92,0.05703,2.62343,0.02174,1,1836,NA,NA
"22",14,2020-04-02,"RN",0,2,14,106,2,105,0.05703,3.02265,0.01887,1,2153,NA,NA
"23",14,2020-04-03,"RN",2,4,70,176,4,176,0.11406,5.01874,0.02273,1,2288,NA,NA
"24",14,2020-04-04,"RN",2,6,39,215,5,212,0.17109,6.13085,0.02791,1,2261,NA,NA
"25",15,2020-04-05,"RN",1,7,31,246,7,242,0.19961,7.01484,0.02846,1,2261,NA,NA
"26",15,2020-04-06,"RN",0,7,0,246,7,246,0.19961,7.01484,0.02846,1,2261,NA,NA
"27",15,2020-04-07,"RN",1,8,8,254,8,254,0.22812,7.24296,0.0315,1,2430,NA,NA
