"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-20,"RO",0,0,1,1,0,1,0,0.05627,0,NA,NA,NA,NA
"2",12,2020-03-21,"RO",0,0,2,3,0,1,0,0.1688,0,NA,NA,NA,NA
"3",13,2020-03-22,"RO",0,0,0,3,0,3,0,0.1688,0,NA,NA,NA,NA
"4",13,2020-03-23,"RO",0,0,0,3,0,3,0,0.1688,0,NA,NA,NA,NA
"5",13,2020-03-24,"RO",0,0,2,5,0,3,0,0.28134,0,NA,NA,NA,NA
"6",13,2020-03-25,"RO",0,0,0,5,0,5,0,0.28134,0,NA,NA,NA,NA
"7",13,2020-03-26,"RO",0,0,1,6,0,5,0,0.3376,0,NA,NA,NA,NA
"8",13,2020-03-27,"RO",0,0,0,6,0,6,0,0.3376,0,NA,NA,NA,NA
"9",13,2020-03-28,"RO",0,0,0,6,0,6,0,0.3376,0,NA,NA,NA,NA
"10",14,2020-03-29,"RO",0,0,0,6,0,6,0,0.3376,0,NA,NA,NA,NA
"11",14,2020-03-30,"RO",1,1,2,8,0,6,0.05627,0.45014,0.125,NA,NA,NA,NA
"12",14,2020-03-31,"RO",0,1,1,9,1,8,0.05627,0.50641,0.11111,NA,NA,NA,NA
"13",14,2020-04-01,"RO",0,1,0,9,1,9,0.05627,0.50641,0.11111,NA,NA,NA,NA
"14",14,2020-04-02,"RO",0,1,1,10,1,10,0.05627,0.56267,0.1,NA,NA,NA,NA
"15",14,2020-04-03,"RO",0,1,0,10,1,10,0.05627,0.56267,0.1,NA,NA,NA,NA
"16",14,2020-04-04,"RO",0,1,1,11,1,11,0.05627,0.61894,0.09091,NA,NA,NA,NA
"17",15,2020-04-05,"RO",0,1,3,14,1,12,0.05627,0.78774,0.07143,NA,NA,NA,NA
"18",15,2020-04-06,"RO",0,1,4,18,1,14,0.05627,1.01281,0.05556,8,18,NA,NA
"19",15,2020-04-07,"RO",0,1,5,23,1,18,0.05627,1.29415,0.04348,8,31,NA,NA
"20",15,2020-04-08,"RO",0,1,3,26,1,18,0.05627,1.46295,0.03846,8,31,NA,NA
"21",15,2020-04-09,"RO",1,2,2,28,2,28,0.11253,1.57549,0.07143,8,31,NA,NA
"22",15,2020-04-10,"RO",0,2,4,32,2,32,0.11253,1.80056,0.0625,8,12,NA,NA
"23",15,2020-04-11,"RO",0,2,2,34,2,33,0.11253,1.91309,0.05882,13,12,NA,NA
"24",16,2020-04-12,"RO",0,2,8,42,2,35,0.11253,2.36323,0.04762,14,7,NA,NA
"25",16,2020-04-13,"RO",0,2,0,42,2,42,0.11253,2.36323,0.04762,14,7,NA,NA
"26",16,2020-04-14,"RO",0,2,27,69,2,64,0.11253,3.88246,0.02899,14,27,NA,NA
"27",16,2020-04-15,"RO",0,2,4,73,2,69,0.11253,4.10753,0.0274,16,60,NA,NA
"28",16,2020-04-16,"RO",1,3,19,92,3,76,0.1688,5.17661,0.03261,16,31,NA,NA
"29",16,2020-04-17,"RO",0,3,18,110,3,92,0.1688,6.18942,0.02727,28,31,NA,NA
"30",16,2020-04-18,"RO",1,4,18,128,3,110,0.22507,7.20224,0.03125,28,31,NA,NA
"31",17,2020-04-19,"RO",0,4,32,160,4,128,0.22507,9.0028,0.025,28,68,NA,NA
"32",17,2020-04-20,"RO",0,4,39,199,4,160,0.22507,11.19723,0.0201,34,68,NA,NA
"33",17,2020-04-21,"RO",1,5,24,223,4,199,0.28134,12.54765,0.02242,40,68,NA,NA
"34",17,2020-04-22,"RO",0,5,0,223,5,223,0.28134,12.54765,0.02242,40,68,NA,NA
"35",17,2020-04-23,"RO",0,5,27,250,5,250,0.28134,14.06687,0.02,55,50,NA,NA
"36",17,2020-04-24,"RO",1,6,40,290,5,290,0.3376,16.31757,0.02069,60,107,NA,NA
"37",17,2020-04-25,"RO",1,7,38,328,7,328,0.39387,18.45574,0.02134,67,82,NA,NA
"38",18,2020-04-26,"RO",3,10,36,364,10,364,0.56267,20.48137,0.02747,72,81,NA,NA
"39",18,2020-04-27,"RO",0,10,29,393,10,393,0.56267,22.11313,0.02545,100,56,NA,NA
"40",18,2020-04-28,"RO",1,11,20,413,11,413,0.61894,23.23848,0.02663,107,71,NA,NA
"41",18,2020-04-29,"RO",4,15,20,433,15,433,0.84401,24.36383,0.03464,115,36,NA,NA
"42",18,2020-04-30,"RO",1,16,69,502,16,502,0.90028,28.24628,0.03187,120,41,NA,NA
"43",18,2020-05-01,"RO",2,18,83,585,18,585,1.01281,32.91648,0.03077,130,83,NA,NA
"44",18,2020-05-02,"RO",5,23,69,654,23,653,1.29415,36.79894,0.03517,154,24,NA,NA
"45",19,2020-05-03,"RO",1,24,51,705,24,705,1.35042,39.66858,0.03404,154,136,NA,NA
"46",19,2020-05-04,"RO",1,25,51,756,25,756,1.40669,42.53823,0.03307,154,136,NA,NA
"47",19,2020-05-05,"RO",4,29,105,861,29,861,1.63176,48.44631,0.03368,156,368,NA,NA
"48",19,2020-05-06,"RO",4,33,82,943,33,943,1.85683,53.06025,0.03499,241,154,NA,NA
"49",19,2020-05-07,"RO",4,37,155,1098,37,1098,2.0819,61.78171,0.0337,241,287,NA,NA
"50",19,2020-05-08,"RO",2,39,124,1222,39,1222,2.19443,68.75888,0.03191,256,514,NA,NA
"51",19,2020-05-09,"RO",2,41,41,1263,41,1263,2.30697,71.06585,0.03246,256,514,NA,NA
"52",20,2020-05-10,"RO",2,43,39,1302,43,1302,2.4195,73.26028,0.03303,308,550,NA,NA
"53",20,2020-05-11,"RO",4,47,96,1398,47,1396,2.64457,78.66196,0.03362,508,508,NA,NA
"54",20,2020-05-12,"RO",3,50,62,1460,50,1460,2.81337,82.15054,0.03425,508,508,NA,NA
"55",20,2020-05-13,"RO",0,50,152,1612,50,1612,2.81337,90.7032,0.03102,373,166,NA,NA
"56",20,2020-05-14,"RO",6,56,74,1686,56,1686,3.15098,94.867,0.03321,668,339,NA,NA
"57",20,2020-05-15,"RO",6,62,108,1794,62,1789,3.48858,100.94389,0.03456,668,339,NA,NA
"58",20,2020-05-16,"RO",7,69,125,1919,69,1919,3.88246,107.97732,0.03596,668,339,NA,NA
"59",21,2020-05-17,"RO",5,74,44,1963,74,1963,4.16379,110.45309,0.0377,738,465,NA,NA
"60",21,2020-05-18,"RO",9,83,80,2043,77,2043,4.6702,114.95449,0.04063,805,915,NA,NA
"61",21,2020-05-19,"RO",5,88,370,2413,87,2257,4.95154,135.77347,0.03647,828,350,NA,NA
"62",21,2020-05-20,"RO",2,90,86,2499,90,2499,5.06407,140.61247,0.03601,844,262,NA,NA
"63",21,2020-05-21,"RO",11,101,160,2659,101,2659,5.68302,149.61527,0.03798,862,262,NA,NA
"64",21,2020-05-22,"RO",5,106,115,2774,106,2774,5.96435,156.08603,0.03821,885,397,NA,NA
"65",21,2020-05-23,"RO",9,115,335,3109,115,3109,6.47076,174.93564,0.03699,892,673,NA,NA
"66",22,2020-05-24,"RO",6,121,92,3201,121,3201,6.80837,180.11225,0.0378,897,581,NA,NA
"67",22,2020-05-25,"RO",0,121,67,3268,121,3268,6.80837,183.88218,0.03703,933,613,NA,NA
"68",22,2020-05-26,"RO",12,133,225,3493,133,3493,7.48358,196.54236,0.03808,1147,468,NA,NA
"69",22,2020-05-27,"RO",4,137,369,3862,137,3862,7.70865,217.30507,0.03547,1778,441,NA,NA
"70",22,2020-05-28,"RO",5,142,390,4252,142,4252,7.98998,239.24939,0.0334,1869,481,NA,NA
"71",22,2020-05-29,"RO",3,145,250,4502,145,4502,8.15879,253.31627,0.03221,2075,529,NA,NA
"72",22,2020-05-30,"RO",6,151,241,4743,151,4743,8.49639,266.87673,0.03184,2146,435,NA,NA
"73",23,2020-05-31,"RO",5,156,199,4942,156,4942,8.77773,278.07396,0.03157,2157,387,NA,NA
"74",23,2020-06-01,"RO",3,159,230,5172,159,5172,8.94653,291.01549,0.03074,2389,122,NA,NA
"75",23,2020-06-02,"RO",13,172,305,5477,172,5477,9.67801,308.17707,0.0314,2555,122,NA,NA
"76",23,2020-06-03,"RO",8,180,237,5714,180,5713,10.12815,321.51247,0.0315,2555,122,NA,NA
"77",23,2020-06-04,"RO",14,194,745,6459,194,6459,10.91589,363.43175,0.03004,2797,406,NA,NA
"78",23,2020-06-05,"RO",19,213,403,6862,213,6862,11.98498,386.10756,0.03104,2894,423,NA,NA
"79",23,2020-06-06,"RO",15,228,839,7701,228,7700,12.82899,433.31598,0.02961,2968,573,NA,NA
"80",24,2020-06-07,"RO",7,235,409,8110,235,8110,13.22286,456.32939,0.02898,3083,408,NA,NA
"81",24,2020-06-08,"RO",10,245,516,8626,245,8626,13.78554,485.36342,0.0284,3131,408,NA,NA
"82",24,2020-06-09,"RO",10,255,594,9220,255,9220,14.34821,518.78631,0.02766,3364,482,NA,NA
"83",24,2020-06-10,"RO",12,267,630,9850,267,9850,15.02342,554.23483,0.02711,3504,551,NA,NA
"84",24,2020-06-11,"RO",26,293,697,10547,293,10547,16.48638,593.45328,0.02778,3573,331,NA,NA
"85",24,2020-06-12,"RO",3,296,677,11224,296,11224,16.65518,631.54637,0.02637,3700,331,NA,NA
"86",24,2020-06-13,"RO",13,309,486,11710,309,11710,17.38666,658.89237,0.02639,4142,515,NA,NA
"87",25,2020-06-14,"RO",15,324,155,11865,324,11865,18.23067,667.61384,0.02731,4327,531,NA,NA
"88",25,2020-06-15,"RO",8,332,315,12180,332,12180,18.68081,685.3381,0.02726,4394,394,NA,NA
"89",25,2020-06-16,"RO",14,346,830,13010,346,13010,19.46855,732.04012,0.02659,4649,295,NA,NA
"90",25,2020-06-17,"RO",15,361,557,13567,360,13567,20.31257,763.38111,0.02661,4832,1388,NA,NA
"91",25,2020-06-18,"RO",13,374,237,13804,374,13804,21.04404,776.71651,0.02709,4958,1740,NA,NA
"92",25,2020-06-19,"RO",17,391,549,14353,391,14353,22.00059,807.60737,0.02724,5263,1697,NA,NA
"93",25,2020-06-20,"RO",18,409,599,14952,409,14952,23.01341,841.3116,0.02735,5263,1697,NA,NA
"94",26,2020-06-21,"RO",8,417,229,15181,417,15181,23.46355,854.19685,0.02747,5819,2355,NA,NA
"95",26,2020-06-22,"RO",15,432,646,15827,431,15827,24.30756,890.54565,0.0273,6092,2174,NA,NA
"96",26,2020-06-23,"RO",12,444,672,16499,444,16498,24.98277,928.35741,0.02691,6455,1966,NA,NA
"97",26,2020-06-24,"RO",23,467,1674,18173,455,17424,26.27692,1022.5492,0.0257,6741,1614,NA,NA
"98",26,2020-06-25,"RO",0,467,0,18173,467,18173,26.27692,1022.5492,0.0257,6888,1179,NA,NA
