"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-21,"RR",0,0,2,2,0,0,0,0.33016,0,NA,NA,NA,NA
"2",13,2020-03-22,"RR",0,0,0,2,0,2,0,0.33016,0,NA,NA,NA,NA
"3",13,2020-03-23,"RR",0,0,0,2,0,2,0,0.33016,0,NA,NA,NA,NA
"4",13,2020-03-24,"RR",0,0,6,8,0,2,0,1.32065,0,NA,NA,NA,NA
"5",13,2020-03-25,"RR",0,0,0,8,0,8,0,1.32065,0,NA,NA,NA,NA
"6",13,2020-03-26,"RR",0,0,2,10,0,8,0,1.65082,0,NA,NA,NA,NA
"7",13,2020-03-27,"RR",0,0,2,12,0,10,0,1.98098,0,NA,NA,NA,NA
"8",13,2020-03-28,"RR",0,0,4,16,0,12,0,2.64131,0,NA,NA,NA,NA
"9",14,2020-03-29,"RR",0,0,0,16,0,16,0,2.64131,0,NA,NA,NA,NA
"10",14,2020-03-30,"RR",0,0,0,16,0,16,0,2.64131,0,NA,1,NA,NA
"11",14,2020-03-31,"RR",0,0,0,16,0,16,0,2.64131,0,NA,29,NA,NA
"12",14,2020-04-01,"RR",0,0,10,26,0,22,0,4.29212,0,NA,29,NA,NA
"13",14,2020-04-02,"RR",0,0,4,30,0,26,0,4.95245,0,NA,14,NA,NA
"14",14,2020-04-03,"RR",1,1,7,37,0,30,0.16508,6.10802,0.02703,NA,14,NA,NA
"15",14,2020-04-04,"RR",0,1,5,42,1,37,0.16508,6.93343,0.02381,NA,14,NA,NA
"16",15,2020-04-05,"RR",0,1,0,42,1,42,0.16508,6.93343,0.02381,NA,14,NA,NA
"17",15,2020-04-06,"RR",0,1,0,42,1,42,0.16508,6.93343,0.02381,NA,3,NA,NA
"18",15,2020-04-07,"RR",0,1,7,49,1,42,0.16508,8.089,0.02041,NA,3,NA,NA
"19",15,2020-04-08,"RR",0,1,3,52,1,49,0.16508,8.58424,0.01923,2,28,NA,NA
"20",15,2020-04-09,"RR",1,2,11,63,1,52,0.33016,10.40014,0.03175,2,28,NA,NA
"21",15,2020-04-10,"RR",1,3,12,75,3,63,0.49524,12.38112,0.04,10,40,NA,NA
"22",15,2020-04-11,"RR",0,3,4,79,3,75,0.49524,13.04145,0.03797,10,40,NA,NA
"23",16,2020-04-12,"RR",0,3,4,83,3,79,0.49524,13.70177,0.03614,10,19,NA,NA
"24",16,2020-04-13,"RR",0,3,30,113,3,83,0.49524,18.65422,0.02655,10,19,NA,NA
"25",16,2020-04-14,"RR",0,3,1,114,3,113,0.49524,18.8193,0.02632,10,19,NA,NA
"26",16,2020-04-15,"RR",0,3,28,142,3,114,0.49524,23.44159,0.02113,10,19,NA,NA
"27",16,2020-04-16,"RR",0,3,22,164,3,142,0.49524,27.07338,0.01829,10,19,NA,NA
"28",16,2020-04-17,"RR",0,3,37,201,3,164,0.49524,33.1814,0.01493,10,19,NA,NA
"29",16,2020-04-18,"RR",0,3,21,222,3,201,0.49524,36.64812,0.01351,10,19,NA,NA
"30",17,2020-04-19,"RR",0,3,22,244,3,222,0.49524,40.27991,0.0123,10,76,NA,NA
"31",17,2020-04-20,"RR",0,3,3,247,3,244,0.49524,40.77516,0.01215,39,49,NA,NA
"32",17,2020-04-21,"RR",0,3,33,280,3,247,0.49524,46.22285,0.01071,39,59,NA,NA
"33",17,2020-04-22,"RR",0,3,17,297,3,280,0.49524,49.02924,0.0101,39,59,NA,NA
"34",17,2020-04-23,"RR",0,3,7,304,3,297,0.49524,50.18481,0.00987,39,56,NA,NA
"35",17,2020-04-24,"RR",0,3,41,345,3,304,0.49524,56.95315,0.0087,39,89,NA,NA
"36",17,2020-04-25,"RR",1,4,56,401,3,345,0.66033,66.19772,0.00998,110,70,NA,NA
"37",18,2020-04-26,"RR",0,4,6,407,4,401,0.66033,67.18821,0.00983,110,80,NA,NA
"38",18,2020-04-27,"RR",0,4,18,425,4,407,0.66033,70.15968,0.00941,110,80,NA,NA
"39",18,2020-04-28,"RR",2,6,0,425,6,425,0.99049,70.15968,0.01412,110,149,NA,NA
"40",18,2020-04-29,"RR",0,6,27,452,6,452,0.99049,74.61689,0.01327,110,149,NA,NA
"41",18,2020-04-30,"RR",1,7,67,519,7,519,1.15557,85.67735,0.01349,110,149,NA,NA
"42",18,2020-05-01,"RR",1,8,83,602,8,602,1.32065,99.37913,0.01329,111,149,NA,NA
"43",18,2020-05-02,"RR",1,9,66,668,9,668,1.48573,110.27451,0.01347,111,92,NA,NA
"44",19,2020-05-03,"RR",2,11,72,740,11,740,1.8159,122.16039,0.01486,141,92,NA,NA
"45",19,2020-05-04,"RR",0,11,66,806,11,806,1.8159,133.05578,0.01365,141,79,NA,NA
"46",19,2020-05-05,"RR",0,11,63,869,11,869,1.8159,143.45592,0.01266,190,79,NA,NA
"47",19,2020-05-06,"RR",2,13,63,932,13,932,2.14606,153.85606,0.01395,190,79,NA,NA
"48",19,2020-05-07,"RR",1,14,88,1020,14,1020,2.31114,168.38324,0.01373,190,79,NA,NA
"49",19,2020-05-08,"RR",2,16,104,1124,16,1124,2.64131,185.55173,0.01423,271,60,NA,NA
"50",19,2020-05-09,"RR",2,18,78,1202,18,1202,2.97147,198.42809,0.01498,271,60,NA,NA
"51",20,2020-05-10,"RR",3,21,88,1290,21,1290,3.46671,212.95527,0.01628,271,60,NA,NA
"52",20,2020-05-11,"RR",3,24,5,1295,24,1295,3.96196,213.78068,0.01853,287,60,NA,NA
"53",20,2020-05-12,"RR",4,28,116,1411,27,1328,4.62229,232.93015,0.01984,326,60,NA,NA
"54",20,2020-05-13,"RR",1,29,0,1411,29,1411,4.78737,232.93015,0.02055,326,60,NA,NA
"55",20,2020-05-14,"RR",8,37,89,1500,37,1500,6.10802,247.62241,0.02467,334,60,NA,NA
"56",20,2020-05-15,"RR",3,40,89,1589,40,1589,6.60326,262.31468,0.02517,334,60,NA,NA
"57",20,2020-05-16,"RR",9,49,117,1706,49,1706,8.089,281.62922,0.02872,410,60,NA,NA
"58",21,2020-05-17,"RR",2,51,85,1791,51,1791,8.41916,295.66116,0.02848,410,60,NA,NA
"59",21,2020-05-18,"RR",9,60,91,1882,60,1876,9.9049,310.68359,0.03188,410,60,NA,NA
"60",21,2020-05-19,"RR",4,64,106,1988,61,1985,10.56522,328.18224,0.03219,410,60,NA,NA
"61",21,2020-05-20,"RR",0,64,79,2067,64,2067,10.56522,341.22368,0.03096,474,60,NA,NA
"62",21,2020-05-21,"RR",8,72,79,2146,72,2146,11.88588,354.26513,0.03355,589,60,NA,NA
"63",21,2020-05-22,"RR",11,83,160,2306,83,2306,13.70177,380.67819,0.03599,589,60,NA,NA
"64",21,2020-05-23,"RR",-2,81,133,2439,81,2374,13.37161,402.63404,0.03321,589,60,NA,NA
"65",22,2020-05-24,"RR",3,84,0,2439,84,2439,13.86686,402.63404,0.03444,656,60,NA,NA
"66",22,2020-05-25,"RR",2,86,125,2564,86,2514,14.19702,423.26924,0.03354,666,60,NA,NA
"67",22,2020-05-26,"RR",16,102,118,2682,102,2583,16.83832,442.74887,0.03803,712,NA,NA,NA
"68",22,2020-05-27,"RR",0,102,277,2959,102,2682,16.83832,488.47648,0.03447,712,NA,NA,NA
"69",22,2020-05-28,"RR",6,108,139,3098,102,2959,17.82881,511.42282,0.03486,1029,NA,NA,NA
"70",22,2020-05-29,"RR",2,110,201,3299,108,3098,18.15898,544.60423,0.03334,1151,NA,NA,NA
"71",22,2020-05-30,"RR",6,116,176,3475,110,3299,19.14947,573.65859,0.03338,1175,NA,NA,NA
"72",23,2020-05-31,"RR",0,116,217,3692,116,3474,19.14947,609.4813,0.03142,1180,NA,NA,NA
"73",23,2020-06-01,"RR",4,120,158,3850,116,3692,19.80979,635.56419,0.03117,1180,NA,NA,NA
"74",23,2020-06-02,"RR",4,124,293,4143,120,3850,20.47012,683.9331,0.02993,1227,NA,NA,NA
"75",23,2020-06-03,"RR",0,124,0,4143,124,4143,20.47012,683.9331,0.02993,1230,NA,NA,NA
"76",23,2020-06-04,"RR",15,139,688,4831,127,4483,22.94634,797.50925,0.02877,1240,NA,NA,NA
"77",23,2020-06-05,"RR",0,139,407,5238,139,4831,22.94634,864.69746,0.02654,1440,4923,NA,NA
"78",23,2020-06-06,"RR",3,142,291,5529,139,5238,23.44159,912.73621,0.02568,1440,4923,NA,NA
"79",24,2020-06-07,"RR",3,145,239,5768,142,5529,23.93683,952.19072,0.02514,1440,4923,NA,NA
"80",24,2020-06-08,"RR",23,168,288,6056,145,5768,27.73371,999.73422,0.02774,1537,4923,NA,NA
"81",24,2020-06-09,"RR",14,182,291,6347,168,6056,30.04485,1047.77297,0.02867,1569,4923,NA,NA
"82",24,2020-06-10,"RR",6,188,247,6594,182,6347,31.03534,1088.54812,0.02851,1579,4923,NA,NA
