"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-10,"RS",0,0,1,1,0,1,0,0.00879,0,NA,NA,NA,NA
"2",11,2020-03-11,"RS",0,0,1,2,0,2,0,0.01758,0,NA,NA,NA,NA
"3",11,2020-03-12,"RS",0,0,2,4,0,4,0,0.03516,0,NA,NA,NA,NA
"4",11,2020-03-13,"RS",0,0,0,4,0,4,0,0.03516,0,NA,NA,NA,NA
"5",11,2020-03-14,"RS",0,0,2,6,0,6,0,0.05274,0,NA,NA,NA,NA
"6",12,2020-03-15,"RS",0,0,0,6,0,6,0,0.05274,0,NA,NA,NA,NA
"7",12,2020-03-16,"RS",0,0,2,8,0,6,0,0.07032,0,NA,NA,NA,NA
"8",12,2020-03-17,"RS",0,0,2,10,0,10,0,0.08789,0,NA,NA,NA,NA
"9",12,2020-03-18,"RS",0,0,9,19,0,19,0,0.167,0,NA,NA,NA,NA
"10",12,2020-03-19,"RS",0,0,12,31,0,28,0,0.27247,0,NA,NA,NA,NA
"11",12,2020-03-20,"RS",0,0,12,43,0,37,0,0.37795,0,NA,NA,NA,NA
"12",12,2020-03-21,"RS",0,0,26,69,0,60,0,0.60647,0,NA,NA,NA,NA
"13",13,2020-03-22,"RS",0,0,8,77,0,72,0,0.67679,0,NA,NA,NA,NA
"14",13,2020-03-23,"RS",0,0,19,96,0,86,0,0.84379,0,NA,132,NA,NA
"15",13,2020-03-24,"RS",0,0,16,112,0,98,0,0.98442,0,3,132,NA,NA
"16",13,2020-03-25,"RS",1,1,50,162,1,123,0.00879,1.4239,0.00617,3,132,NA,NA
"17",13,2020-03-26,"RS",0,1,28,190,1,168,0.00879,1.67,0.00526,3,258,NA,NA
"18",13,2020-03-27,"RS",1,2,7,197,2,195,0.01758,1.73153,0.01015,3,258,NA,NA
"19",13,2020-03-28,"RS",0,2,3,200,2,197,0.01758,1.7579,0.01,3,258,NA,NA
"20",14,2020-03-29,"RS",0,2,30,230,2,226,0.01758,2.02158,0.0087,3,258,NA,NA
"21",14,2020-03-30,"RS",2,4,24,254,3,241,0.03516,2.23253,0.01575,3,258,NA,NA
"22",14,2020-03-31,"RS",0,4,51,305,4,274,0.03516,2.68079,0.01311,3,258,NA,NA
"23",14,2020-04-01,"RS",1,5,11,316,4,306,0.04395,2.77748,0.01582,3,258,NA,NA
"24",14,2020-04-02,"RS",0,5,70,386,5,334,0.04395,3.39274,0.01295,3,258,NA,NA
