"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-12,"SC",0,0,2,2,0,0,0,0.02791,0,NA,NA,NA,NA
"2",11,2020-03-13,"SC",0,0,1,3,0,2,0,0.04187,0,NA,NA,NA,NA
"3",11,2020-03-14,"SC",0,0,2,5,0,4,0,0.06979,0,NA,NA,NA,NA
"4",12,2020-03-15,"SC",0,0,1,6,0,6,0,0.08374,0,NA,NA,NA,NA
"5",12,2020-03-16,"SC",0,0,1,7,0,7,0,0.0977,0,NA,NA,NA,NA
"6",12,2020-03-17,"SC",0,0,0,7,0,7,0,0.0977,0,NA,NA,NA,NA
"7",12,2020-03-18,"SC",0,0,7,14,0,10,0,0.1954,0,NA,NA,NA,NA
"8",12,2020-03-19,"SC",0,0,7,21,0,20,0,0.2931,0,NA,NA,NA,NA
"9",12,2020-03-20,"SC",0,0,19,40,0,21,0,0.55829,0,NA,NA,NA,NA
"10",12,2020-03-21,"SC",0,0,17,57,0,51,0,0.79556,0,NA,NA,NA,NA
"11",13,2020-03-22,"SC",0,0,11,68,0,57,0,0.94909,0,NA,NA,NA,NA
"12",13,2020-03-23,"SC",0,0,18,86,0,68,0,1.20031,0,NA,410,NA,NA
"13",13,2020-03-24,"SC",0,0,23,109,0,107,0,1.52133,0,NA,410,NA,NA
"14",13,2020-03-25,"SC",0,0,13,122,0,109,0,1.70277,0,NA,325,NA,NA
"15",13,2020-03-26,"SC",1,1,27,149,1,122,0.01396,2.07961,0.00671,NA,325,NA,NA
"16",13,2020-03-27,"SC",0,1,14,163,1,149,0.01396,2.27501,0.00613,NA,325,NA,NA
"17",13,2020-03-28,"SC",0,1,21,184,1,184,0.01396,2.56812,0.00543,NA,325,NA,NA
"18",14,2020-03-29,"SC",0,1,13,197,1,194,0.01396,2.74956,0.00508,NA,325,NA,NA
"19",14,2020-03-30,"SC",1,2,22,219,1,197,0.02791,3.05662,0.00913,NA,325,NA,NA
"20",14,2020-03-31,"SC",0,2,16,235,2,219,0.02791,3.27993,0.00851,NA,325,NA,NA
"21",14,2020-04-01,"SC",0,2,12,247,2,235,0.02791,3.44742,0.0081,NA,325,NA,NA
"22",14,2020-04-02,"SC",3,5,34,281,2,247,0.06979,3.92196,0.01779,NA,325,NA,NA
"23",14,2020-04-03,"SC",0,5,20,301,5,281,0.06979,4.2011,0.01661,NA,325,NA,NA
"24",14,2020-04-04,"SC",5,10,55,356,5,334,0.13957,4.96874,0.02809,NA,325,NA,NA
"25",15,2020-04-05,"SC",0,10,23,379,10,357,0.13957,5.28976,0.02639,NA,325,NA,NA
"26",15,2020-04-06,"SC",1,11,38,417,10,379,0.15353,5.82013,0.02638,NA,325,NA,NA
"27",15,2020-04-07,"SC",4,15,40,457,11,417,0.20936,6.37842,0.03282,NA,NA,NA,NA
"28",15,2020-04-08,"SC",2,17,44,501,15,457,0.23727,6.99253,0.03393,NA,NA,NA,NA
"29",15,2020-04-09,"SC",1,18,192,693,17,501,0.25123,9.6723,0.02597,NA,NA,NA,NA
"30",15,2020-04-10,"SC",0,18,24,717,18,693,0.25123,10.00727,0.0251,NA,NA,NA,NA
"31",15,2020-04-11,"SC",3,21,15,732,21,732,0.2931,10.21663,0.02869,NA,NA,NA,NA
