"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",11,2020-03-14,"SE",0,0,1,1,0,0,0,0.0435,0,NA,NA,NA,NA
"2",12,2020-03-15,"SE",0,0,0,1,0,1,0,0.0435,0,NA,NA,NA,NA
"3",12,2020-03-16,"SE",0,0,4,5,0,1,0,0.21751,0,NA,NA,NA,NA
"4",12,2020-03-17,"SE",0,0,0,5,0,4,0,0.21751,0,NA,NA,NA,NA
"5",12,2020-03-18,"SE",0,0,1,6,0,5,0,0.26102,0,NA,NA,NA,NA
"6",12,2020-03-19,"SE",0,0,0,6,0,6,0,0.26102,0,NA,NA,NA,NA
"7",12,2020-03-20,"SE",0,0,1,7,0,6,0,0.30452,0,NA,NA,NA,NA
"8",12,2020-03-21,"SE",0,0,3,10,0,10,0,0.43503,0,NA,NA,NA,NA
"9",13,2020-03-22,"SE",0,0,0,10,0,10,0,0.43503,0,NA,NA,NA,NA
"10",13,2020-03-23,"SE",0,0,0,10,0,10,0,0.43503,0,NA,NA,NA,NA
"11",13,2020-03-24,"SE",0,0,5,15,0,15,0,0.65254,0,NA,NA,NA,NA
"12",13,2020-03-25,"SE",0,0,1,16,0,16,0,0.69605,0,NA,NA,NA,NA
"13",13,2020-03-26,"SE",0,0,0,16,0,16,0,0.69605,0,NA,NA,NA,NA
"14",13,2020-03-27,"SE",0,0,0,16,0,16,0,0.69605,0,NA,NA,NA,NA
"15",13,2020-03-28,"SE",0,0,0,16,0,16,0,0.69605,0,NA,NA,NA,NA
"16",14,2020-03-29,"SE",0,0,0,16,0,16,0,0.69605,0,NA,NA,NA,NA
"17",14,2020-03-30,"SE",0,0,2,18,0,16,0,0.78305,0,NA,NA,NA,NA
"18",14,2020-03-31,"SE",0,0,1,19,0,19,0,0.82656,0,NA,NA,NA,NA
"19",14,2020-04-01,"SE",0,0,3,22,0,20,0,0.95706,0,NA,NA,NA,NA
"20",14,2020-04-02,"SE",2,2,2,24,2,23,0.08701,1.04407,0.08333,NA,NA,NA,NA
"21",14,2020-04-03,"SE",0,2,3,27,2,25,0.08701,1.17458,0.07407,NA,NA,NA,NA
"22",14,2020-04-04,"SE",1,3,5,32,2,27,0.13051,1.39209,0.09375,NA,NA,NA,NA
"23",15,2020-04-05,"SE",0,3,0,32,3,32,0.13051,1.39209,0.09375,NA,NA,NA,NA
"24",15,2020-04-06,"SE",1,4,0,32,4,32,0.17401,1.39209,0.125,14,NA,NA,NA
"25",15,2020-04-07,"SE",0,4,4,36,4,36,0.17401,1.56611,0.11111,14,NA,NA,NA
"26",15,2020-04-08,"SE",0,4,3,39,4,36,0.17401,1.69661,0.10256,17,NA,NA,NA
"27",15,2020-04-09,"SE",0,4,1,40,4,39,0.17401,1.74012,0.1,18,NA,NA,NA
"28",15,2020-04-10,"SE",0,4,2,42,4,42,0.17401,1.82712,0.09524,18,NA,NA,NA
"29",15,2020-04-11,"SE",0,4,2,44,4,42,0.17401,1.91413,0.09091,18,NA,NA,NA
"30",16,2020-04-12,"SE",0,4,0,44,4,44,0.17401,1.91413,0.09091,18,NA,NA,NA
"31",16,2020-04-13,"SE",0,4,1,45,4,44,0.17401,1.95763,0.08889,18,NA,NA,NA
"32",16,2020-04-14,"SE",0,4,1,46,4,45,0.17401,2.00113,0.08696,26,NA,NA,NA
"33",16,2020-04-15,"SE",0,4,2,48,4,46,0.17401,2.08814,0.08333,27,NA,NA,NA
"34",16,2020-04-16,"SE",0,4,5,53,4,48,0.17401,2.30566,0.07547,27,NA,NA,NA
"35",16,2020-04-17,"SE",0,4,5,58,4,53,0.17401,2.52317,0.06897,31,NA,NA,NA
"36",16,2020-04-18,"SE",1,5,13,71,5,71,0.21751,3.08871,0.07042,31,NA,NA,NA
"37",17,2020-04-19,"SE",0,5,15,86,5,83,0.21751,3.74125,0.05814,33,NA,NA,NA
"38",17,2020-04-20,"SE",0,5,6,92,5,86,0.21751,4.00227,0.05435,37,NA,NA,NA
"39",17,2020-04-21,"SE",2,7,25,117,5,92,0.30452,5.08984,0.05983,37,NA,NA,NA
"40",17,2020-04-22,"SE",0,7,1,118,7,117,0.30452,5.13335,0.05932,38,NA,NA,NA
"41",17,2020-04-23,"SE",1,8,17,135,8,124,0.34802,5.87289,0.05926,38,NA,NA,NA
"42",17,2020-04-24,"SE",0,8,10,145,8,144,0.34802,6.30792,0.05517,39,NA,NA,NA
"43",17,2020-04-25,"SE",1,9,9,154,9,153,0.39153,6.69945,0.05844,40,NA,NA,NA
"44",18,2020-04-26,"SE",0,9,21,175,9,159,0.39153,7.61301,0.05143,43,NA,NA,NA
"45",18,2020-04-27,"SE",2,11,36,211,10,197,0.47853,9.17912,0.05213,45,NA,NA,NA
"46",18,2020-04-28,"SE",0,11,69,280,11,280,0.47853,12.18082,0.03929,45,NA,NA,NA
"47",18,2020-04-29,"SE",1,12,57,337,12,337,0.52204,14.66049,0.03561,45,NA,NA,NA
"48",18,2020-04-30,"SE",2,14,116,453,12,447,0.60904,19.70683,0.03091,45,NA,NA,NA
"49",18,2020-05-01,"SE",0,14,64,517,14,517,0.60904,22.49101,0.02708,46,NA,NA,NA
"50",18,2020-05-02,"SE",0,14,84,601,14,601,0.60904,26.14526,0.02329,54,NA,NA,NA
"51",19,2020-05-03,"SE",0,14,129,730,14,730,0.60904,31.75714,0.01918,54,NA,NA,NA
"52",19,2020-05-04,"SE",3,17,42,772,17,772,0.73955,33.58426,0.02202,54,NA,NA,NA
