"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",9,2020-02-25,"SP",0,0,1,1,0,0,0,0.00218,0,NA,NA,NA,NA
"2",9,2020-02-26,"SP",0,0,0,1,0,1,0,0.00218,0,NA,NA,NA,NA
"3",9,2020-02-27,"SP",0,0,0,1,0,1,0,0.00218,0,NA,NA,NA,NA
"4",9,2020-02-28,"SP",0,0,1,2,0,1,0,0.00436,0,NA,NA,NA,NA
"5",9,2020-02-29,"SP",0,0,0,2,0,2,0,0.00436,0,NA,NA,NA,NA
"6",10,2020-03-01,"SP",0,0,0,2,0,2,0,0.00436,0,NA,NA,NA,NA
"7",10,2020-03-02,"SP",0,0,0,2,0,2,0,0.00436,0,NA,NA,NA,NA
"8",10,2020-03-03,"SP",0,0,0,2,0,2,0,0.00436,0,NA,NA,NA,NA
"9",10,2020-03-04,"SP",0,0,1,3,0,3,0,0.00653,0,NA,NA,NA,NA
"10",10,2020-03-05,"SP",0,0,3,6,0,6,0,0.01307,0,NA,NA,NA,NA
"11",10,2020-03-06,"SP",0,0,4,10,0,10,0,0.02178,0,NA,NA,NA,NA
"12",10,2020-03-07,"SP",0,0,3,13,0,13,0,0.02831,0,NA,NA,NA,NA
"13",11,2020-03-08,"SP",0,0,3,16,0,16,0,0.03484,0,NA,NA,NA,NA
"14",11,2020-03-09,"SP",0,0,0,16,0,16,0,0.03484,0,NA,NA,NA,NA
"15",11,2020-03-10,"SP",0,0,3,19,0,19,0,0.04138,0,NA,NA,NA,NA
"16",11,2020-03-11,"SP",0,0,11,30,0,30,0,0.06533,0,NA,NA,NA,NA
"17",11,2020-03-12,"SP",0,0,16,46,0,42,0,0.10018,0,NA,NA,NA,NA
"18",11,2020-03-13,"SP",0,0,10,56,0,56,0,0.12195,0,NA,NA,NA,NA
"19",11,2020-03-14,"SP",0,0,9,65,0,65,0,0.14155,0,NA,NA,NA,NA
"20",12,2020-03-15,"SP",0,0,71,136,0,136,0,0.29617,0,NA,NA,NA,NA
"21",12,2020-03-16,"SP",0,0,16,152,0,152,0,0.33102,0,NA,NA,NA,NA
"22",12,2020-03-17,"SP",1,1,12,164,1,164,0.00218,0.35715,0.0061,NA,NA,NA,NA
"23",12,2020-03-18,"SP",3,4,77,241,4,240,0.00871,0.52484,0.0166,NA,NA,NA,NA
"24",12,2020-03-19,"SP",1,5,45,286,4,286,0.01089,0.62284,0.01748,NA,NA,NA,NA
"25",12,2020-03-20,"SP",4,9,110,396,9,396,0.0196,0.86239,0.02273,NA,NA,NA,NA
"26",12,2020-03-21,"SP",6,15,63,459,15,459,0.03267,0.99959,0.03268,NA,NA,NA,NA
"27",13,2020-03-22,"SP",7,22,172,631,22,631,0.04791,1.37416,0.03487,NA,NA,NA,NA
"28",13,2020-03-23,"SP",8,30,114,745,30,745,0.06533,1.62242,0.04027,NA,4743,NA,NA
"29",13,2020-03-24,"SP",10,40,65,810,40,810,0.08711,1.76397,0.04938,1,4572,NA,NA
"30",13,2020-03-25,"SP",8,48,52,862,48,862,0.10453,1.87722,0.05568,1,4300,NA,NA
"31",13,2020-03-26,"SP",10,58,191,1053,58,1052,0.12631,2.29317,0.05508,1,14312,NA,NA
"32",13,2020-03-27,"SP",10,68,170,1223,68,1223,0.14809,2.66338,0.0556,1,14312,NA,NA
"33",13,2020-03-28,"SP",16,84,183,1406,84,1406,0.18293,3.06191,0.05974,1,14312,NA,NA
"34",14,2020-03-29,"SP",14,98,45,1451,98,1451,0.21342,3.15991,0.06754,1,14312,NA,NA
"35",14,2020-03-30,"SP",15,113,66,1517,113,1517,0.24609,3.30364,0.07449,1,12000,NA,NA
"36",14,2020-03-31,"SP",23,136,822,2339,136,2339,0.29617,5.09375,0.05814,1,12000,NA,NA
"37",14,2020-04-01,"SP",28,164,642,2981,164,2981,0.35715,6.49186,0.05502,1,12000,NA,NA
"38",14,2020-04-02,"SP",24,188,525,3506,188,3506,0.40942,7.63518,0.05362,1,12000,NA,NA
"39",14,2020-04-03,"SP",31,219,542,4048,219,4048,0.47693,8.81551,0.0541,1,12000,NA,NA
"40",14,2020-04-04,"SP",41,260,418,4466,260,4466,0.56621,9.72581,0.05822,1,12000,NA,NA
"41",15,2020-04-05,"SP",15,275,154,4620,275,4620,0.59888,10.06118,0.05952,1,12000,NA,NA
