"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",12,2020-03-18,"TO",0,0,1,1,0,0,0,0.06358,0,NA,NA,NA,NA
"2",12,2020-03-19,"TO",0,0,0,1,0,1,0,0.06358,0,NA,NA,NA,NA
"3",12,2020-03-20,"TO",0,0,0,1,0,1,0,0.06358,0,NA,NA,NA,NA
"4",12,2020-03-21,"TO",0,0,1,2,0,2,0,0.12716,0,NA,NA,NA,NA
"5",13,2020-03-22,"TO",0,0,3,5,0,2,0,0.31789,0,NA,NA,NA,NA
"6",13,2020-03-23,"TO",0,0,2,7,0,5,0,0.44505,0,NA,NA,NA,NA
"7",13,2020-03-24,"TO",0,0,0,7,0,7,0,0.44505,0,NA,NA,NA,NA
"8",13,2020-03-25,"TO",0,0,0,7,0,7,0,0.44505,0,NA,NA,NA,NA
"9",13,2020-03-26,"TO",0,0,1,8,0,7,0,0.50863,0,NA,NA,NA,NA
"10",13,2020-03-27,"TO",0,0,1,9,0,8,0,0.5722,0,NA,NA,NA,NA
"11",13,2020-03-28,"TO",0,0,0,9,0,9,0,0.5722,0,NA,NA,NA,NA
"12",14,2020-03-29,"TO",0,0,1,10,0,9,0,0.63578,0,NA,NA,NA,NA
"13",14,2020-03-30,"TO",0,0,1,11,0,10,0,0.69936,0,NA,NA,NA,NA
"14",14,2020-03-31,"TO",0,0,1,12,0,11,0,0.76294,0,NA,NA,NA,NA
"15",14,2020-04-01,"TO",0,0,0,12,0,12,0,0.76294,0,NA,NA,NA,NA
"16",14,2020-04-02,"TO",0,0,0,12,0,12,0,0.76294,0,NA,NA,NA,NA
"17",14,2020-04-03,"TO",0,0,1,13,0,12,0,0.82652,0,NA,NA,NA,NA
"18",14,2020-04-04,"TO",0,0,3,16,0,14,0,1.01725,0,NA,NA,NA,NA
"19",15,2020-04-05,"TO",0,0,1,17,0,17,0,1.08083,0,NA,NA,NA,NA
"20",15,2020-04-06,"TO",0,0,2,19,0,17,0,1.20799,0,NA,NA,NA,NA
"21",15,2020-04-07,"TO",0,0,0,19,0,19,0,1.20799,0,NA,NA,NA,NA
"22",15,2020-04-08,"TO",0,0,4,23,0,23,0,1.4623,0,NA,NA,NA,NA
"23",15,2020-04-09,"TO",0,0,0,23,0,23,0,1.4623,0,NA,NA,NA,NA
"24",15,2020-04-10,"TO",0,0,0,23,0,23,0,1.4623,0,NA,NA,NA,NA
"25",15,2020-04-11,"TO",0,0,2,25,0,23,0,1.58946,0,NA,NA,NA,NA
"26",16,2020-04-12,"TO",0,0,1,26,0,25,0,1.65303,0,NA,NA,NA,NA
"27",16,2020-04-13,"TO",0,0,0,26,0,26,0,1.65303,0,NA,NA,NA,NA
"28",16,2020-04-14,"TO",0,0,1,27,0,26,0,1.71661,0,NA,NA,NA,NA
"29",16,2020-04-15,"TO",1,1,2,29,1,26,0.06358,1.84377,0.03448,NA,NA,NA,NA
"30",16,2020-04-16,"TO",0,1,2,31,1,29,0.06358,1.97092,0.03226,NA,NA,NA,NA
"31",16,2020-04-17,"TO",0,1,1,32,1,31,0.06358,2.0345,0.03125,12,NA,NA,NA
"32",16,2020-04-18,"TO",0,1,1,33,1,33,0.06358,2.09808,0.0303,12,NA,NA,NA
