"","epi_week","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",9,2020-02-25,"TOTAL",0,0,1,1,0,0,0,0.00048,0,NA,NA,NA,NA
"2",9,2020-02-26,"TOTAL",0,0,0,1,0,1,0,0.00048,0,NA,NA,NA,NA
"3",9,2020-02-27,"TOTAL",0,0,0,1,0,1,0,0.00048,0,NA,NA,NA,NA
"4",9,2020-02-28,"TOTAL",0,0,1,2,0,1,0,0.00095,0,NA,NA,NA,NA
"5",9,2020-02-29,"TOTAL",0,0,0,2,0,2,0,0.00095,0,NA,NA,NA,NA
"6",10,2020-03-01,"TOTAL",0,0,0,2,0,2,0,0.00095,0,NA,NA,NA,NA
"7",10,2020-03-02,"TOTAL",0,0,0,2,0,2,0,0.00095,0,NA,NA,NA,NA
"8",10,2020-03-03,"TOTAL",0,0,0,2,0,2,0,0.00095,0,NA,NA,NA,NA
"9",10,2020-03-04,"TOTAL",0,0,1,3,0,3,0,0.00143,0,NA,NA,NA,NA
"10",10,2020-03-05,"TOTAL",0,0,4,7,0,7,0,0.00333,0,NA,NA,NA,NA
"11",10,2020-03-06,"TOTAL",0,0,7,14,0,13,0,0.00666,0,NA,NA,NA,NA
"12",10,2020-03-07,"TOTAL",0,0,5,19,0,19,0,0.00904,0,NA,NA,NA,NA
"13",11,2020-03-08,"TOTAL",0,0,6,25,0,25,0,0.0119,0,NA,NA,NA,NA
"14",11,2020-03-09,"TOTAL",0,0,0,25,0,25,0,0.0119,0,NA,NA,NA,NA
"15",11,2020-03-10,"TOTAL",0,0,9,34,0,34,0,0.01618,0,NA,NA,NA,NA
"16",11,2020-03-11,"TOTAL",0,0,19,53,0,52,0,0.02522,0,NA,NA,NA,NA
"17",11,2020-03-12,"TOTAL",0,0,36,89,0,77,0,0.04235,0,NA,NA,NA,NA
"18",11,2020-03-13,"TOTAL",0,0,17,106,0,98,0,0.05044,0,NA,NA,NA,NA
"19",11,2020-03-14,"TOTAL",0,0,36,142,0,121,0,0.06757,0,NA,NA,NA,NA
"20",12,2020-03-15,"TOTAL",0,0,83,225,0,200,0,0.10707,0,NA,NA,NA,NA
"21",12,2020-03-16,"TOTAL",0,0,54,279,0,234,0,0.13276,0,NA,NA,NA,NA
"22",12,2020-03-17,"TOTAL",1,1,54,333,1,291,0.00048,0.15846,0.003,NA,NA,NA,NA
"23",12,2020-03-18,"TOTAL",3,4,181,514,4,428,0.0019,0.24459,0.00778,NA,NA,NA,NA
"24",12,2020-03-19,"TOTAL",3,7,129,643,6,621,0.00333,0.30598,0.01089,NA,NA,NA,NA
"25",12,2020-03-20,"TOTAL",4,11,331,974,11,904,0.00523,0.46348,0.01129,NA,NA,NA,NA
"26",12,2020-03-21,"TOTAL",7,18,224,1198,18,1128,0.00857,0.57008,0.01503,NA,NA,NA,NA
"27",13,2020-03-22,"TOTAL",7,25,396,1594,25,1546,0.0119,0.75852,0.01568,NA,NA,NA,NA
"28",13,2020-03-23,"TOTAL",9,34,358,1952,34,1891,0.01618,0.92887,0.01742,8,15867,NA,NA
"29",13,2020-03-24,"TOTAL",13,47,303,2255,46,2201,0.02237,1.07306,0.02084,20,17700,NA,NA
"30",13,2020-03-25,"TOTAL",12,59,311,2566,57,2433,0.02808,1.22105,0.02299,27,27227,NA,NA
"31",13,2020-03-26,"TOTAL",18,77,424,2990,77,2915,0.03664,1.42281,0.02575,42,48793,NA,NA
"32",13,2020-03-27,"TOTAL",16,93,486,3476,92,3417,0.04425,1.65408,0.02675,42,50684,NA,NA
"33",13,2020-03-28,"TOTAL",22,115,479,3955,114,3903,0.05472,1.88201,0.02908,56,52037,NA,NA
"34",14,2020-03-29,"TOTAL",22,137,358,4313,136,4256,0.06519,2.05237,0.03176,56,57847,NA,NA
"35",14,2020-03-30,"TOTAL",29,166,350,4663,159,4579,0.07899,2.21892,0.0356,66,56944,NA,NA
"36",14,2020-03-31,"TOTAL",36,202,1161,5824,201,5717,0.09612,2.77139,0.03468,66,63722,NA,NA
"37",14,2020-04-01,"TOTAL",42,244,1107,6931,240,6836,0.11611,3.29817,0.0352,78,63318,NA,NA
"38",14,2020-04-02,"TOTAL",61,305,1169,8100,299,7910,0.14514,3.85444,0.03765,78,68761,NA,NA
"39",14,2020-04-03,"TOTAL",60,365,1112,9212,359,9056,0.17369,4.3836,0.03962,78,71190,NA,NA
"40",14,2020-04-04,"TOTAL",80,445,1169,10381,432,10278,0.21176,4.93987,0.04287,78,74380,NA,NA
"41",15,2020-04-05,"TOTAL",52,497,1043,11424,486,11130,0.2365,5.43619,0.0435,104,71484,NA,NA
"42",15,2020-04-06,"TOTAL",73,570,838,12262,553,12056,0.27124,5.83496,0.04649,355,72068,NA,NA
"43",15,2020-04-07,"TOTAL",121,691,1821,14083,667,13717,0.32882,6.7015,0.04907,575,86338,NA,NA
"44",15,2020-04-08,"TOTAL",135,826,2175,16258,800,15927,0.39306,7.73648,0.05081,796,88917,NA,NA
"45",15,2020-04-09,"TOTAL",133,959,1937,18195,941,17857,0.45635,8.65822,0.05271,845,95157,NA,NA
"46",15,2020-04-10,"TOTAL",114,1073,1742,19937,1056,19638,0.51059,9.48716,0.05382,999,110830,NA,NA
"47",15,2020-04-11,"TOTAL",68,1141,1055,20992,1124,20727,0.54295,9.98919,0.05435,1016,110424,NA,NA
"48",16,2020-04-12,"TOTAL",96,1237,1464,22456,1223,22169,0.58864,10.68585,0.05509,1080,113544,NA,NA
"49",16,2020-04-13,"TOTAL",120,1357,1412,23868,1328,23430,0.64574,11.35776,0.05685,2977,116272,NA,NA
"50",16,2020-04-14,"TOTAL",200,1557,1909,25777,1532,25262,0.74091,12.26617,0.0604,3152,119713,NA,NA
"51",16,2020-04-15,"TOTAL",203,1760,3242,29019,1736,28320,0.83751,13.8089,0.06065,4256,121860,NA,NA
"52",16,2020-04-16,"TOTAL",202,1962,2082,31101,1924,30425,0.93363,14.79963,0.06308,4445,125406,NA,NA
"53",16,2020-04-17,"TOTAL",211,2173,3296,34397,2141,33682,1.03404,16.36806,0.06317,4992,135014,NA,NA
"54",16,2020-04-18,"TOTAL",202,2375,2778,37175,2347,36599,1.13016,17.68999,0.06389,5112,138587,NA,NA
"55",17,2020-04-19,"TOTAL",116,2491,2022,39197,2462,38654,1.18536,18.65217,0.06355,5573,143462,NA,NA
"56",17,2020-04-20,"TOTAL",107,2598,1740,40937,2575,40581,1.23628,19.48016,0.06346,6667,145827,NA,NA
"57",17,2020-04-21,"TOTAL",174,2772,2742,43679,2741,43079,1.31908,20.78496,0.06346,7342,155648,NA,NA
"58",17,2020-04-22,"TOTAL",169,2941,2744,46423,2906,45757,1.3995,22.09071,0.06335,8522,155949,NA,NA
"59",17,2020-04-23,"TOTAL",408,3349,3875,50298,3313,49492,1.59365,23.93466,0.06658,9087,157733,NA,NA
"60",17,2020-04-24,"TOTAL",373,3722,3911,54209,3670,52995,1.77114,25.79574,0.06866,10374,158205,NA,NA
"61",17,2020-04-25,"TOTAL",352,4074,5298,59507,4016,58509,1.93864,28.31683,0.06846,11614,171445,NA,NA
"62",18,2020-04-26,"TOTAL",227,4301,3715,63222,4205,61888,2.04666,30.08464,0.06803,12363,175562,NA,NA
"63",18,2020-04-27,"TOTAL",305,4606,4145,67367,4543,66501,2.1918,32.05706,0.06837,13663,181843,NA,NA
"64",18,2020-04-28,"TOTAL",488,5094,6233,73600,5017,71886,2.42402,35.02308,0.06921,15111,186149,NA,NA
"65",18,2020-04-29,"TOTAL",443,5537,6199,79799,5466,78162,2.63482,37.97292,0.06939,15999,191145,NA,NA
"66",18,2020-04-30,"TOTAL",443,5980,7327,87126,5901,85380,2.84563,41.45953,0.06864,18024,213376,NA,NA
"67",18,2020-05-01,"TOTAL",459,6439,5539,92665,6329,91589,3.06404,44.0953,0.06949,19329,222113,NA,NA
"68",18,2020-05-02,"TOTAL",371,6810,4915,97580,6750,96559,3.24059,46.43414,0.06979,20452,223314,NA,NA
"69",19,2020-05-03,"TOTAL",267,7077,4443,102023,7025,101147,3.36764,48.54837,0.06937,21384,229194,NA,NA
"70",19,2020-05-04,"TOTAL",304,7381,6982,109005,7321,107780,3.5123,51.8708,0.06771,22033,227358,NA,NA
"71",19,2020-05-05,"TOTAL",591,7972,7408,116413,7921,114715,3.79353,55.39595,0.06848,24153,228424,NA,NA
"72",19,2020-05-06,"TOTAL",625,8597,10544,126957,8536,125218,4.09094,60.41339,0.06772,28602,243997,NA,NA
"73",19,2020-05-07,"TOTAL",676,9273,9732,136689,9146,135106,4.41262,65.04443,0.06784,34168,255669,NA,NA
"74",19,2020-05-08,"TOTAL",754,10027,10407,147096,9897,145328,4.77142,69.99667,0.06817,35787,262746,NA,NA
"75",19,2020-05-09,"TOTAL",670,10697,10155,157251,10627,155939,5.09024,74.829,0.06803,38709,271141,NA,NA
"76",20,2020-05-10,"TOTAL",478,11175,6259,163510,11123,162699,5.3177,77.80739,0.06834,47398,275292,NA,NA
"77",20,2020-05-11,"TOTAL",485,11660,6223,169733,11519,168331,5.54849,80.76865,0.0687,50447,279331,NA,NA
"78",20,2020-05-12,"TOTAL",843,12503,9613,179346,12400,177589,5.94964,85.34307,0.06971,55282,284334,NA,NA
"79",20,2020-05-13,"TOTAL",778,13281,11694,191040,13149,188974,6.31986,90.90774,0.06952,61358,285932,NA,NA
"80",20,2020-05-14,"TOTAL",789,14070,14133,205173,13993,202918,6.69531,97.63303,0.06858,69313,304977,NA,NA
"81",20,2020-05-15,"TOTAL",913,14983,15460,220633,14817,218223,7.12977,104.98978,0.06791,73615,313257,NA,NA
"82",20,2020-05-16,"TOTAL",715,15698,13945,234578,15633,233142,7.47,111.62561,0.06692,79884,318637,NA,NA
"83",21,2020-05-17,"TOTAL",504,16202,7766,242344,16118,241080,7.70984,115.32111,0.06686,83525,318885,NA,NA
"84",21,2020-05-18,"TOTAL",723,16925,14559,256903,16792,254220,8.05388,122.24911,0.06588,94294,365724,NA,NA
"85",21,2020-05-19,"TOTAL",1149,18074,17489,274392,17971,271628,8.60064,130.57138,0.06587,102199,351458,NA,NA
"86",21,2020-05-20,"TOTAL",985,19059,20232,294624,18859,291579,9.06936,140.19892,0.06469,111336,362062,NA,NA
"87",21,2020-05-21,"TOTAL",1069,20128,18137,312761,20047,310087,9.57805,148.82954,0.06436,121275,363921,NA,NA
"88",21,2020-05-22,"TOTAL",1031,21159,21807,334568,21048,330890,10.06866,159.20656,0.06324,130340,384682,NA,NA
"89",21,2020-05-23,"TOTAL",1046,22205,16997,351565,22013,347398,10.56641,167.2947,0.06316,150562,391357,NA,NA
"90",22,2020-05-24,"TOTAL",652,22857,14363,365928,22666,363211,10.87667,174.12943,0.06246,162845,401334,NA,NA
"91",22,2020-05-25,"TOTAL",733,23590,12912,378840,23473,374898,11.22547,180.2737,0.06227,170285,401927,NA,NA
"92",22,2020-05-26,"TOTAL",1054,24644,16327,395167,24512,391222,11.72702,188.04302,0.06236,180331,402878,NA,NA
"93",22,2020-05-27,"TOTAL",1058,25702,19945,415112,25598,411821,12.23048,197.53399,0.06192,190109,427090,NA,NA
"94",22,2020-05-28,"TOTAL",1193,26895,28591,443703,26754,438238,12.79818,211.13922,0.06061,201746,431844,NA,NA
"95",22,2020-05-29,"TOTAL",1137,28032,26890,470593,27878,465166,13.33923,223.93502,0.05957,215630,442448,NA,NA
