"geres","municipio","macro","macro_nome"
"I","ABREU E LIMA",1,"Metropolitana"
"I","ARACOIABA",1,"Metropolitana"
"I","CABO DE SANTO AGOSTINHO",1,"Metropolitana"
"I","CAMARAGIBE",1,"Metropolitana"
"I","CHA DE ALEGRIA",1,"Metropolitana"
"I","CHA GRANDE",1,"Metropolitana"
"I","FERNANDO DE NORONHA",1,"Metropolitana"
"I","GLORIA DO GOITA",1,"Metropolitana"
"I","IGARASSU",1,"Metropolitana"
"I","ILHA DE ITAMARACA",1,"Metropolitana"
"I","IPOJUCA",1,"Metropolitana"
"I","ITAPISSUMA",1,"Metropolitana"
"I","JABOATAO DOS GUARARAPES",1,"Metropolitana"
"I","MORENO",1,"Metropolitana"
"I","OLINDA",1,"Metropolitana"
"I","PAULISTA",1,"Metropolitana"
"I","POMBOS",1,"Metropolitana"
"I","RECIFE",1,"Metropolitana"
"I","SAO LOURENCO DA MATA",1,"Metropolitana"
"I","VITORIA DE SANTO ANTAO",1,"Metropolitana"
"II","BOM JARDIM",1,"Metropolitana"
"II","BUENOS AIRES",1,"Metropolitana"
"II","CARPINA",1,"Metropolitana"
"II","CASINHAS",1,"Metropolitana"
"II","CUMARU",1,"Metropolitana"
"II","FEIRA NOVA",1,"Metropolitana"
"II","JOAO ALFREDO",1,"Metropolitana"
"II","LAGOA DE ITAENGA",1,"Metropolitana"
"II","LAGOA DO CARRO",1,"Metropolitana"
"II","LIMOEIRO",1,"Metropolitana"
"II","MACHADOS",1,"Metropolitana"
"II","NAZARE DA MATA",1,"Metropolitana"
"II","OROBO",1,"Metropolitana"
"II","PASSIRA",1,"Metropolitana"
"II","PAUDALHO",1,"Metropolitana"
"II","SALGADINHO",1,"Metropolitana"
"II","SURUBIM",1,"Metropolitana"
"II","TRACUNHAEM",1,"Metropolitana"
"II","VERTENTE DO LERIO",1,"Metropolitana"
"II","VICENCIA",1,"Metropolitana"
"III","AGUA PRETA",1,"Metropolitana"
"III","AMARAJI",1,"Metropolitana"
"III","BARREIROS",1,"Metropolitana"
"III","BELEM DE MARIA",1,"Metropolitana"
"III","CATENDE",1,"Metropolitana"
"III","CORTES",1,"Metropolitana"
"III","ESCADA",1,"Metropolitana"
"III","GAMELEIRA",1,"Metropolitana"
"III","JAQUEIRA",1,"Metropolitana"
"III","JOAQUIM NABUCO",1,"Metropolitana"
"III","LAGOA DOS GATOS",1,"Metropolitana"
"III","MARAIAL",1,"Metropolitana"
"III","PALMARES",1,"Metropolitana"
"III","PRIMAVERA",1,"Metropolitana"
"III","QUIPAPA",1,"Metropolitana"
"III","RIBEIRAO",1,"Metropolitana"
"III","RIO FORMOSO",1,"Metropolitana"
"III","SAO BENEDITO DO SUL",1,"Metropolitana"
"III","SAO JOSE DA COROA GRANDE",1,"Metropolitana"
"III","SIRINHAEM",1,"Metropolitana"
"III","TAMANDARE",1,"Metropolitana"
"III","XEXEU",1,"Metropolitana"
"IV","AGRESTINA",2,"Agreste"
"IV","ALAGOINHA",2,"Agreste"
"IV","ALTINHO",2,"Agreste"
"IV","BARRA DE GUABIRABA",2,"Agreste"
"IV","BELO JARDIM",2,"Agreste"
"IV","BEZERROS",2,"Agreste"
"IV","BONITO",2,"Agreste"
"IV","BREJO DA MADRE DE DEUS",2,"Agreste"
"IV","CACHOEIRINHA",2,"Agreste"
"IV","CAMOCIM DE SAO FELIX",2,"Agreste"
"IV","CARUARU",2,"Agreste"
"IV","CUPIRA",2,"Agreste"
"IV","FREI MIGUELINHO",2,"Agreste"
"IV","GRAVATA",2,"Agreste"
"IV","IBIRAJUBA",2,"Agreste"
"IV","JATAUBA",2,"Agreste"
"IV","JUREMA",2,"Agreste"
"IV","PANELAS",2,"Agreste"
"IV","PESQUEIRA",2,"Agreste"
"IV","POCAO",2,"Agreste"
"IV","RIACHO DAS ALMAS",2,"Agreste"
"IV","SAIRE",2,"Agreste"
"IV","SANHARO",2,"Agreste"
"IV","SANTA CRUZ DO CAPIBARIBE",2,"Agreste"
"IV","SANTA MARIA DO CAMBUCA",2,"Agreste"
"IV","SAO BENTO DO UNA",2,"Agreste"
"IV","SAO CAITANO",2,"Agreste"
"IV","SAO JOAQUIM DO MONTE",2,"Agreste"
"IV","TACAIMBO",2,"Agreste"
"IV","TAQUARITINGA DO NORTE",2,"Agreste"
"IV","TORITAMA",2,"Agreste"
"IV","VERTENTES",2,"Agreste"
"V","AGUAS BELAS",2,"Agreste"
"V","ANGELIM",2,"Agreste"
"V","BOM CONSELHO",2,"Agreste"
"V","BREJAO",2,"Agreste"
"V","CAETES",2,"Agreste"
"V","CALCADO",2,"Agreste"
"V","CANHOTINHO",2,"Agreste"
"V","CAPOEIRAS",2,"Agreste"
"V","CORRENTES",2,"Agreste"
"V","GARANHUNS",2,"Agreste"
"V","IATI",2,"Agreste"
"V","ITAIBA",2,"Agreste"
"V","JUCATI",2,"Agreste"
"V","JUPI",2,"Agreste"
"V","LAGOA DO OURO",2,"Agreste"
"V","LAJEDO",2,"Agreste"
"V","PALMEIRINA",2,"Agreste"
"V","PARANATAMA",2,"Agreste"
"V","SALOA",2,"Agreste"
"V","SAO JOAO",2,"Agreste"
"V","TEREZINHA",2,"Agreste"
"VI","ARCOVERDE",3,"Sertão"
"VI","BUIQUE",3,"Sertão"
"VI","CUSTODIA",3,"Sertão"
"VI","IBIMIRIM",3,"Sertão"
"VI","INAJA",3,"Sertão"
"VI","JATOBA",3,"Sertão"
"VI","MANARI",3,"Sertão"
"VI","PEDRA",3,"Sertão"
"VI","PETROLANDIA",3,"Sertão"
"VI","SERTANIA",3,"Sertão"
"VI","TACARATU",3,"Sertão"
