"","forman_ricci","sum_epic","periodo"
"1",2,11,2020-03-02
"2",2,12,2020-03-03
"3",2,15,2020-03-04
"4",4,25,2020-03-05
"5",8,43,2020-03-06
"6",10,65,2020-03-07
"7",13.4666666666667,94,2020-03-08
"8",12.4431818181818,117,2020-03-09
"9",16,158,2020-03-10
"10",16,225,2020-03-11
"11",21.3013100436681,327,2020-03-12
"12",22.1044776119403,421,2020-03-13
"13",25,554,2020-03-14
"14",25.405572755418,806,2020-03-15
"15",26.5295698924731,1069,2020-03-16
"16",31.8948374760994,1373,2020-03-17
"17",36.1515151515151,1919,2020-03-18
"18",42.8985655737705,2561,2020-03-19
"19",52.4679351656096,3699,2020-03-20
"20",56.2006289308176,4927,2020-03-21
"21",57.864406779661,6612,2020-03-22
"22",55.8007334963325,8616,2020-03-23
"23",57.7336860670194,10832,2020-03-24
"24",63.8769230769231,13024,2020-03-25
"25",67.0850439882698,15707,2020-03-26
"26",72.6807619047619,18466,2020-03-27
"27",72.0364431486881,21599,2020-03-28
"28",78.8616293532338,24403,2020-03-29
"29",83.6995780590717,27228,2020-03-30
"30",88.7814113597246,31780,2020-03-31
"31",89.867756672277,37196,2020-04-01
"32",94.2113731540666,43195,2020-04-02
"33",99.422946907934,49773,2020-04-03
"34",100.390529141104,57211,2020-04-04
"35",102.006381381381,65154,2020-04-05
"36",99.1439562664507,73557,2020-04-06
"37",100.710208772266,82768,2020-04-07
"38",103.551588785047,93462,2020-04-08
"39",105.628417266187,104988,2020-04-09
"40",104.151832460733,116872,2020-04-10
