"","forman_ricci","sum_epic","periodo"
"1",2,2,2020-03-02
"2",2,1,2020-03-03
"3",2,2,2020-03-04
"4",3,7,2020-03-05
"5",4,12,2020-03-06
"6",5,17,2020-03-07
"7",7,23,2020-03-08
"8",7,28,2020-03-09
"9",8,33,2020-03-10
"10",8,66,2020-03-11
"11",13,101,2020-03-12
"12",14,107,2020-03-13
"13",13.8086956521739,128,2020-03-14
"14",14.3103448275862,206,2020-03-15
"15",14.6239316239316,271,2020-03-16
"16",16.1044776119403,328,2020-03-17
"17",16.7541899441341,466,2020-03-18
"18",22,585,2020-03-19
"19",23.6424050632911,892,2020-03-20
"20",26.7142857142857,1058,2020-03-21
"21",27,1389,2020-03-22
"22",25.6560693641619,1658,2020-03-23
"23",25.6763005780347,1906,2020-03-24
"24",27,2031,2020-03-25
"25",25.6763005780347,2292,2020-03-26
"26",26.4469914040115,2460,2020-03-27
"27",25.5953757225434,2729,2020-03-28
"28",27,2702,2020-03-29
"29",26.7142857142857,2704,2020-03-30
"30",26.7142857142857,3561,2020-03-31
"31",26.7142857142857,4351,2020-04-01
"32",26.4469914040115,5113,2020-04-02
"33",27,5719,2020-04-03
