"","forman_ricci","sum_epic","periodo"
"1",16,5578,2020-01-28
"2",17,6166,2020-01-29
"3",19,8234,2020-01-30
"4",22,9927,2020-01-31
"5",24,12038,2020-02-01
"6",22,16787,2020-02-02
"7",22,19881,2020-02-03
"8",22,23892,2020-02-04
"9",22,27635,2020-02-05
"10",18,30794,2020-02-06
"11",19,34391,2020-02-07
"12",20,37120,2020-02-08
"13",19,40150,2020-02-09
"14",18,42762,2020-02-10
"15",19,44802,2020-02-11
"16",19,45221,2020-02-12
"17",15,60368,2020-02-13
"18",15,66885,2020-02-14
"19",14,69030,2020-02-15
"20",15,71224,2020-02-16
"21",15,73258,2020-02-17
"22",14,75136,2020-02-18
"23",13,75639,2020-02-19
"24",12,76197,2020-02-20
"25",14,76819,2020-02-21
"26",14,78572,2020-02-22
"27",13,78958,2020-02-23
"28",19,79561,2020-02-24
"29",27,80406,2020-02-25
"30",36,81388,2020-02-26
"31",41,82746,2020-02-27
"32",47,84112,2020-02-28
"33",52,86011,2020-02-29
"34",58,88369,2020-03-01
"35",67,90306,2020-03-02
"36",70,92840,2020-03-03
"37",74,95120,2020-03-04
"38",76,97886,2020-03-05
"39",86,101801,2020-03-06
"40",87,105847,2020-03-07
"41",93,109821,2020-03-08
"42",94,113590,2020-03-09
"43",95,118620,2020-03-10
"44",103,125875,2020-03-11
"45",104,128352,2020-03-12
"46",111,145205,2020-03-13
"47",125,156101,2020-03-14
"48",130,167454,2020-03-15
"49",136,181574,2020-03-16
"50",141,197102,2020-03-17
"51",146,214821,2020-03-18
"52",148,242570,2020-03-19
"53",155,272208,2020-03-20
"54",156,304507,2020-03-21
"55",161,336953,2020-03-22
"56",165,378235,2020-03-23
"57",167,418045,2020-03-24
"58",168.680809077454,467653,2020-03-25
"59",168,529591,2020-03-26
"60",169,593291,2020-03-27
"61",171,660706,2020-03-28
"62",170.953488372093,720140,2020-03-29
"63",171,782395,2020-03-30
"64",173,857487,2020-03-31
"65",173,932605,2020-04-01
"66",176,1013320,2020-04-02
"67",177,1095917,2020-04-03
"68",176,1197405,2020-04-04
"69",178,1272115,2020-04-05
"70",180,1345101,2020-04-06
"71",176,1426096,2020-04-07
