"Data","macro","total_cases","media_movel"
2020-03-12,1,NA,NA
2020-03-13,1,0,NA
2020-03-14,1,4,NA
2020-03-15,1,1,NA
2020-03-16,1,7,NA
2020-03-17,1,1,NA
2020-03-18,1,3,NA
2020-03-19,1,6,3.14285714285714
2020-03-20,1,3,3.57142857142857
2020-03-21,1,2,3.28571428571429
2020-03-22,1,4,3.71428571428571
2020-03-23,1,2,3
2020-03-24,1,0,2.85714285714286
2020-03-25,1,0,2.42857142857143
2020-03-26,1,0,1.57142857142857
2020-03-27,1,13,3
2020-03-28,1,11,4.28571428571429
2020-03-29,1,5,4.42857142857143
2020-03-30,1,4,4.71428571428571
2020-03-31,1,9,6
2020-04-01,1,8,7.14285714285714
2020-04-02,1,11,8.71428571428571
2020-04-03,1,30,11.1428571428571
2020-04-04,1,38,15
2020-04-05,1,25,17.8571428571429
2020-04-06,1,20,20.1428571428571
2020-04-07,1,126,36.8571428571429
2020-04-08,1,46,42.2857142857143
2020-04-09,1,146,61.5714285714286
2020-04-10,1,123,74.8571428571429
2020-04-11,1,122,86.8571428571429
2020-04-12,1,139,103.142857142857
2020-04-13,1,188,127.142857142857
2020-04-14,1,127,127.285714285714
2020-04-15,1,191,148
2020-04-16,1,194,154.857142857143
2020-04-17,1,306,181
2020-04-18,1,183,189.714285714286
2020-04-19,1,241,204.285714285714
2020-04-20,1,229,210.142857142857
2020-04-21,1,209,221.857142857143
2020-04-22,1,376,248.285714285714
2020-04-23,1,299,263.285714285714
2020-04-24,1,389,275.142857142857
2020-04-25,1,486,318.428571428571
2020-04-26,1,359,335.285714285714
2020-04-27,1,446,366.285714285714
2020-04-28,1,352,386.714285714286
2020-04-29,1,454,397.857142857143
2020-04-30,1,655,448.714285714286
2020-05-01,1,445,456.714285714286
2020-05-02,1,752,494.714285714286
2020-05-03,1,480,512
2020-05-04,1,205,477.571428571429
2020-05-05,1,389,482.857142857143
2020-05-06,1,552,496.857142857143
2020-05-07,1,891,530.571428571429
2020-05-08,1,716,569.285714285714
2020-05-09,1,835,581.142857142857
2020-05-10,1,755,620.428571428571
2020-05-11,1,446,654.857142857143
2020-05-12,1,511,672.285714285714
2020-05-13,1,539,670.428571428571
2020-05-14,1,658,637.142857142857
2020-05-15,1,572,616.571428571429
2020-05-16,1,2061,791.714285714286
2020-05-17,1,881,809.714285714286
2020-05-18,1,592,830.571428571429
2020-05-19,1,1034,905.285714285714
2020-05-20,1,1142,991.428571428571
2020-05-21,1,1157,1062.71428571429
2020-05-22,1,1686,1221.85714285714
2020-05-23,1,862,1050.57142857143
2020-05-24,1,835,1044
2020-05-25,1,548,1037.71428571429
2020-05-26,1,428,951.142857142857
2020-05-27,1,904,917.142857142857
2020-05-28,1,700,851.857142857143
2020-05-29,1,1325,800.285714285714
2020-05-30,1,955,813.571428571429
2020-05-31,1,801,808.714285714286
2020-06-01,1,362,782.142857142857
2020-06-02,1,481,789.714285714286
2020-06-03,1,689,759
2020-06-04,1,843,779.428571428571
2020-06-05,1,756,698.142857142857
2020-06-06,1,589,645.857142857143
2020-06-07,1,667,626.714285714286
2020-06-08,1,378,629
2020-06-09,1,219,591.571428571429
2020-06-10,1,698,592.857142857143
2020-06-11,1,783,584.285714285714
2020-06-12,1,641,567.857142857143
2020-06-13,1,642,575.428571428571
2020-06-14,1,404,537.857142857143
2020-06-15,1,184,510.142857142857
2020-06-16,1,608,565.714285714286
2020-06-17,1,670,561.714285714286
2020-06-18,1,829,568.285714285714
2020-06-19,1,759,585.142857142857
2020-06-20,1,837,613
2020-06-21,1,671,651.142857142857
2020-06-22,1,247,660.142857142857
2020-06-23,1,214,603.857142857143
2020-06-24,1,746,614.714285714286
2020-06-25,1,669,591.857142857143
2020-06-26,1,286,524.285714285714
2020-06-27,1,778,515.857142857143
2020-06-28,1,552,498.857142857143
2020-06-29,1,212,493.857142857143
2020-06-30,1,188,490.142857142857
2020-07-01,1,459,449.142857142857
2020-07-02,1,774,464.142857142857
2020-07-03,1,556,502.714285714286
2020-07-04,1,515,465.142857142857
2020-07-05,1,897,514.428571428571
2020-07-06,1,265,522
2020-07-07,1,275,534.428571428571
2020-07-08,1,772,579.142857142857
2020-07-09,1,590,552.857142857143
2020-07-10,1,681,570.714285714286
2020-07-11,1,614,584.857142857143
2020-07-12,1,599,542.285714285714
2020-07-13,1,222,536.142857142857
2020-07-14,1,320,542.571428571429
2020-07-15,1,693,531.285714285714
