"","date","state","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"1",2020-03-12,"PE",0,0,2,2,0,2,0,0.02093,0,NA,NA,NA,NA
"2",2020-03-13,"PE",0,0,0,2,0,2,0,0.02093,0,NA,NA,NA,NA
"3",2020-03-14,"PE",0,0,5,7,0,2,0,0.07324,0,NA,NA,NA,NA
"4",2020-03-15,"PE",0,0,1,8,0,2,0,0.08371,0,NA,NA,NA,NA
"5",2020-03-16,"PE",0,0,0,8,0,2,0,0.08371,0,NA,NA,NA,NA
"6",2020-03-17,"PE",0,0,10,18,0,16,0,0.18834,0,NA,NA,NA,NA
"7",2020-03-18,"PE",0,0,1,19,0,16,0,0.19881,0,NA,NA,NA,NA
"8",2020-03-19,"PE",0,0,9,28,0,28,0,0.29298,0,NA,NA,NA,NA
"9",2020-03-20,"PE",0,0,2,30,0,30,0,0.3139,0,NA,NA,NA,NA
"10",2020-03-21,"PE",0,0,3,33,0,30,0,0.34529,0,NA,NA,NA,NA
"11",2020-03-22,"PE",0,0,4,37,0,37,0,0.38715,0,NA,NA,NA,NA
"12",2020-03-23,"PE",0,0,5,42,0,42,0,0.43947,0,3,NA,NA,NA
"13",2020-03-24,"PE",0,0,0,42,0,42,0,0.43947,0,5,NA,NA,NA
"14",2020-03-25,"PE",1,1,4,46,1,46,0.01046,0.48132,0.02174,5,NA,NA,NA
"15",2020-03-26,"PE",2,3,2,48,3,48,0.03139,0.50225,0.0625,5,NA,NA,NA
"16",2020-03-27,"PE",1,4,9,57,4,56,0.04185,0.59642,0.07018,5,NA,NA,NA
"17",2020-03-28,"PE",1,5,11,68,5,68,0.05232,0.71152,0.07353,9,NA,NA,NA
"18",2020-03-29,"PE",0,5,5,73,5,73,0.05232,0.76383,0.06849,9,NA,NA,NA
"19",2020-03-30,"PE",1,6,5,78,6,78,0.06278,0.81615,0.07692,9,NA,NA,NA
"20",2020-03-31,"PE",0,6,9,87,6,87,0.06278,0.91032,0.06897,9,NA,NA,NA
