"","Confirmado","Fitting"
"1",1,13.0090737498466
"2",1,15.6929688442439
"3",1,18.9301823138699
"4",2,22.8346080750121
"5",2,27.5435020579724
"6",2,33.2222370952968
"7",2,40.0700086699251
"8",4,48.3266739538929
"9",4,58.2809380106057
"10",13,70.2801362057793
"11",13,84.7419003389709
"12",20,102.16803673481
"13",25,123.160985559409
"14",31,148.443268598284
"15",38,178.880362245995
"16",52,215.507445171443
"17",151,259.560453557868
"18",151,312.511812819199
"19",162,376.111077541333
"20",200,452.430465627683
"21",321,543.914870864191
"22",372,653.435319447894
"23",621,784.343926071068
"24",793,940.527119783692
"25",1021,1126.45216560491
"26",1546,1347.19974360238
"27",1924,1608.47256285104
"28",2247,1916.56680606168
"29",2554,2278.28995523094
"30",2985,2700.80589220712
"31",3417,3191.38717737336
"32",3904,3757.05663037718
"33",4256,4404.10767177838
"34",4579,5137.5071959008
"35",5717,5960.20705810418
"36",6836,6872.4195794667
"37",8044,7870.94451341284
"38",9056,8948.66144700204
"39",10360,10094.3113817301
"40",11130,11292.6733087756
"41",12161,12525.1906291757
"42",14034,13771.0237588636
"43",NA,15008.4171891844
"44",NA,16216.1976180871
"45",NA,17375.1884474702
