Data,Confirmado,Fitting
22 Jan,548.0,1603.1671601764765
23 Jan,643.0,1986.170740824029
24 Jan,920.0,2457.8583926272163
25 Jan,1406.0,3037.282793452756
26 Jan,2075.0,3746.8224220298102
27 Jan,2877.0,4612.365689340608
28 Jan,5509.0,5663.280069790805
29 Jan,6087.0,6932.035819569348
30 Jan,8141.0,8453.322423635935
31 Jan,9802.0,10262.478961267267
01 Fev,11891.0,12393.076764590265
02 Fev,16630.0,14873.569952561847
03 Fev,19716.0,17723.09194109901
04 Fev,23707.0,20946.73329621313
05 Fev,27440.0,24530.959270247786
06 Fev,30587.0,28440.126261931524
07 Fev,34110.0,32615.19129782839
08 Fev,36814.0,36975.52465234279
09 Fev,39829.0,41424.163309394215
10 Fev,42354.0,45855.986779835825
11 Fev,44386.0,50167.44643765282
12 Fev,44759.0,54265.99083197194
13 Fev,59895.0,58077.42688681344
14 Fev,66358.0,61550.09476563999
15 Fev,68413.0,64655.62544255153
16 Fev,70513.0,67386.83995832349
17 Fev,72434.0,69753.80035778796
18 Fev,74211.0,71779.09158704056
19 Fev,74619.0,73493.20849567579
20 Fev,75077.0,74930.60081323776
21 Fev,75550.0,76126.6203796879
22 Fev,77001.0,77115.38685856193
23 Fev,77022.0,77928.45486686005
24 Fev,77241.0,78594.11026256098
25 Fev,77754.0,79137.11954445606
26 Fev,78166.0,79578.77962715266
27 Fev,78600.0,79937.14842160557
28 Fev,78928.0,80227.36959083242
29 Fev,79356.0,80462.03282912538
01 Mar,79932.0,80651.53262838346
02 Mar,80136.0,80804.40408674735
03 Mar,80261.0,80927.62493724919
04 Mar,80386.0,81026.87982646996
05 Mar,80537.0,81106.78703049828
06 Mar,80690.0,81171.09011728207
07 Mar,80770.0,81222.81819037664
08 Mar,80823.0,81264.41873141742
09 Mar,80860.0,81297.86700442186
10 Mar,80887.0,81324.75569518532
11 Mar,80921.0,81346.36806030417
12 Mar,80932.0,81363.73742929946
13 Mar,80945.0,81377.69548362409
14 Mar,80977.0,81388.91135079501
15 Mar,81003.0,81397.92321041452
16 Mar,81033.0,81405.16381375506
17 Mar,81058.0,81410.9810679774
18 Mar,81102.0,81415.65462591907
19 Mar,81156.0,81419.40924785513
20 Mar,81250.0,81422.4255577096
21 Mar,81305.0,81424.84869817106
22 Mar,81435.0,81426.79529279478
23 Mar,81498.0,81428.35904474912
24 Mar,81591.0,81429.61523821123
25 Mar,81661.0,81430.62435686387
26 Mar,81782.0,81431.43499225847
27 Mar,81897.0,81432.08618114762
28 Mar,81999.0,81432.6092837346
29 Mar,82122.0,81433.02949290106
30 Mar,82198.0,81433.36704684484
31 Mar,82279.0,81433.63820336755
01 Abr,82361.0,81433.8560226319
02 Abr,82432.0,81434.03099602145
03 Abr,82511.0,81434.17155134879
04 Abr,82543.0,81434.28445871737
05 Abr,82602.0,81434.37515656797
06 Abr,82665.0,81434.4480136025
07 Abr,82718.0,81434.50653919435
08 Abr,,81434.55355241467
09 Abr,,81434.59131781351
10 Abr,,81434.62165449433
