Data,Confirmado,Fitting
24 Jan,2.0,0.9999944507052936
25 Jan,3.0,1.1828927994658336
26 Jan,3.0,1.3992428800891359
27 Jan,3.0,1.6551628418346187
28 Jan,4.0,1.957889770507872
29 Jan,5.0,2.3159843120820565
30 Jan,5.0,2.7395727099168385
31 Jan,5.0,3.2406330936811942
01 Fev,6.0,3.833334106839114
02 Fev,6.0,4.534435435932881
03 Fev,6.0,5.363761550220291
04 Fev,6.0,6.344762023247872
05 Fev,6.0,7.505174246174981
06 Fev,6.0,8.877807223882803
07 Fev,6.0,10.501468548946193
08 Fev,11.0,12.422060669383987
09 Fev,11.0,14.693877314230363
10 Fev,11.0,17.38113654616868
11 Fev,11.0,20.559793524968843
12 Fev,11.0,24.31968386753795
13 Fev,11.0,28.76705768838409
14 Fev,11.0,34.02757524114207
15 Fev,12.0,40.24984783996872
16 Fev,12.0,47.60962274632296
17 Fev,12.0,56.31472833940251
18 Fev,12.0,66.61091658047611
19 Fev,12.0,78.78876402624695
20 Fev,12.0,93.19182100222142
21 Fev,12.0,110.22623163766856
22 Fev,12.0,130.372085976672
23 Fev,12.0,154.1968100581703
24 Fev,12.0,182.3709514835946
25 Fev,14.0,215.68677735364983
26 Fev,18.0,255.08016930372105
27 Fev,38.0,301.6563773270233
28 Fev,57.0,356.7202805322648
29 Fev,100.0,421.81189890755843
01 Mar,130.0,498.748004851108
02 Mar,191.0,589.6707949408875
03 Mar,204.0,697.1046978594815
04 Mar,288.0,824.0225080172338
05 Mar,380.0,973.9221374512036
06 Mar,656.0,1150.915357717909
07 Mar,959.0,1359.829939202852
08 Mar,1136.0,1606.3265595451473
09 Mar,1219.0,1897.031706494995
10 Mar,1794.0,2239.6874896654977
11 Mar,2293.0,2643.3187280382986
12 Mar,2293.0,3118.416800959013
13 Mar,3681.0,3677.1384188206775
14 Mar,4496.0,4333.515536727984
15 Mar,4532.0,5103.669924962874
16 Mar,6683.0,6006.022231515703
17 Mar,7715.0,7061.480535503439
18 Mar,9124.0,8293.587250924564
19 Mar,10970.0,9728.59576427649
20 Mar,12758.0,11395.439559233291
21 Mar,14463.0,13325.547342148568
22 Mar,16243.0,15552.44892981355
23 Mar,20123.0,18111.110248745266
24 Mar,22622.0,21036.934501389096
25 Mar,25600.0,24364.374106947147
26 Mar,29551.0,28125.118820812895
27 Mar,33402.0,32345.863759853903
28 Mar,38105.0,37045.719622481825
29 Mar,40708.0,42233.40520454951
30 Mar,45170.0,47904.452256284094
31 Mar,52827.0,54038.73972571945
01 Abr,57749.0,60598.73565097224
02 Abr,59929.0,67528.83349522852
03 Abr,65202.0,74756.10241457411
04 Abr,90848.0,82192.61892882525
05 Abr,93773.0,89739.325388965
06 Abr,98963.0,97291.1093161872
07 Abr,110065.0,104742.57604645769
08 Abr,113959.0,111993.85417705885
09 Abr,118781.0,118955.76690383609
10 Abr,125931.0,125553.82432342792
11 Abr,130727.0,131730.70730917057
12 Abr,133670.0,137447.16475921005
13 Abr,,142681.47303374542
14 Abr,,147427.7661707677
15 Abr,,151693.62080105458
