Data,Confirmado,Fitting
27 Jan,1.0,0.9999923852820368
28 Jan,4.0,1.2066150659576853
29 Jan,4.0,1.4559305305656032
30 Jan,4.0,1.756759830126333
31 Jan,5.0,2.119746495553025
01 Fev,8.0,2.557733027620202
02 Fev,10.0,3.086215142203718
03 Fev,12.0,3.7238898200132495
04 Fev,12.0,4.493316518454889
05 Fev,12.0,5.421714891740441
06 Fev,12.0,6.541927172806334
07 Fev,13.0,7.893579163889515
08 Fev,13.0,9.524480762010878
09 Fev,14.0,11.492315351246113
10 Fev,14.0,13.866677512974912
11 Fev,16.0,16.731530681849467
12 Fev,16.0,20.18817101876819
13 Fev,16.0,24.358801370137783
14 Fev,16.0,29.390840313214905
15 Fev,16.0,35.462116633129504
16 Fev,16.0,42.787129940824364
17 Fev,16.0,51.62459445993379
18 Fev,16.0,62.28652637060796
19 Fev,16.0,75.14918674471753
20 Fev,16.0,90.66625344788109
21 Fev,16.0,109.38466798186391
22 Fev,16.0,131.96368878416632
23 Fev,16.0,159.19778274237188
24 Fev,16.0,192.04410332386502
25 Fev,17.0,231.65543823590332
26 Fev,27.0,279.4196628475418
27 Fev,46.0,337.0069076462836
28 Fev,48.0,406.42583697119005
29 Fev,79.0,490.0906375863121
01 Mar,130.0,590.9005204432407
02 Mar,159.0,712.333731819395
03 Mar,196.0,858.5582258861307
04 Mar,262.0,1034.5612307665808
05 Mar,482.0,1246.2998858236342
06 Mar,670.0,1500.8748538341972
07 Mar,799.0,1806.72819625238
08 Mar,1040.0,2173.865674509511
09 Mar,1176.0,2614.1017789651582
10 Mar,1457.0,3141.322896809639
11 Mar,1908.0,3771.7597499529656
12 Mar,2078.0,4524.254149536904
13 Mar,3675.0,5420.496803489812
14 Mar,4585.0,6485.202046318704
15 Mar,5795.0,7746.1718738839845
16 Mar,7272.0,9234.186056368846
17 Mar,9257.0,10982.638844389858
18 Mar,12327.0,13026.828860105303
19 Mar,15320.0,15402.802209053081
20 Mar,19848.0,18145.65703156305
21 Mar,22213.0,21287.249940975755
22 Mar,24873.0,24853.310571395737
23 Mar,29056.0,28860.075805930817
24 Mar,32986.0,33310.69705064299
25 Mar,37323.0,38191.83343772617
26 Mar,43938.0,43470.98276231513
27 Mar,50871.0,49095.16564819062
28 Mar,57695.0,54991.51073317046
29 Mar,62095.0,61070.05743085387
30 Mar,66885.0,67228.71695998119
31 Mar,71808.0,73359.8935607835
01 Abr,77872.0,79357.89264608873
02 Abr,84794.0,85126.05500236085
03 Abr,91159.0,90582.6221461441
04 Abr,96092.0,95664.63403475532
05 Abr,100123.0,100329.5848545398
06 Abr,103374.0,104554.98319714764
07 Abr,107663.0,108336.2715176552
08 Abr,113296.0,111683.70642769456
09 Abr,,114618.79603296846
10 Abr,,117170.78114949039
11 Abr,,119373.49183517067
