Data,Confirmado,Fitting
19 Fev,2.0,827.8862847776184
20 Fev,5.0,924.5794576922381
21 Fev,18.0,1032.4449377358883
22 Fev,28.0,1152.7437917698423
23 Fev,43.0,1286.8720956192128
24 Fev,61.0,1436.373580787227
25 Fev,95.0,1602.9530111668369
26 Fev,139.0,1788.4902069527807
27 Fev,245.0,1995.0545888824931
28 Fev,388.0,2224.9200609123372
29 Fev,593.0,2480.57998170085
01 Mar,978.0,2764.76189303214
02 Mar,1501.0,3080.4415748773586
03 Mar,2336.0,3430.8558807490335
04 Mar,2922.0,3819.5136724821605
05 Mar,3513.0,4250.204020603229
06 Mar,4747.0,4727.00066640911
07 Mar,5823.0,5254.261558102108
08 Mar,6566.0,5836.622081797024
09 Mar,7161.0,6478.980418374906
10 Mar,8042.0,7186.473282781302
11 Mar,9000.0,7964.440162396731
12 Mar,10075.0,8818.374090315623
13 Mar,11364.0,9753.856998630741
14 Mar,12729.0,10776.477832703702
15 Mar,13938.0,11891.731910741495
16 Mar,14991.0,13104.900526023463
17 Mar,16169.0,14420.910550801333
18 Mar,17361.0,15844.174840233254
19 Mar,18407.0,17378.41556206579
20 Mar,19644.0,19026.474174657935
21 Mar,20610.0,20790.113584496947
22 Mar,21638.0,22669.819928434168
23 Mar,23049.0,24664.61328632721
24 Mar,24811.0,26771.878227178917
25 Mar,27017.0,28987.22617953588
26 Mar,29406.0,31304.40193624138
27 Mar,32332.0,33715.24592134224
28 Mar,35408.0,36209.72200073697
29 Mar,38309.0,38776.01756366281
30 Mar,41495.0,41400.71845086417
31 Mar,44605.0,44069.05634220377
01 Abr,47593.0,46765.22088759323
02 Abr,50468.0,49472.72373103556
03 Abr,53183.0,52174.797236686616
04 Abr,55743.0,54854.80771974982
05 Abr,58226.0,57496.66170520379
06 Abr,60500.0,60085.184354223544
07 Abr,62589.0,62606.45162929688
08 Abr,64586.0,65048.0616946502
09 Abr,66220.0,67399.33597014917
10 Abr,,69651.44558480031
11 Abr,,71797.4641263647
12 Abr,,73832.35206289637
