Data,Confirmado,Fitting
31 Jan,2.0,0.9999923039132733
01 Fev,2.0,1.2536956756846598
02 Fev,2.0,1.5717641650550864
03 Fev,2.0,1.970526902332031
04 Fev,2.0,2.470455387519993
05 Fev,2.0,3.0972141800893063
06 Fev,2.0,3.882978007331285
07 Fev,3.0,4.868082798256247
08 Fev,3.0,6.103095228151843
09 Fev,3.0,7.651406742007718
10 Fev,3.0,9.592484789263747
11 Fev,3.0,12.02594748792402
12 Fev,3.0,15.076669808871445
13 Fev,3.0,18.901181697269177
14 Fev,3.0,23.695683882204904
15 Fev,3.0,29.706088616061567
16 Fev,3.0,37.240594091170024
17 Fev,3.0,46.68542750600148
18 Fev,3.0,58.52454837944822
19 Fev,3.0,73.36429753089946
20 Fev,3.0,91.96421614877566
21 Fev,20.0,115.27555276783227
22 Fev,62.0,144.48933404024746
23 Fev,155.0,181.09630882603636
24 Fev,229.0,226.96159496294942
25 Fev,322.0,284.41747269202415
26 Fev,453.0,356.3784816117114
27 Fev,655.0,446.48378248798497
28 Fev,888.0,559.2726159735298
29 Fev,1128.0,700.3995702577736
01 Mar,1694.0,876.8971498316191
02 Mar,2036.0,1097.4936264815308
03 Mar,2502.0,1372.9940335474726
04 Mar,3089.0,1716.7309301464866
05 Mar,3858.0,2145.088440786905
06 Mar,4636.0,2678.096932323661
07 Mar,5883.0,3340.084933154759
08 Mar,7375.0,4160.35743218294
09 Mar,9172.0,5173.843000052481
10 Mar,10149.0,6421.6136980943475
11 Mar,12462.0,7951.129836594441
12 Mar,12462.0,9815.997446146388
13 Mar,17660.0,12074.956873185682
14 Mar,21157.0,14789.763533749241
15 Mar,24747.0,18021.60878245903
16 Mar,27980.0,21825.808924104913
17 Mar,31506.0,26244.721995383105
18 Mar,35713.0,31299.27935715342
19 Mar,41035.0,36980.12840544537
20 Mar,47021.0,43240.04808722394
21 Mar,53578.0,49989.757174330734
22 Mar,59138.0,57099.144394887924
23 Mar,63927.0,64405.06307062855
24 Mar,69176.0,71725.22773888198
25 Mar,74386.0,78875.93579593065
26 Mar,80589.0,85690.0803665089
27 Mar,86498.0,92031.82162047944
28 Mar,92472.0,97805.39177518855
29 Mar,97689.0,102957.28923222543
30 Mar,101739.0,107472.79757403799
31 Mar,105792.0,111368.7772498935
01 Abr,110574.0,114684.87996976862
02 Abr,115242.0,117474.93927269547
03 Abr,119827.0,119799.63679688967
04 Abr,124632.0,121720.9143631438
05 Abr,128948.0,123298.14364058152
06 Abr,132547.0,124585.80561421637
07 Abr,135586.0,125632.33261498502
08 Abr,,126479.76804086934
09 Abr,,127163.95200337077
10 Abr,,127715.01018350081
