Data,Confirmado,Fitting
12 Mar,2.0,3.9575270604727457
13 Mar,2.0,4.673966499707891
14 Mar,7.0,5.52010445164428
15 Mar,8.0,6.519420496532663
16 Mar,18.0,7.699644766036357
17 Mar,19.0,9.093527426838817
18 Mar,22.0,10.739747464414744
19 Mar,28.0,12.683985984338426
20 Mar,31.0,14.980193813487613
21 Mar,33.0,17.692088574827245
22 Mar,37.0,20.8949227766929
23 Mar,42.0,24.677571977272663
24 Mar,42.0,29.145000965903794
25 Mar,46.0,34.42117639119547
26 Mar,48.0,40.65250665276454
27 Mar,57.0,48.01190450205627
28 Mar,68.0,56.70358507397766
29 Mar,72.0,66.96873247392068
30 Mar,78.0,79.09219213982827
31 Mar,87.0,93.41037465414081
01 Abr,95.0,110.32059028433062
02 Abr,106.0,130.2920732143354
03 Abr,136.0,153.87900129172328
04 Abr,176.0,181.73587245446677
05 Abr,201.0,214.6356643484952
06 Abr,223.0,253.4912808106369
07 Abr,352.0,299.38088000480815
08 Abr,,353.57778658011074
09 Abr,,417.585817238431
10 Abr,,493.1809990602951
