Data,Confirmado,Fitting
01 Fev,1.0,0.9999941453899185
02 Fev,1.0,1.2323355574694752
03 Fev,1.0,1.5186593373862498
04 Fev,1.0,1.8715075376747201
05 Fev,1.0,2.3063360532560586
06 Fev,1.0,2.842191515231191
07 Fev,1.0,3.502545394273344
08 Fev,1.0,4.3163218077690395
09 Fev,2.0,5.3191639871491425
10 Fev,2.0,6.5549947815377925
11 Fev,2.0,8.077939401168608
12 Fev,2.0,9.954694391470692
13 Fev,2.0,12.267446253600522
14 Fev,2.0,15.11746701871436
15 Fev,2.0,18.62954345509236
16 Fev,2.0,22.957432676012324
17 Fev,2.0,28.290581227080473
18 Fev,2.0,34.8623990905572
19 Fev,2.0,42.960446657765345
20 Fev,2.0,52.938974242337885
21 Fev,2.0,65.23435330681058
22 Fev,2.0,80.38406000813
23 Fev,2.0,99.05001933310099
24 Fev,2.0,122.04729706845183
25 Fev,6.0,150.3793428662355
26 Fev,13.0,185.28124700569109
27 Fev,15.0,228.27278267992816
28 Fev,32.0,281.223371069407
29 Fev,45.0,346.4315332502627
01 Mar,84.0,426.721883533051
02 Mar,120.0,525.5632702795889
03 Mar,165.0,647.2122705056249
04 Mar,222.0,796.8868662140056
05 Mar,259.0,980.975721509878
06 Mar,400.0,1207.2889503436547
07 Mar,500.0,1485.3564684043565
08 Mar,673.0,1826.7797289008195
09 Mar,1073.0,2245.641501586906
10 Mar,1695.0,2758.97585532765
11 Mar,2277.0,3387.295921504553
12 Mar,2277.0,4155.169363050963
13 Mar,5232.0,5091.819483085706
14 Mar,6391.0,6231.7120685954305
15 Mar,7798.0,7615.062809304271
16 Mar,9942.0,9288.166263918856
17 Mar,11748.0,11303.404883204297
18 Mar,13910.0,13718.74818703241
19 Mar,17963.0,16596.50516744835
20 Mar,20410.0,20001.06186992068
21 Mar,25374.0,23995.344619932028
22 Mar,28768.0,28635.83006596308
23 Mar,35136.0,33966.11151691141
24 Mar,39885.0,40009.35023793721
25 Mar,49515.0,46760.37664208965
26 Mar,57786.0,54178.680511311744
27 Mar,65719.0,62183.88344669737
28 Mar,73235.0,70655.31144807057
29 Mar,80110.0,79436.80617815975
30 Mar,87956.0,88346.9126619821
31 Mar,95923.0,97193.2861848939
01 Abr,104118.0,105789.00746303875
02 Abr,112065.0,113967.94036215618
03 Abr,119199.0,121596.54719729992
04 Abr,126168.0,128580.57200475392
05 Abr,131646.0,134866.30419701134
06 Abr,136675.0,140437.27391489205
07 Abr,141942.0,145307.89610367097
08 Abr,148220.0,149515.712424419
09 Abr,153222.0,153113.61378644351
10 Abr,158273.0,156162.97147090768
11 Abr,163027.0,158728.1428426477
12 Abr,166831.0,160872.45444314124
13 Abr,,162655.53387566644
14 Abr,,164131.748438901
15 Abr,,165349.47943550342
