Data,Confirmado,Fitting
22 Jan,1.0,0.9999986713850474
23 Jan,1.0,1.1968772914504313
24 Jan,2.0,1.4325170802803153
25 Jan,2.0,1.7145492469995836
26 Jan,5.0,2.052107401708756
27 Jan,5.0,2.4561233360218933
28 Jan,5.0,2.9396810318998576
29 Jan,5.0,3.5184403606692722
30 Jan,5.0,4.211144189838823
31 Jan,7.0,5.0402253147670395
01 Fev,8.0,6.032532862593144
02 Fev,8.0,7.220201681403379
03 Fev,11.0,8.641692853087784
04 Fev,11.0,10.343039002871974
05 Fev,11.0,12.379334700359577
06 Fev,11.0,14.816520169164738
07 Fev,11.0,17.733515999438765
08 Fev,11.0,21.224777893892778
09 Fev,11.0,25.403354036363872
10 Fev,11.0,30.40454388585362
11 Fev,12.0,36.3902765850586
12 Fev,12.0,43.55435034662547
13 Fev,13.0,52.12870187614472
14 Fev,13.0,62.390907980756
15 Fev,13.0,74.67316103282295
16 Fev,13.0,89.37300713926014
17 Fev,13.0,106.96619216504516
18 Fev,13.0,128.0220278948524
19 Fev,13.0,153.22177061695754
20 Fev,13.0,183.38059965932092
21 Fev,15.0,219.47389668308037
22 Fev,15.0,262.668661082236
23 Fev,15.0,314.3610563928813
24 Fev,51.0,376.2212714701483
25 Fev,51.0,450.2471032081064
26 Fev,57.0,538.8279301895191
27 Fev,58.0,644.8210548097753
28 Fev,60.0,771.6427514627255
29 Fev,68.0,923.3767767837188
01 Mar,74.0,1104.903580897959
02 Mar,98.0,1322.0540112970743
03 Mar,118.0,1581.7919264299087
04 Mar,149.0,1892.4308336222439
05 Mar,217.0,2263.8904285289286
06 Mar,262.0,2707.999724048315
07 Mar,402.0,3238.854283445098
08 Mar,518.0,3873.2358608175036
09 Mar,583.0,4631.103414846064
10 Mar,959.0,5536.16486532566
11 Mar,1281.0,6616.538907770523
12 Mar,1663.0,7905.5154021727785
13 Mar,2179.0,9442.420902264403
14 Mar,2727.0,11273.592232636947
15 Mar,3499.0,13453.454903115884
16 Mar,4632.0,16045.69359780724
17 Mar,6421.0,19124.487770938817
18 Mar,7783.0,22775.76507814603
19 Mar,13747.0,27098.39739214309
20 Mar,19273.0,32205.22700571549
21 Mar,25600.0,38223.763337315315
22 Mar,33276.0,45296.33329053305
23 Mar,43847.0,53579.404000416245
24 Mar,53740.0,63241.73155045433
25 Mar,65778.0,74460.93565342923
26 Mar,83836.0,87418.07809186353
27 Mar,101657.0,102289.86009606987
28 Mar,121465.0,119238.18566614133
29 Mar,140909.0,138397.0994906474
30 Mar,161831.0,159857.5228920374
31 Mar,188172.0,183650.7711679515
01 Abr,213372.0,209732.47928755326
02 Abr,243762.0,237969.1593289554
03 Abr,275586.0,268129.9679179076
04 Abr,308853.0,299886.1591288537
05 Abr,337072.0,332819.98045923683
06 Abr,366667.0,366443.4349390162
07 Abr,396223.0,400225.60061106196
08 Abr,429052.0,433625.4899423922
09 Abr,461437.0,466126.2410394716
10 Abr,496535.0,497266.1373586754
11 Abr,526396.0,526662.6499660002
12 Abr,555313.0,554027.1591712463
13 Abr,,579169.7904540316
14 Abr,,601995.4077869493
15 Abr,,622492.8993021119
