,Brazil,China,France,Germany,Iran,Italy,Spain,US
22 Jan,0,17,0,0,0,0,0,0
23 Jan,0,18,0,0,0,0,0,0
24 Jan,0,26,0,0,0,0,0,0
25 Jan,0,42,0,0,0,0,0,0
26 Jan,0,56,0,0,0,0,0,0
27 Jan,0,82,0,0,0,0,0,0
28 Jan,0,131,0,0,0,0,0,0
29 Jan,0,133,0,0,0,0,0,0
30 Jan,0,171,0,0,0,0,0,0
31 Jan,0,213,0,0,0,0,0,0
01 Fev,0,259,0,0,0,0,0,0
02 Fev,0,361,0,0,0,0,0,0
03 Fev,0,425,0,0,0,0,0,0
04 Fev,0,491,0,0,0,0,0,0
05 Fev,0,563,0,0,0,0,0,0
06 Fev,0,633,0,0,0,0,0,0
07 Fev,0,718,0,0,0,0,0,0
08 Fev,0,805,0,0,0,0,0,0
09 Fev,0,905,0,0,0,0,0,0
10 Fev,0,1012,0,0,0,0,0,0
11 Fev,0,1112,0,0,0,0,0,0
12 Fev,0,1117,0,0,0,0,0,0
13 Fev,0,1369,0,0,0,0,0,0
14 Fev,0,1521,0,0,0,0,0,0
15 Fev,0,1663,1,0,0,0,0,0
16 Fev,0,1766,1,0,0,0,0,0
17 Fev,0,1864,1,0,0,0,0,0
18 Fev,0,2003,1,0,0,0,0,0
19 Fev,0,2116,1,0,2,0,0,0
20 Fev,0,2238,1,0,2,0,0,0
21 Fev,0,2238,1,0,4,1,0,0
22 Fev,0,2443,1,0,5,2,0,0
23 Fev,0,2445,1,0,8,3,0,0
24 Fev,0,2595,1,0,12,7,0,0
25 Fev,0,2665,1,0,16,10,0,0
26 Fev,0,2717,2,0,19,12,0,0
27 Fev,0,2746,2,0,26,17,0,0
28 Fev,0,2790,2,0,34,21,0,0
29 Fev,0,2837,2,0,43,29,0,1
01 Mar,0,2872,2,0,54,34,0,1
02 Mar,0,2914,3,0,66,52,0,6
03 Mar,0,2947,4,0,77,79,1,7
04 Mar,0,2983,4,0,92,107,2,11
05 Mar,0,3015,6,0,107,148,3,12
06 Mar,0,3044,9,0,124,197,5,14
07 Mar,0,3072,11,0,145,233,10,17
08 Mar,0,3100,19,0,194,366,17,21
09 Mar,0,3123,19,2,237,463,28,22
10 Mar,0,3139,33,2,291,631,35,28
11 Mar,0,3161,48,3,354,827,54,36
12 Mar,0,3172,48,3,429,827,55,40
13 Mar,0,3180,79,7,514,1266,133,47
14 Mar,0,3193,91,9,611,1441,195,54
15 Mar,0,3203,91,11,724,1809,289,63
16 Mar,0,3217,149,17,853,2158,342,85
17 Mar,1,3230,149,24,988,2503,533,108
18 Mar,3,3241,149,28,1135,2978,623,118
19 Mar,6,3249,244,44,1284,3405,830,200
20 Mar,11,3253,451,67,1433,4032,1043,244
21 Mar,15,3259,563,84,1556,4825,1375,307
22 Mar,25,3274,676,94,1685,5476,1772,417
23 Mar,34,3274,862,123,1812,6077,2311,557
24 Mar,46,3281,1102,157,1934,6820,2808,706
25 Mar,59,3285,1333,206,2077,7503,3647,942
26 Mar,77,3291,1698,267,2234,8215,4365,1209
27 Mar,92,3296,1997,342,2378,9134,5138,1581
28 Mar,111,3299,2317,433,2517,10023,5982,2026
29 Mar,136,3304,2611,533,2640,10779,6803,2467
30 Mar,159,3308,3030,645,2757,11591,7716,2978
31 Mar,201,3309,3532,775,2898,12428,8464,3873
01 Abr,240,3316,4043,920,3036,13155,9387,4757
02 Abr,324,3322,5398,1107,3160,13915,10348,5926
03 Abr,359,3326,6520,1275,3294,14681,11198,7087
04 Abr,445,3330,7574,1444,3452,15362,11947,8407
05 Abr,486,3333,8093,1584,3603,15887,12641,9619
06 Abr,564,3335,8926,1810,3739,16523,13341,10783
07 Abr,686,3335,10343,2016,3872,17127,14045,12722
08 Abr,819,3337,10887,2349,3993,17669,14792,14695
09 Abr,950,3339,12228,2607,4110,18279,15447,16478
