,Brazil,China,France,Germany,Iran,Italy,Spain,US
22 Jan,0,28,0,0,0,0,0,0
23 Jan,0,30,0,0,0,0,0,0
24 Jan,0,36,0,0,0,0,0,0
25 Jan,0,39,0,0,0,0,0,0
26 Jan,0,49,0,0,0,0,0,0
27 Jan,0,58,0,0,0,0,0,0
28 Jan,0,101,0,0,0,0,0,0
29 Jan,0,120,0,0,0,0,0,0
30 Jan,0,135,0,0,0,0,0,0
31 Jan,0,214,0,0,0,0,0,0
01 Fev,0,275,0,0,0,0,0,0
02 Fev,0,463,0,0,0,0,0,0
03 Fev,0,614,0,0,0,0,0,0
04 Fev,0,843,0,0,0,0,0,0
05 Fev,0,1115,0,0,0,0,0,0
06 Fev,0,1477,0,0,0,0,0,0
07 Fev,0,1999,0,0,0,0,0,0
08 Fev,0,2596,0,0,0,0,0,0
09 Fev,0,3219,0,0,0,0,0,3
10 Fev,0,3918,0,0,0,0,0,3
11 Fev,0,4636,0,0,0,0,0,3
12 Fev,0,5082,2,0,0,0,0,3
13 Fev,0,6217,2,1,0,0,0,3
14 Fev,0,7977,2,1,0,0,0,3
15 Fev,0,9298,4,1,0,0,2,3
16 Fev,0,10755,4,1,0,0,2,3
17 Fev,0,12462,4,1,0,0,2,3
18 Fev,0,14206,4,12,0,0,2,3
19 Fev,0,15962,4,12,0,0,2,3
20 Fev,0,18014,4,12,0,0,2,3
21 Fev,0,18704,4,14,0,0,2,5
22 Fev,0,22699,4,14,0,1,2,5
23 Fev,0,23187,4,14,0,2,2,5
24 Fev,0,25015,4,14,0,1,2,5
25 Fev,0,27676,11,14,0,1,2,6
26 Fev,0,30084,11,15,49,3,2,6
27 Fev,0,32930,11,16,49,45,2,6
28 Fev,0,36329,11,16,73,46,2,7
29 Fev,0,39320,12,16,123,46,2,7
01 Mar,0,42162,12,16,175,83,2,7
02 Mar,0,44854,12,16,291,149,2,7
03 Mar,0,47450,12,16,291,160,2,7
04 Mar,0,50001,12,16,552,276,2,7
05 Mar,0,52292,12,16,739,414,2,7
06 Mar,0,53944,12,17,913,523,2,7
07 Mar,0,55539,12,18,1669,589,30,7
08 Mar,0,57388,12,18,2134,622,30,7
09 Mar,0,58804,12,18,2394,724,32,7
10 Mar,0,60181,12,18,2731,724,32,8
11 Mar,0,61644,12,25,2959,1045,183,8
12 Mar,0,62901,12,25,2959,1045,183,12
13 Mar,0,64196,12,46,2959,1439,193,12
14 Mar,0,65660,12,46,2959,1966,517,12
15 Mar,0,67017,12,46,4590,2335,517,12
16 Mar,1,67910,12,67,4590,2749,530,17
17 Mar,2,68798,12,67,5389,2941,1028,17
18 Mar,2,69755,12,105,5389,4025,1081,105
19 Mar,2,70535,12,113,5710,4440,1107,121
20 Mar,2,71266,12,180,6745,4440,1588,147
21 Mar,2,71857,12,233,7635,6072,2125,176
22 Mar,2,72362,2206,266,7931,7024,2575,178
23 Mar,2,72814,2206,266,7931,7024,2575,178
24 Mar,2,73280,3250,3243,8913,8326,3794,348
25 Mar,2,73773,3907,3547,9625,9362,5367,361
26 Mar,6,74181,4955,5673,10457,10361,7015,681
27 Mar,6,74720,5707,6658,11133,10950,9357,869
28 Mar,6,75100,5724,8481,11679,12384,12285,1072
29 Mar,6,75582,7226,9211,12391,13030,14709,2665
30 Mar,120,75923,7964,13500,13911,14620,16780,5644
31 Mar,127,76206,9513,16100,14656,15729,19259,7024
01 Abr,127,76405,11053,18700,15473,16847,22647,8474
02 Abr,127,76565,12548,22440,16711,18278,26743,9001
03 Abr,127,76760,14135,24575,17935,19758,30513,9707
04 Abr,127,76946,15572,26400,19736,20996,34219,14652
05 Abr,127,77207,16349,28700,19736,21815,38080,17448
06 Abr,127,77310,17428,28700,24236,22837,40437,19581
