"municipio","variacao_percentual","status"
"ABREU E LIMA",-32.17,"Diminuição"
"AFOGADOS DA INGAZEIRA",8.39,"Estabilidade"
"AFRANIO",-18.92,"Diminuição"
"AGRESTINA",18.18,"Aumento"
"AGUA PRETA",46.67,"Aumento"
"AGUAS BELAS",120,"Aumento"
"ALAGOINHA",154.55,"Aumento"
"ALIANCA",-57.14,"Diminuição"
"ALTINHO",175,"Aumento"
"AMARAJI",200,"Aumento"
"ANGELIM",-25,"Diminuição"
"ARACOIABA",42.86,"Aumento"
"ARARIPINA",43.14,"Aumento"
"ARCOVERDE",-22.52,"Diminuição"
"BARRA DE GUABIRABA",0,"Estabilidade"
"BARREIROS",105.56,"Aumento"
"BELEM DE MARIA",300,"Aumento"
"BELEM DO SAO FRANCISCO",-16.67,"Diminuição"
"BELO JARDIM",171.19,"Aumento"
"BETANIA",-15.79,"Diminuição"
"BEZERROS",4.41,"Estabilidade"
"BODOCO",190.91,"Aumento"
"BOM CONSELHO",131.25,"Aumento"
"BOM JARDIM",90.91,"Aumento"
"BONITO",1050,"Aumento"
"BREJAO",1200,"Aumento"
"BREJINHO",-8.33,"Estabilidade"
"BREJO DA MADRE DE DEUS",26.83,"Aumento"
"BUENOS AIRES",71.43,"Aumento"
"BUIQUE",346.67,"Aumento"
"CABO DE SANTO AGOSTINHO",56.22,"Aumento"
"CABROBO",48.98,"Aumento"
"CACHOEIRINHA",133.33,"Aumento"
"CAETES",-33.33,"Diminuição"
"CALCADO",328.57,"Aumento"
"CALUMBI",-52.94,"Diminuição"
"CAMARAGIBE",-22.39,"Diminuição"
"CAMOCIM DE SAO FELIX",12.5,"Estabilidade"
"CAMUTANGA",10.34,"Estabilidade"
"CANHOTINHO",57.14,"Aumento"
"CAPOEIRAS",-4.76,"Estabilidade"
"CARNAIBA",106.94,"Aumento"
"CARNAUBEIRA DA PENHA",237.5,"Aumento"
"CARPINA",54.55,"Aumento"
"CARUARU",96.61,"Aumento"
"CASINHAS",400,"Aumento"
"CATENDE",104,"Aumento"
"CEDRO",16.39,"Aumento"
"CHA DE ALEGRIA",-20,"Diminuição"
"CHA GRANDE",66.67,"Aumento"
"CONDADO",6.67,"Estabilidade"
"CORRENTES",200,"Aumento"
"CORTES",-50,"Diminuição"
"CUMARU",200,"Aumento"
"CUPIRA",64.52,"Aumento"
"CUSTODIA",200,"Aumento"
"DORMENTES",-80.39,"Diminuição"
"ESCADA",150,"Aumento"
"EXU",22.09,"Aumento"
"FEIRA NOVA",22.73,"Aumento"
"FERNANDO DE NORONHA",-66.67,"Diminuição"
"FERREIROS",-6.58,"Estabilidade"
"FLORES",125,"Aumento"
"FLORESTA",-41.94,"Diminuição"
"FREI MIGUELINHO",-17.65,"Diminuição"
"GAMELEIRA",22.22,"Aumento"
"GARANHUNS",8.92,"Estabilidade"
"GLORIA DO GOITA",29.73,"Aumento"
"GOIANA",7.91,"Estabilidade"
"GRANITO",-31.25,"Diminuição"
"GRAVATA",356,"Aumento"
"IATI",216.67,"Aumento"
"IBIMIRIM",50,"Aumento"
"IBIRAJUBA",300,"Aumento"
"IGARASSU",-51.7,"Diminuição"
"IGUARACY",83.33,"Aumento"
"ILHA DE ITAMARACA",-37.14,"Diminuição"
"INAJA",50,"Aumento"
"INGAZEIRA",-14.29,"Estabilidade"
"IPOJUCA",-37.63,"Diminuição"
"IPUBI",-59.46,"Diminuição"
"ITACURUBA",200,"Aumento"
"ITAIBA",-16.67,"Diminuição"
"ITAMBE",-26.42,"Diminuição"
"ITAPETIM",123.53,"Aumento"
"ITAPISSUMA",0,"Estabilidade"
"ITAQUITINGA",-60.53,"Diminuição"
"JABOATAO DOS GUARARAPES",-41.55,"Diminuição"
"JAQUEIRA",400,"Aumento"
"JATAUBA",105.56,"Aumento"
"JATOBA",62.07,"Aumento"
"JOAO ALFREDO",-15.38,"Diminuição"
"JOAQUIM NABUCO",-60,"Diminuição"
"JUCATI",84.21,"Aumento"
"JUPI",53.13,"Aumento"
"JUREMA",109.09,"Aumento"
"LAGOA DE ITAENGA",126.32,"Aumento"
"LAGOA DO CARRO",59.38,"Aumento"
"LAGOA DO OURO",136.36,"Aumento"
"LAGOA DOS GATOS",54.55,"Aumento"
"LAGOA GRANDE",-19.1,"Diminuição"
"LAJEDO",36.76,"Aumento"
"LIMOEIRO",73.33,"Aumento"
"MACAPARANA",100,"Aumento"
"MACHADOS",242.86,"Aumento"
"MANARI",0,"Estabilidade"
"MARAIAL",0,"Estabilidade"
"MIRANDIBA",-78.57,"Diminuição"
"MOREILANDIA",-20.83,"Diminuição"
"MORENO",81.67,"Aumento"
"NAZARE DA MATA",-18.92,"Diminuição"
"OLINDA",-6.65,"Estabilidade"
"OROBO",100,"Aumento"
"OROCO",436.36,"Aumento"
"OURICURI",65.91,"Aumento"
"PALMARES",117.78,"Aumento"
"PALMEIRINA",360,"Aumento"
"PANELAS",357.14,"Aumento"
"PARANATAMA",17.65,"Aumento"
"PARNAMIRIM",200,"Aumento"
"PASSIRA",2.08,"Estabilidade"
"PAUDALHO",4.29,"Estabilidade"
"PAULISTA",-4.39,"Estabilidade"
"PEDRA",85.71,"Aumento"
"PESQUEIRA",67.57,"Aumento"
"PETROLANDIA",94.74,"Aumento"
"PETROLINA",-52.1,"Diminuição"
"POCAO",64,"Aumento"
"POMBOS",0,"Estabilidade"
"PRIMAVERA",-60,"Diminuição"
"QUIPAPA",300,"Aumento"
"QUIXABA",88.89,"Aumento"
"RECIFE",44.75,"Aumento"
"RIACHO DAS ALMAS",930.77,"Aumento"
"RIBEIRAO",462.5,"Aumento"
"RIO FORMOSO",-17.07,"Diminuição"
"SAIRE",0,"Estabilidade"
"SALGADINHO",100,"Aumento"
"SALGUEIRO",8.48,"Estabilidade"
"SALOA",-46.97,"Diminuição"
"SANHARO",-43.75,"Diminuição"
"SANTA CRUZ",290.48,"Aumento"
"SANTA CRUZ DA BAIXA VERDE",218.18,"Aumento"
"SANTA CRUZ DO CAPIBARIBE",64.25,"Aumento"
"SANTA FILOMENA",-56.67,"Diminuição"
"SANTA MARIA DA BOA VISTA",28.57,"Aumento"
"SANTA MARIA DO CAMBUCA",-58.33,"Diminuição"
"SANTA TEREZINHA",1100,"Aumento"
"SAO BENEDITO DO SUL",-78.57,"Diminuição"
"SAO BENTO DO UNA",186.49,"Aumento"
"SAO CAITANO",54.76,"Aumento"
"SAO JOAO",290,"Aumento"
"SAO JOAQUIM DO MONTE",24.14,"Aumento"
"SAO JOSE DA COROA GRANDE",14.29,"Estabilidade"
"SAO JOSE DO BELMONTE",81.54,"Aumento"
"SAO JOSE DO EGITO",185.19,"Aumento"
"SAO LOURENCO DA MATA",48.91,"Aumento"
"SAO VICENTE FERRER",-72.86,"Diminuição"
"SERRA TALHADA",46.85,"Aumento"
"SERRITA",-28.57,"Diminuição"
"SERTANIA",55,"Aumento"
"SIRINHAEM",37.5,"Aumento"
"SOLIDAO",189.47,"Aumento"
"SURUBIM",-1.25,"Estabilidade"
"TABIRA",100,"Aumento"
"TACAIMBO",-35.71,"Diminuição"
"TACARATU",-50,"Diminuição"
"TAMANDARE",0,"Estabilidade"
"TAQUARITINGA DO NORTE",25,"Aumento"
"TEREZINHA",-34.48,"Diminuição"
"TERRA NOVA",7.69,"Estabilidade"
"TIMBAUBA",26.92,"Aumento"
"TORITAMA",8,"Estabilidade"
"TRACUNHAEM",-50,"Diminuição"
"TRINDADE",-45.45,"Diminuição"
"TRIUNFO",500,"Aumento"
"TUPANATINGA",466.67,"Aumento"
"TUPARETAMA",250,"Aumento"
"VENTUROSA",75.86,"Aumento"
"VERDEJANTE",-79.17,"Diminuição"
"VERTENTE DO LERIO",-16.67,"Diminuição"
"VERTENTES",-20.83,"Diminuição"
"VICENCIA",-21.74,"Diminuição"
"VITORIA DE SANTO ANTAO",64.19,"Aumento"
"XEXEU",100,"Aumento"
